Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,Made_Playoffs,TS%,EFF,Nominated
Klay Thompson,DAL,19.0,27.7,4.5,11.7,0.381,2.8,0.368,1.7,0.405,0.5,0.9,0.9,0.944,0.7,2.7,3.4,1.9,0.6,0.4,1.0,12.6,2024-25,5,0,0.52,0.56,0
Dillon Brooks,HOU,23.0,30.7,4.6,11.0,0.419,2.0,0.379,2.6,0.457,0.512,1.2,1.5,0.824,1.2,2.3,3.6,1.4,0.6,0.2,1.0,12.5,2024-25,6,0,0.54,0.46,0
Bobby Portis,MIL,20.0,23.6,5.3,11.5,0.457,1.1,0.344,4.2,0.5,0.504,0.9,1.2,0.75,1.7,5.5,7.1,1.5,0.6,0.5,1.3,12.5,2024-25,16,0,0.52,0.72,0
D'Angelo Russell,LAL,21.0,27.4,4.5,10.7,0.418,1.9,0.325,2.6,0.524,0.504,1.6,1.9,0.872,0.3,2.2,2.5,4.8,1.0,0.1,1.8,12.4,2024-25,13,0,0.54,0.6,0
Keegan Murray,SAC,23.0,37.0,4.7,11.5,0.413,1.6,0.279,3.2,0.541,0.481,1.1,1.3,0.839,2.5,5.3,7.9,1.6,0.7,0.8,1.1,12.2,2024-25,19,0,0.51,0.66,0
Rui Hachimura,LAL,17.0,31.6,4.5,9.5,0.472,1.5,0.433,2.9,0.495,0.553,1.6,1.9,0.844,1.9,3.3,5.2,1.7,0.8,0.5,0.6,12.1,2024-25,13,0,0.59,0.85,0
Caris LeVert,CLE,17.0,24.2,4.3,8.2,0.525,1.8,0.477,2.5,0.568,0.637,1.6,2.4,0.683,0.5,2.4,2.9,4.1,0.9,0.4,1.4,12.1,2024-25,1,0,0.65,0.84,0
Deni Avdija,POR,22.0,26.9,3.9,9.4,0.417,1.3,0.345,2.6,0.467,0.488,2.9,3.6,0.797,1.3,4.7,6.0,3.2,1.1,0.8,2.1,12.0,2024-25,24,0,0.55,0.67,0
Brandon Boston Jr.,NOP,20.0,27.9,4.4,10.3,0.429,1.3,0.313,3.2,0.504,0.49,1.9,2.3,0.844,0.8,3.1,3.8,3.6,1.6,0.3,1.6,12.0,2024-25,29,0,0.53,0.67,0
Jaylen Wells,MEM,23.0,24.9,4.3,9.5,0.457,2.0,0.388,2.4,0.534,0.559,1.4,1.8,0.78,1.0,2.5,3.5,1.8,0.4,0.2,1.3,12.0,2024-25,4,0,0.58,0.48,0
Josh Giddey,CHI,23.0,27.0,4.5,10.0,0.448,1.2,0.346,3.3,0.503,0.509,1.7,2.5,0.69,1.2,5.0,6.2,6.7,0.7,0.4,2.5,11.9,2024-25,22,0,0.54,0.74,0
Brook Lopez,MIL,21.0,32.9,4.4,9.3,0.474,2.0,0.36,2.5,0.634,0.579,1.1,1.5,0.719,1.2,3.8,5.0,1.8,1.2,2.4,1.1,11.9,2024-25,16,0,0.6,0.76,0
Nick Richards,CHO,8.0,27.0,4.1,6.6,0.623,0.0,0.0,4.1,0.635,0.623,3.6,5.3,0.69,3.5,6.3,9.8,1.9,0.5,2.1,1.6,11.9,2024-25,26,0,0.67,2.55,0
Jonas Valančiūnas,WAS,20.0,19.6,4.8,8.2,0.579,0.1,0.25,4.7,0.596,0.585,2.3,2.6,0.902,2.3,5.3,7.6,2.1,0.4,0.7,1.6,11.9,2024-25,30,0,0.64,0.87,0
Julian Champagnie,SAS,22.0,29.1,4.1,9.5,0.431,2.4,0.349,1.7,0.633,0.555,1.3,1.4,0.903,0.9,4.3,5.2,1.6,0.9,0.6,1.1,11.8,2024-25,18,0,0.58,0.61,0
Bilal Coulibaly,WAS,19.0,34.6,4.2,9.5,0.442,0.9,0.279,3.3,0.525,0.489,2.5,3.3,0.774,1.5,3.9,5.4,2.9,1.4,0.6,1.9,11.8,2024-25,30,0,0.54,0.74,0
Tyus Jones,PHO,21.0,32.3,4.6,9.6,0.475,2.1,0.396,2.5,0.571,0.584,0.5,0.7,0.786,0.7,2.0,2.7,7.0,1.1,0.1,1.0,11.8,2024-25,14,0,0.6,0.79,0
Ochai Agbaji,TOR,23.0,31.3,4.6,8.7,0.533,1.9,0.484,2.7,0.574,0.643,0.6,0.9,0.7,1.0,3.3,4.3,2.1,1.0,0.6,0.9,11.7,2024-25,27,0,0.64,0.63,0
Isaiah Hartenstein,OKC,7.0,29.7,5.1,9.1,0.563,0.0,0.0,5.1,0.59,0.563,1.4,2.6,0.556,2.7,10.1,12.9,4.4,0.7,1.4,1.9,11.7,2024-25,3,0,0.57,3.43,0
Scoot Henderson,POR,16.0,26.5,4.3,10.4,0.416,1.0,0.32,3.3,0.457,0.464,2.1,2.8,0.75,0.7,2.2,2.9,5.4,0.9,0.1,3.1,11.7,2024-25,24,0,0.5,0.69,0
Jrue Holiday,BOS,19.0,31.2,4.2,9.4,0.447,1.7,0.333,2.5,0.578,0.536,1.6,1.7,0.909,1.1,3.2,4.2,3.9,0.8,0.3,1.6,11.7,2024-25,2,0,0.58,0.74,0
Zaccharie Risacher,ATL,23.0,24.1,4.3,10.3,0.412,1.3,0.29,2.9,0.511,0.477,1.8,2.6,0.683,1.2,2.3,3.5,1.3,0.9,0.7,1.1,11.7,2024-25,17,0,0.51,0.44,0
Russell Westbrook,DEN,20.0,24.1,3.9,10.1,0.388,1.4,0.36,2.6,0.405,0.455,2.5,3.8,0.667,0.8,3.1,3.9,5.9,1.4,0.6,2.4,11.7,2024-25,12,0,0.5,0.68,0
Bogdan Bogdanović,ATL,9.0,24.9,3.9,10.0,0.389,2.2,0.339,1.7,0.484,0.5,1.6,1.6,1.0,0.8,2.7,3.4,2.2,1.1,0.3,1.7,11.6,2024-25,17,0,0.54,1.2,0
Naji Marshall,DAL,20.0,24.1,4.7,8.6,0.544,0.8,0.294,3.9,0.65,0.588,1.5,1.7,0.882,1.2,2.2,3.4,2.4,1.0,0.1,1.5,11.6,2024-25,5,0,0.62,0.65,0
Stephon Castle,SAS,22.0,27.0,4.0,10.4,0.38,1.1,0.275,2.8,0.449,0.434,2.5,3.4,0.733,0.8,1.7,2.5,3.8,0.8,0.5,1.8,11.5,2024-25,18,0,0.48,0.45,0
Amen Thompson,HOU,23.0,26.4,4.2,7.8,0.539,0.3,0.296,3.9,0.582,0.561,2.7,3.9,0.689,2.2,4.7,7.0,1.9,1.1,0.9,1.7,11.5,2024-25,6,0,0.6,0.69,0
Ty Jerome,CLE,22.0,18.5,4.2,7.4,0.568,1.5,0.493,2.7,0.621,0.67,1.5,1.7,0.895,0.4,1.5,2.0,3.5,1.3,0.0,1.3,11.4,2024-25,1,0,0.7,0.61,0
Jabari Smith Jr.,HOU,23.0,29.8,4.0,9.4,0.431,1.7,0.349,2.4,0.514,0.519,1.7,2.0,0.867,1.8,5.0,6.8,0.8,0.3,0.9,0.6,11.4,2024-25,6,0,0.55,0.6,0
Tari Eason,HOU,22.0,22.9,4.5,9.4,0.476,0.9,0.303,3.5,0.557,0.524,1.5,2.0,0.767,2.3,4.2,6.5,1.1,2.1,1.0,0.9,11.3,2024-25,6,0,0.55,0.71,0
Miles McBride,NYK,17.0,25.6,3.9,8.5,0.462,2.2,0.435,1.8,0.5,0.59,1.2,1.3,0.909,0.6,2.0,2.6,2.8,0.9,0.2,0.9,11.2,2024-25,8,0,0.62,0.71,0
Zach Edey,MEM,14.0,20.1,4.6,7.5,0.61,0.4,0.6,4.1,0.611,0.638,1.6,2.4,0.667,3.1,3.9,6.9,0.8,0.9,1.0,1.6,11.1,2024-25,4,0,0.65,1.1,0
Dalton Knecht,LAL,22.0,24.2,4.1,8.7,0.471,2.2,0.403,1.9,0.583,0.597,0.8,1.0,0.773,0.6,2.7,3.4,1.1,0.5,0.0,0.5,11.1,2024-25,13,0,0.61,0.49,0
Onyeka Okongwu,ATL,21.0,23.7,4.3,8.0,0.539,0.4,0.211,3.9,0.636,0.563,2.2,2.7,0.807,2.3,4.2,6.5,1.6,0.7,0.7,0.9,11.1,2024-25,17,0,0.6,0.74,0
Harrison Barnes,SAS,22.0,28.5,3.6,7.5,0.482,1.4,0.423,2.2,0.527,0.573,2.4,3.0,0.815,1.8,2.9,4.6,1.5,0.3,0.2,0.8,11.0,2024-25,18,0,0.62,0.56,0
Scotty Pippen Jr.,MEM,23.0,23.7,4.2,8.9,0.468,1.0,0.343,3.1,0.533,0.527,1.6,2.1,0.75,0.7,3.0,3.7,5.3,1.1,0.3,2.0,11.0,2024-25,4,0,0.56,0.62,0
Walker Kessler,UTA,15.0,28.8,4.7,6.3,0.737,0.0,,4.7,0.737,0.737,1.6,2.7,0.585,3.9,6.6,10.5,1.3,0.5,2.8,1.4,10.9,2024-25,28,0,0.73,1.46,0
Corey Kispert,WAS,19.0,27.6,4.0,9.7,0.413,1.8,0.313,2.2,0.569,0.508,1.1,1.3,0.833,0.4,3.1,3.4,1.5,0.6,0.2,1.1,10.9,2024-25,30,0,0.53,0.51,0
Jose Alvarado,NOP,11.0,25.6,3.6,9.2,0.396,2.2,0.4,1.5,0.39,0.515,1.3,1.5,0.824,0.5,1.6,2.2,4.5,1.5,0.3,1.3,10.7,2024-25,29,0,0.54,1.1,0
Dorian Finney-Smith,BRK,15.0,29.0,3.8,8.1,0.467,2.3,0.422,1.5,0.564,0.611,0.7,1.2,0.611,1.8,2.5,4.3,1.8,0.9,0.5,1.1,10.7,2024-25,20,0,0.62,0.82,0
Grayson Allen,PHO,17.0,23.5,3.3,8.2,0.403,2.2,0.356,1.1,0.543,0.536,1.9,2.3,0.821,0.5,2.4,2.9,1.8,0.6,0.4,1.1,10.6,2024-25,14,0,0.58,0.58,0
Rudy Gobert,MIN,21.0,34.0,4.0,6.0,0.659,0.0,,4.0,0.659,0.659,2.7,3.4,0.789,3.4,7.7,11.1,2.1,0.7,1.5,1.6,10.6,2024-25,15,0,0.71,1.03,0
Alex Sarr,WAS,20.0,26.8,4.0,10.5,0.383,1.1,0.25,2.9,0.479,0.435,1.5,2.2,0.659,2.1,4.2,6.3,2.0,0.8,1.9,1.4,10.6,2024-25,30,0,0.46,0.65,0
Clint Capela,ATL,23.0,22.8,4.7,8.0,0.585,0.0,,4.7,0.585,0.585,1.2,2.1,0.563,3.6,5.9,9.5,1.3,0.7,1.0,0.8,10.5,2024-25,17,0,0.59,0.78,0
Derrick Jones Jr.,LAC,24.0,25.5,4.0,8.0,0.497,1.3,0.417,2.8,0.545,0.575,1.1,1.3,0.871,1.3,2.3,3.5,1.0,1.3,0.2,1.1,10.4,2024-25,10,0,0.61,0.46,0
T.J. McConnell,IND,22.0,19.6,4.8,8.5,0.561,0.1,0.25,4.7,0.575,0.567,0.8,1.0,0.739,0.5,2.1,2.6,3.9,1.3,0.2,1.6,10.4,2024-25,21,0,0.58,0.59,0
Chris Paul,SAS,22.0,28.8,3.5,8.1,0.43,1.9,0.357,1.6,0.563,0.545,1.5,1.5,1.0,0.5,3.2,3.7,8.3,1.4,0.2,1.7,10.4,2024-25,18,0,0.59,0.8,0
Grant Williams,CHO,16.0,29.9,3.4,7.7,0.439,1.7,0.365,1.7,0.551,0.549,1.9,2.3,0.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,10.4,2024-25,26,0,0.6,0.82,0
De'Anthony Melton,GSW,6.0,20.2,3.7,9.0,0.407,2.2,0.371,1.5,0.474,0.528,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,10.3,2024-25,9,0,0.54,1.73,0
Amir Coffey,LAC,24.0,24.0,3.6,7.4,0.486,1.7,0.43,1.9,0.548,0.599,1.4,1.6,0.846,0.6,2.0,2.6,1.3,0.6,0.0,0.7,10.2,2024-25,10,0,0.63,0.42,0
Duncan Robinson,MIA,19.0,22.2,3.6,9.3,0.39,2.4,0.36,1.3,0.462,0.517,0.5,0.7,0.769,0.4,1.8,2.3,2.2,0.5,0.2,0.8,10.2,2024-25,11,0,0.53,0.46,0
Dalano Banton,POR,20.0,16.9,3.6,8.3,0.436,1.3,0.388,2.3,0.469,0.515,1.6,2.4,0.667,0.4,2.0,2.4,2.6,1.0,0.6,1.8,10.1,2024-25,24,0,0.54,0.47,0
Chris Boucher,TOR,23.0,18.0,3.6,8.0,0.454,1.0,0.276,2.6,0.615,0.519,1.7,2.2,0.765,1.3,3.2,4.5,0.6,0.5,0.7,0.7,10.0,2024-25,27,0,0.56,0.47,0
Royce O'Neale,PHO,21.0,25.4,3.5,8.1,0.433,2.3,0.425,1.2,0.448,0.573,0.7,0.9,0.737,1.2,4.7,6.0,2.0,1.0,0.7,1.0,10.0,2024-25,14,0,0.59,0.66,0
Jaden McDaniels,MIN,21.0,29.8,4.0,8.9,0.444,1.1,0.3,2.8,0.551,0.508,0.9,1.2,0.692,1.1,2.6,3.7,1.8,1.1,0.8,1.1,9.9,2024-25,15,0,0.53,0.52,0
Patrick Williams,CHI,15.0,28.9,3.3,8.9,0.376,1.9,0.394,1.5,0.355,0.481,1.4,1.7,0.84,1.1,3.9,5.0,2.3,1.0,0.5,1.9,9.9,2024-25,22,0,0.51,0.73,0
Guerschon Yabusele,PHI,20.0,24.6,3.7,7.5,0.487,1.7,0.407,2.0,0.58,0.597,0.9,1.6,0.581,2.0,3.9,5.9,2.0,0.7,0.5,1.4,9.9,2024-25,25,0,0.6,0.66,0
Marcus Smart,MEM,13.0,21.5,3.0,7.9,0.379,1.6,0.323,1.4,0.474,0.481,2.2,2.7,0.829,0.9,1.6,2.5,4.5,1.5,0.5,2.1,9.8,2024-25,4,0,0.54,0.87,0
Aaron Wiggins,OKC,22.0,21.1,3.9,8.5,0.457,1.5,0.405,2.3,0.5,0.548,0.5,0.7,0.8,1.1,2.6,3.7,1.6,0.9,0.3,0.9,9.8,2024-25,3,0,0.56,0.48,0
Tim Hardaway Jr.,DET,21.0,27.5,3.1,7.8,0.405,1.9,0.358,1.3,0.5,0.525,1.6,1.8,0.892,0.1,1.7,1.9,1.6,0.2,0.0,0.6,9.7,2024-25,23,0,0.56,0.38,0
Al Horford,BOS,17.0,28.0,3.5,7.4,0.476,2.3,0.424,1.2,0.618,0.631,0.4,0.4,1.0,0.9,4.1,5.1,2.4,0.8,0.9,1.0,9.7,2024-25,2,0,0.64,0.82,0
Obi Toppin,IND,22.0,20.0,3.9,7.3,0.534,1.0,0.306,2.9,0.719,0.602,0.9,1.0,0.87,0.8,2.9,3.7,1.6,0.6,0.4,0.7,9.7,2024-25,21,0,0.63,0.54,0
Luguentz Dort,OKC,22.0,29.2,3.3,8.1,0.404,2.0,0.379,1.3,0.452,0.528,1.1,1.3,0.828,1.4,3.1,4.5,1.9,1.1,0.9,0.6,9.6,2024-25,3,0,0.55,0.56,0
Caleb Martin,PHI,18.0,31.1,3.3,8.2,0.405,0.8,0.294,2.5,0.464,0.456,2.1,3.1,0.661,1.4,3.4,4.9,2.4,1.1,0.5,1.9,9.6,2024-25,25,0,0.5,0.59,0
Trendon Watford,BRK,10.0,18.5,3.2,7.4,0.432,0.7,0.28,2.5,0.51,0.48,2.5,3.0,0.833,0.4,2.9,3.3,1.3,0.5,0.4,1.6,9.6,2024-25,20,0,0.55,0.88,0
Robert Williams,POR,7.0,18.7,3.9,5.4,0.711,0.1,0.5,3.7,0.722,0.724,1.7,1.9,0.923,2.1,3.9,6.0,1.4,1.1,1.9,1.0,9.6,2024-25,24,0,0.77,2.47,0
Isaiah Joe,OKC,20.0,22.2,3.4,8.0,0.419,2.5,0.389,0.9,0.529,0.572,0.4,0.5,0.7,0.6,2.2,2.8,1.7,0.8,0.3,0.5,9.5,2024-25,3,0,0.58,0.5,0
Peyton Watson,DEN,20.0,25.3,3.5,7.1,0.486,0.9,0.375,2.6,0.543,0.549,1.7,2.1,0.786,1.0,2.5,3.5,1.3,0.8,1.0,0.9,9.5,2024-25,12,0,0.59,0.56,0
Nickeil Alexander-Walker,MIN,21.0,24.3,3.4,6.7,0.504,1.7,0.438,1.7,0.59,0.628,1.0,1.3,0.778,0.7,2.1,2.8,2.6,1.0,0.4,1.5,9.4,2024-25,15,0,0.65,0.53,0
Toumani Camara,POR,22.0,31.0,3.5,8.2,0.425,1.6,0.391,1.9,0.461,0.525,0.8,1.1,0.68,2.2,3.0,5.2,2.2,1.5,0.4,1.6,9.4,2024-25,24,0,0.54,0.55,0
Carlton Carrington,WAS,20.0,28.2,3.4,8.4,0.407,1.5,0.349,1.9,0.469,0.497,1.0,1.3,0.8,0.2,3.8,4.0,4.1,1.1,0.3,2.0,9.3,2024-25,30,0,0.52,0.57,0
Jaime Jaquez Jr.,MIA,16.0,21.9,3.4,8.0,0.43,0.6,0.313,2.8,0.469,0.469,1.8,2.6,0.69,1.6,4.0,5.6,2.4,1.1,0.1,1.5,9.3,2024-25,11,0,0.51,0.73,0
Jay Huff,MEM,23.0,15.2,3.2,6.1,0.525,1.7,0.422,1.6,0.706,0.66,1.1,1.5,0.714,0.5,1.9,2.4,0.8,0.3,1.3,0.6,9.2,2024-25,4,0,0.68,0.44,0
Aaron Nesmith,IND,6.0,22.7,3.2,6.0,0.528,1.0,0.545,2.2,0.52,0.611,1.8,2.2,0.846,0.7,3.3,4.0,1.0,0.7,0.3,0.8,9.2,2024-25,21,0,0.66,1.87,0
Nic Claxton,BRK,17.0,24.8,4.1,6.2,0.651,0.1,0.5,4.0,0.654,0.656,0.9,2.2,0.421,1.9,5.8,7.6,2.2,0.6,1.2,1.3,9.1,2024-25,20,0,0.63,0.94,0
Quentin Grimes,DAL,21.0,20.6,3.1,6.3,0.496,1.6,0.434,1.6,0.579,0.62,1.2,1.8,0.684,0.6,3.0,3.7,1.5,0.8,0.2,1.2,9.1,2024-25,5,0,0.64,0.49,0
Dereck Lively II,DAL,18.0,22.9,3.8,5.4,0.694,0.0,,3.8,0.694,0.694,1.5,2.5,0.6,3.1,4.5,7.6,2.3,0.6,1.6,1.2,9.1,2024-25,5,0,0.7,0.97,0
Trentyn Flowers,LAC,1.0,14.0,4.0,9.0,0.444,0.0,0.0,4.0,0.571,0.444,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,9.0,2024-25,10,0,0.48,7.0,0
Kevin Huerter,SAC,20.0,25.8,3.5,8.6,0.404,1.6,0.272,1.9,0.667,0.494,0.5,0.8,0.667,0.4,3.1,3.5,2.0,1.1,0.6,1.0,9.0,2024-25,19,0,0.5,0.49,0
Yves Missi,NOP,22.0,24.7,3.6,6.5,0.552,0.0,,3.6,0.552,0.552,1.8,3.0,0.615,3.6,4.3,8.0,1.3,0.7,1.2,1.2,9.0,2024-25,29,0,0.58,0.68,0
Taurean Prince,MIL,21.0,28.4,3.2,6.3,0.508,2.1,0.556,1.0,0.431,0.678,0.5,0.6,0.846,0.7,3.8,4.5,1.9,0.9,0.2,1.1,9.0,2024-25,16,0,0.69,0.58,0
Jalen Wilson,BRK,22.0,25.0,3.0,6.8,0.447,1.3,0.354,1.7,0.559,0.543,1.6,1.8,0.875,1.0,2.6,3.6,1.6,0.4,0.0,0.9,9.0,2024-25,20,0,0.59,0.44,0
Jusuf Nurkić,PHO,16.0,24.1,2.9,7.0,0.42,0.9,0.298,2.1,0.508,0.482,2.2,3.3,0.673,1.8,8.1,9.9,1.3,0.9,0.6,2.3,8.9,2024-25,14,0,0.53,0.88,0
Donte DiVincenzo,MIN,21.0,25.5,3.0,8.4,0.356,2.2,0.331,0.8,0.447,0.486,0.6,0.8,0.75,0.4,2.7,3.0,3.5,1.3,0.2,1.8,8.8,2024-25,15,0,0.5,0.45,0
Draymond Green,GSW,19.0,28.5,2.9,6.7,0.433,1.5,0.403,1.4,0.473,0.547,1.5,2.5,0.604,0.9,5.3,6.2,6.0,1.0,1.0,2.3,8.8,2024-25,9,0,0.56,0.84,0
Kevin Porter Jr.,LAC,21.0,18.7,3.7,8.9,0.414,0.4,0.184,3.2,0.496,0.438,1.0,1.7,0.629,0.7,2.9,3.5,2.8,0.9,0.3,2.3,8.8,2024-25,10,0,0.46,0.39,0
Gary Trent Jr.,MIL,19.0,25.6,3.0,7.7,0.39,1.9,0.385,1.1,0.4,0.517,0.8,0.9,0.889,0.2,1.9,2.1,1.0,0.9,0.0,0.6,8.8,2024-25,16,0,0.54,0.39,0
Jalen Duren,DET,22.0,23.9,3.5,5.1,0.681,0.0,,3.5,0.681,0.681,1.7,3.0,0.576,3.0,6.1,9.2,2.5,0.3,1.3,2.0,8.7,2024-25,23,0,0.68,0.78,0
Jake LaRavia,MEM,23.0,23.3,3.1,6.0,0.511,0.9,0.392,2.2,0.58,0.583,1.7,2.4,0.696,1.5,3.3,4.8,3.7,0.8,0.7,1.4,8.7,2024-25,4,0,0.62,0.6,0
Kentavious Caldwell-Pope,ORL,23.0,29.9,2.9,7.2,0.406,1.5,0.313,1.4,0.604,0.512,1.2,1.3,0.966,0.4,1.8,2.2,1.8,1.6,0.6,0.7,8.6,2024-25,7,0,0.55,0.42,0
Mike Conley,MIN,17.0,25.5,2.6,7.5,0.354,1.9,0.364,0.8,0.333,0.48,1.5,1.6,0.893,0.5,2.5,2.9,4.5,1.5,0.2,1.4,8.6,2024-25,15,0,0.52,0.66,0
Ziaire Williams,BRK,21.0,21.9,3.0,7.6,0.403,0.9,0.273,2.2,0.495,0.459,1.7,2.1,0.795,1.0,3.3,4.4,1.1,1.0,0.3,0.9,8.6,2024-25,20,0,0.5,0.45,0
Sam Hauser,BOS,18.0,22.7,3.1,7.2,0.434,2.2,0.364,0.9,0.773,0.585,0.1,0.1,1.0,0.8,2.7,3.5,1.1,0.8,0.2,0.4,8.5,2024-25,2,0,0.59,0.53,0
Cody Martin,CHO,22.0,25.4,3.2,7.2,0.443,1.2,0.351,2.0,0.531,0.528,1.0,1.5,0.656,1.1,3.5,4.6,2.4,1.0,0.7,0.9,8.5,2024-25,26,0,0.54,0.54,0
Georges Niang,CLE,23.0,20.2,3.2,7.1,0.451,1.7,0.349,1.6,0.655,0.567,0.3,0.4,0.778,0.6,3.1,3.7,1.1,0.3,0.2,1.0,8.4,2024-25,1,0,0.58,0.38,0
Jaylen Nowell,NOP,8.0,21.0,3.3,9.1,0.356,1.0,0.296,2.3,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,8.4,2024-25,29,0,0.43,0.81,0
Julian Strawther,DEN,20.0,20.2,2.9,6.5,0.438,1.3,0.388,1.6,0.492,0.538,1.4,1.7,0.794,0.3,1.7,2.0,1.3,0.8,0.4,0.9,8.4,2024-25,12,0,0.58,0.41,0
Anthony Black,ORL,24.0,24.2,2.9,6.9,0.424,0.7,0.271,2.3,0.509,0.473,1.8,2.5,0.729,0.5,2.2,2.8,4.1,0.9,0.7,2.3,8.3,2024-25,7,0,0.52,0.41,0
Josh Okogie,PHO,11.0,15.4,3.1,5.9,0.523,0.9,0.455,2.2,0.558,0.6,1.2,1.8,0.65,1.5,1.9,3.4,0.7,1.0,0.1,0.8,8.3,2024-25,14,0,0.62,0.85,0
A.J. Green,MIL,20.0,20.6,2.8,5.8,0.478,2.5,0.462,0.3,0.667,0.691,0.3,0.3,0.833,0.2,2.0,2.2,1.0,0.6,0.1,0.6,8.2,2024-25,16,0,0.69,0.42,0
Garrison Mathews,ATL,18.0,17.9,2.4,5.3,0.453,2.1,0.468,0.3,0.375,0.647,1.3,1.6,0.828,0.2,0.9,1.1,1.4,0.7,0.2,0.6,8.2,2024-25,17,0,0.68,0.43,0
Cameron Payne,NYK,17.0,17.8,2.9,6.8,0.435,1.8,0.441,1.2,0.426,0.565,0.5,0.6,0.818,0.4,1.6,1.9,3.4,0.7,0.4,0.6,8.2,2024-25,8,0,0.58,0.59,0
Goga Bitadze,ORL,19.0,22.2,3.4,5.1,0.677,0.0,0.0,3.4,0.73,0.677,1.3,1.6,0.774,2.5,4.5,7.0,1.7,0.8,1.6,1.3,8.1,2024-25,7,0,0.7,0.84,0
Andre Drummond,PHI,17.0,20.4,3.2,6.2,0.524,0.1,0.167,3.2,0.545,0.529,1.5,2.8,0.553,2.9,5.3,8.2,0.6,1.3,0.5,1.7,8.1,2024-25,25,0,0.54,0.75,0
Spencer Dinwiddie,DAL,21.0,21.2,2.4,5.8,0.418,1.4,0.395,1.0,0.457,0.541,1.7,2.0,0.857,0.1,1.6,1.7,3.1,0.6,0.3,0.7,8.0,2024-25,5,0,0.6,0.44,0
DaQuan Jeffries,CHO,1.0,16.0,3.0,5.0,0.6,1.0,0.5,2.0,0.667,0.7,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,2024-25,26,0,0.68,7.0,0
Brandin Podziemski,GSW,20.0,24.9,3.1,8.2,0.38,0.8,0.211,2.4,0.511,0.426,1.1,1.4,0.75,1.1,3.9,5.0,3.5,0.8,0.4,1.3,8.0,2024-25,9,0,0.45,0.55,0
Moses Moody,GSW,21.0,16.5,2.7,6.3,0.424,1.4,0.372,1.3,0.5,0.534,1.2,1.7,0.714,0.4,1.5,2.0,1.0,0.3,0.3,0.8,7.9,2024-25,9,0,0.56,0.31,0
Larry Nance Jr.,ATL,9.0,15.6,3.1,4.8,0.651,1.6,0.636,1.6,0.667,0.814,0.1,0.2,0.5,1.1,1.3,2.4,1.2,0.8,0.3,0.4,7.9,2024-25,17,0,0.81,1.16,0
Andrew Nembhard,IND,9.0,24.4,3.0,7.6,0.397,0.6,0.263,2.4,0.449,0.434,1.3,1.6,0.857,0.1,1.7,1.8,4.6,1.0,0.0,1.3,7.9,2024-25,21,0,0.48,1.01,0
Brice Sensabaugh,UTA,15.0,16.4,2.7,6.2,0.441,1.7,0.417,1.1,0.485,0.575,0.7,0.8,0.917,0.7,1.6,2.3,0.7,0.5,0.1,1.5,7.9,2024-25,28,0,0.6,0.43,0
Trayce Jackson-Davis,GSW,21.0,17.2,3.5,5.8,0.607,0.0,0.0,3.5,0.612,0.607,0.8,1.3,0.571,1.7,3.2,4.9,2.0,0.3,0.7,0.8,7.8,2024-25,9,0,0.61,0.58,0
Herbert Jones,NOP,5.0,29.0,3.2,7.2,0.444,0.8,0.25,2.4,0.6,0.5,0.6,1.2,0.5,0.8,2.6,3.4,1.8,2.2,0.4,1.2,7.8,2024-25,29,0,0.5,1.96,0
Jalen Smith,CHI,20.0,14.4,2.7,6.0,0.454,1.2,0.358,1.5,0.577,0.555,1.2,1.5,0.767,1.4,3.7,5.1,0.8,0.4,0.7,0.7,7.8,2024-25,22,0,0.59,0.52,0
Talen Horton-Tucker,CHI,17.0,11.5,2.7,4.9,0.554,1.1,0.514,1.6,0.583,0.663,1.2,1.7,0.724,0.5,1.5,1.9,1.6,0.2,0.2,0.6,7.7,2024-25,22,0,0.68,0.49,0
Nikola Jović,MIA,14.0,18.2,2.8,6.2,0.448,1.0,0.318,1.8,0.581,0.529,1.1,1.4,0.8,0.6,3.1,3.7,1.3,0.9,0.1,0.6,7.7,2024-25,11,0,0.56,0.67,0
Wendell Carter Jr.,ORL,11.0,25.5,2.7,5.5,0.5,0.4,0.167,2.4,0.722,0.533,1.8,2.5,0.714,2.0,5.6,7.6,2.3,1.0,0.6,0.9,7.6,2024-25,7,0,0.58,1.34,0
Noah Clowney,BRK,15.0,16.5,2.5,6.3,0.394,1.5,0.377,0.9,0.424,0.516,1.0,1.4,0.714,0.9,2.2,3.1,0.7,0.3,0.6,0.7,7.5,2024-25,20,0,0.54,0.49,0
Tristan Da Silva,ORL,20.0,23.8,2.9,6.9,0.416,1.2,0.338,1.7,0.5,0.504,0.6,0.8,0.75,0.8,2.9,3.7,1.7,0.4,0.2,0.5,7.5,2024-25,7,0,0.52,0.44,0
