Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,Made_Playoffs,TS%,EFF,Nominated
Zach LaVine,CHI,20.0,33.4,7.8,15.4,0.505,3.1,0.425,4.7,0.578,0.606,2.7,3.3,0.815,0.3,4.3,4.5,4.4,0.8,0.3,2.7,21.3,2024-25,22,0,0.63,1.02,0
Scottie Barnes,TOR,12.0,33.7,7.8,16.8,0.46,1.7,0.29,6.1,0.549,0.51,4.0,5.6,0.716,2.3,6.5,8.8,7.3,1.3,0.8,3.8,21.2,2024-25,27,0,0.55,2.08,0
Kristaps Porziņģis,BOS,4.0,27.3,7.0,14.3,0.491,2.3,0.36,4.8,0.594,0.57,4.8,5.8,0.826,1.5,6.3,7.8,1.8,1.0,1.0,0.8,21.0,2024-25,2,0,0.62,5.88,0
Julius Randle,MIN,21.0,33.4,7.2,14.5,0.5,1.7,0.356,5.5,0.571,0.559,4.8,5.9,0.813,1.7,5.0,6.7,4.0,0.8,0.0,2.7,21.0,2024-25,15,0,0.61,1.02,0
Ja Morant,MEM,13.0,27.7,7.0,15.6,0.448,1.2,0.263,5.8,0.521,0.485,5.8,6.8,0.852,0.5,3.5,4.0,8.5,0.9,0.4,3.8,20.9,2024-25,4,0,0.56,1.64,0
Domantas Sabonis,SAC,21.0,36.4,8.0,12.8,0.625,1.0,0.415,7.0,0.676,0.665,3.8,4.7,0.806,3.2,9.4,12.6,6.3,0.7,0.4,3.5,20.8,2024-25,19,0,0.7,1.5,0
Trae Young,ATL,22.0,35.7,6.3,16.5,0.384,2.5,0.306,3.8,0.464,0.461,5.5,6.2,0.891,0.6,3.2,3.9,12.0,1.2,0.1,4.7,20.7,2024-25,17,0,0.54,1.01,0
Darius Garland,CLE,22.0,30.1,7.4,15.0,0.491,3.0,0.44,4.4,0.533,0.591,2.8,2.9,0.953,0.5,1.8,2.3,6.6,1.0,0.2,2.3,20.5,2024-25,1,0,0.63,0.94,0
Jalen Johnson,ATL,22.0,36.4,8.0,15.8,0.509,1.6,0.36,6.4,0.569,0.56,2.4,3.2,0.757,1.7,8.2,9.9,5.5,1.4,1.1,3.2,20.1,2024-25,17,0,0.58,1.19,0
Pascal Siakam,IND,23.0,34.3,7.8,14.7,0.531,1.8,0.41,6.0,0.582,0.592,2.8,3.6,0.78,1.8,4.6,6.3,3.7,0.9,0.3,1.5,20.1,2024-25,21,0,0.62,0.96,0
Jordan Poole,WAS,18.0,29.8,6.7,15.3,0.436,3.0,0.406,3.7,0.465,0.535,3.7,4.3,0.846,0.2,1.9,2.1,5.0,1.8,0.4,3.3,20.0,2024-25,30,0,0.58,0.93,0
Joel Embiid,PHI,4.0,31.3,5.5,14.5,0.379,0.8,0.167,4.8,0.475,0.405,8.0,8.0,1.0,1.3,6.3,7.5,3.5,0.5,1.0,3.3,19.8,2024-25,25,0,0.55,5.0,0
Lauri Markkanen,UTA,17.0,32.2,6.1,13.4,0.452,2.6,0.385,3.4,0.523,0.55,4.5,5.2,0.854,1.6,4.9,6.5,2.2,0.7,0.1,1.3,19.2,2024-25,28,0,0.61,1.14,0
Jalen Green,HOU,23.0,32.4,6.4,16.1,0.396,2.5,0.324,3.9,0.462,0.473,3.8,4.4,0.861,0.6,4.2,4.7,2.7,1.1,0.3,2.6,19.0,2024-25,6,0,0.53,0.65,0
Michael Porter Jr.,DEN,20.0,35.6,7.4,14.6,0.509,2.6,0.411,4.9,0.581,0.596,1.7,2.5,0.673,1.6,5.6,7.2,2.7,0.9,0.4,1.3,19.0,2024-25,12,0,0.61,1.04,0
Alperen Sengun,HOU,23.0,30.8,7.3,15.4,0.473,0.4,0.265,6.9,0.495,0.486,3.9,5.0,0.767,3.4,7.2,10.6,5.3,1.2,1.1,2.1,18.9,2024-25,6,0,0.54,1.12,0
Jimmy Butler,MIA,15.0,31.7,6.1,11.2,0.548,0.5,0.364,5.6,0.575,0.571,5.9,7.6,0.781,2.5,2.9,5.4,4.8,1.3,0.3,1.4,18.7,2024-25,11,0,0.64,1.49,0
De'Andre Hunter,ATL,12.0,27.5,6.1,12.6,0.483,2.4,0.408,3.7,0.55,0.579,4.1,4.5,0.907,0.6,3.6,4.2,1.3,0.8,0.2,1.3,18.7,2024-25,17,0,0.64,1.42,0
Cameron Johnson,BRK,22.0,32.6,6.1,12.7,0.484,3.3,0.431,2.9,0.563,0.613,2.9,3.2,0.901,0.7,3.6,4.3,2.9,0.9,0.5,0.9,18.5,2024-25,20,0,0.66,0.88,0
Coby White,CHI,21.0,32.5,6.0,13.9,0.435,3.3,0.379,2.8,0.527,0.553,2.9,3.3,0.871,0.3,3.4,3.7,4.5,1.1,0.2,2.5,18.3,2024-25,22,0,0.6,0.81,0
Derrick White,BOS,21.0,34.3,6.3,13.5,0.466,3.8,0.41,2.5,0.591,0.608,1.8,2.1,0.841,1.2,3.5,4.8,4.9,0.8,1.0,1.4,18.1,2024-25,2,0,0.63,0.99,0
Bradley Beal,PHO,13.0,33.2,6.8,13.6,0.503,2.3,0.385,4.5,0.596,0.588,2.0,2.5,0.813,0.5,3.6,4.2,3.3,1.2,0.7,2.1,18.0,2024-25,14,0,0.61,1.38,0
Bennedict Mathurin,IND,23.0,32.6,5.9,12.4,0.476,1.6,0.402,4.3,0.51,0.54,4.6,5.4,0.847,1.3,5.2,6.5,1.8,0.7,0.3,2.1,18.0,2024-25,21,0,0.61,0.78,0
Gradey Dick,TOR,18.0,32.4,6.0,14.2,0.422,2.4,0.352,3.6,0.489,0.508,3.5,3.9,0.9,0.6,2.3,2.9,2.1,0.9,0.3,1.8,17.9,2024-25,27,0,0.56,0.76,0
