Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Frank Ntilikina,NYK,78.0,21.9,2.3,6.4,0.364,0.6,0.318,1.7,0.385,0.414,0.6,0.9,0.721,0.5,1.8,2.3,3.2,0.8,0.2,1.7,5.9,2017-18,0.43,0.08,0,22,0
Deyonta Davis,MEM,62.0,15.2,2.6,4.3,0.608,0.0,,2.6,0.608,0.608,0.6,0.9,0.667,1.2,2.8,4.0,0.6,0.2,0.6,0.5,5.8,2017-18,0.62,0.14,0,29,0
Jonas Jerebko,UTA,74.0,15.3,2.1,4.6,0.466,0.9,0.414,1.3,0.511,0.562,0.6,0.8,0.807,0.7,2.6,3.3,0.6,0.3,0.2,0.4,5.8,2017-18,0.59,0.1,0,10,1
Timothé Luwawu-Cabarrot,PHI,52.0,15.5,1.9,5.1,0.375,1.0,0.335,0.9,0.431,0.474,0.9,1.1,0.793,0.3,1.1,1.4,1.0,0.2,0.1,0.7,5.8,2017-18,0.52,0.08,0,5,1
Xavier Rathan-Mayes,MEM,5.0,23.6,2.4,8.4,0.286,0.2,0.071,2.2,0.393,0.298,0.8,1.8,0.444,0.0,1.0,1.0,3.6,1.2,0.6,2.2,5.8,2017-18,0.32,0.6,0,29,0
Tristan Thompson,CLE,53.0,20.2,2.5,4.4,0.562,0.0,,2.5,0.562,0.562,0.8,1.5,0.544,2.4,4.3,6.6,0.6,0.3,0.3,0.7,5.8,2017-18,0.57,0.19,0,6,1
Dante Cunningham,2TM,73.0,21.4,2.2,5.0,0.451,0.8,0.345,1.5,0.541,0.53,0.4,0.7,0.596,1.1,3.0,4.1,0.7,0.5,0.4,0.5,5.7,2017-18,0.54,0.11,0,-1,0
Bismack Biyombo,ORL,82.0,18.2,2.2,4.3,0.52,0.0,0.0,2.2,0.521,0.52,1.2,1.9,0.65,1.8,4.0,5.7,0.8,0.3,1.2,1.0,5.7,2017-18,0.55,0.12,0,26,0
Omri Casspi,GSW,53.0,14.0,2.3,3.9,0.58,0.2,0.455,2.1,0.595,0.604,0.9,1.3,0.725,0.6,3.2,3.8,1.0,0.3,0.4,0.7,5.7,2017-18,0.64,0.16,0,3,1
Jack Cooley,SAC,7.0,12.4,1.9,3.9,0.481,0.0,,1.9,0.481,0.481,2.0,2.7,0.737,2.0,2.3,4.3,0.9,0.1,0.0,0.4,5.7,2017-18,0.56,1.13,0,25,0
