Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Greg Anderson,SAS,82.0,24.2,4.6,9.2,0.501,0.0,0.2,4.6,0.503,0.502,2.4,4.0,0.604,2.0,4.3,6.3,1.0,0.7,1.5,1.7,11.7,1987-88,0.53,0.16,0,22,1
Dennis Rodman,DET,82.0,26.2,4.9,8.6,0.561,0.1,0.294,4.8,0.568,0.565,1.9,3.5,0.535,3.9,4.8,8.7,1.3,0.9,0.5,1.9,11.6,1987-88,0.57,0.19,0,7,1
Mychal Thompson,LAL,80.0,25.1,4.6,9.0,0.512,0.0,0.0,4.6,0.515,0.512,2.3,3.7,0.634,2.5,3.6,6.1,0.8,0.5,1.0,1.4,11.6,1987-88,0.55,0.16,0,5,1
Kevin Willis,ATL,75.0,27.9,4.7,9.2,0.518,0.0,0.0,4.7,0.52,0.518,2.1,3.3,0.649,3.1,4.2,7.3,0.4,0.9,0.5,1.8,11.6,1987-88,0.54,0.18,0,12,1
A.C. Green,LAL,82.0,32.1,3.9,7.8,0.503,0.0,0.0,3.9,0.505,0.503,3.6,4.6,0.773,3.0,5.7,8.7,1.1,1.1,0.5,1.5,11.4,1987-88,0.58,0.2,0,5,1
Darrell Griffith,UTA,52.0,20.2,4.8,11.3,0.429,0.5,0.275,4.3,0.462,0.453,1.1,1.8,0.641,0.7,1.8,2.4,1.8,1.0,0.1,1.3,11.3,1987-88,0.47,0.16,0,13,1
Bill Cartwright,NYK,82.0,20.4,3.5,6.4,0.544,0.0,,3.5,0.544,0.544,4.1,5.2,0.798,1.5,3.1,4.7,1.0,0.5,0.5,1.6,11.1,1987-88,0.64,0.15,0,19,1
Tony Campbell,LAL,13.0,18.6,4.4,7.8,0.564,0.1,0.333,4.3,0.571,0.569,2.2,3.0,0.718,0.6,1.5,2.1,1.2,0.8,0.2,2.0,11.0,1987-88,0.6,0.7,0,5,1
Otis Birdsong,NJN,67.0,28.1,5.0,11.0,0.458,0.1,0.36,4.9,0.461,0.464,0.7,1.4,0.511,1.1,1.4,2.5,3.3,0.8,0.2,1.9,10.9,1987-88,0.47,0.14,0,26,0
Hot Rod Williams,CLE,77.0,27.4,4.1,8.6,0.477,0.0,0.0,4.1,0.477,0.477,2.7,3.6,0.756,2.1,4.5,6.6,1.3,0.8,1.9,1.4,10.9,1987-88,0.54,0.19,0,17,1
Sidney Moncrief,MIL,56.0,25.5,3.9,7.9,0.489,0.1,0.161,3.8,0.513,0.494,2.9,3.5,0.837,1.0,2.2,3.2,3.6,0.7,0.3,1.5,10.8,1987-88,0.57,0.22,0,16,1
Terry Catledge,WSB,70.0,23.0,4.2,8.4,0.506,0.0,0.0,4.2,0.508,0.506,2.2,3.4,0.655,2.6,3.1,5.7,0.9,0.5,0.1,1.4,10.7,1987-88,0.54,0.16,0,18,1
Rick Mahorn,DET,67.0,29.3,4.1,7.2,0.574,0.0,0.5,4.1,0.574,0.575,2.4,3.2,0.756,2.4,6.1,8.4,0.9,0.6,0.6,1.8,10.7,1987-88,0.62,0.23,0,7,1
John Battle,ATL,67.0,18.3,4.1,9.1,0.454,0.2,0.39,3.9,0.458,0.467,2.1,2.8,0.75,0.4,1.3,1.7,2.4,0.5,0.1,1.1,10.6,1987-88,0.51,0.13,0,12,1
Eric White,LAC,17.0,20.7,3.9,7.3,0.532,0.1,1.0,3.8,0.528,0.536,2.6,3.4,0.789,1.8,1.8,3.6,0.5,0.4,0.2,1.2,10.5,1987-88,0.6,0.58,0,27,0
Reggie Williams,LAC,35.0,24.5,4.3,12.2,0.356,0.4,0.224,4.0,0.377,0.371,1.4,1.9,0.727,1.6,1.8,3.4,1.7,0.8,0.6,1.8,10.4,1987-88,0.4,0.19,0,27,0
Larry Drew,LAC,74.0,27.4,4.4,9.7,0.456,0.4,0.289,4.1,0.479,0.474,1.1,1.5,0.769,0.3,1.3,1.6,5.2,0.9,0.0,2.1,10.3,1987-88,0.5,0.14,0,27,0
Allen Leavell,HOU,80.0,26.9,3.6,8.3,0.437,0.2,0.216,3.4,0.471,0.451,2.7,3.1,0.869,0.3,1.6,1.9,5.1,1.6,0.1,1.6,10.2,1987-88,0.53,0.15,0,14,1
Dave Corzine,CHI,80.0,29.1,4.3,8.9,0.481,0.0,0.111,4.3,0.486,0.482,1.4,1.9,0.752,2.1,4.5,6.6,1.9,0.5,1.2,1.4,10.1,1987-88,0.52,0.17,0,11,1
Kenny Walker,NYK,82.0,26.1,4.2,8.9,0.473,0.0,0.0,4.2,0.473,0.473,1.7,2.2,0.775,2.3,2.4,4.7,1.0,0.8,0.7,1.0,10.1,1987-88,0.51,0.14,0,19,1
Jay Humphries,2TM,68.0,26.6,4.2,7.9,0.528,0.0,0.167,4.1,0.54,0.531,1.6,2.3,0.732,0.7,1.8,2.6,5.8,1.2,0.1,1.9,10.0,1987-88,0.56,0.2,0,-1,0
Dell Curry,CLE,79.0,19.0,4.3,9.4,0.458,0.4,0.346,3.9,0.472,0.477,1.0,1.3,0.782,0.5,1.6,2.1,1.9,1.2,0.3,1.4,10.0,1987-88,0.5,0.11,0,17,1
Cliff Levingston,ATL,82.0,26.0,3.8,6.9,0.557,0.0,0.5,3.8,0.557,0.558,2.3,3.0,0.772,2.8,3.4,6.1,0.9,0.6,1.0,1.1,10.0,1987-88,0.61,0.17,0,12,1
Reggie Miller,IND,82.0,22.4,3.7,7.6,0.488,0.7,0.355,3.0,0.538,0.537,1.8,2.3,0.801,1.2,1.2,2.3,1.6,0.6,0.2,1.2,10.0,1987-88,0.58,0.11,0,20,0
Johnny Newman,NYK,77.0,20.6,3.5,8.1,0.435,0.3,0.28,3.2,0.463,0.456,2.7,3.2,0.841,1.1,0.9,2.1,0.8,0.9,0.1,1.3,10.0,1987-88,0.53,0.1,0,19,1
Herb Williams,IND,75.0,26.2,4.1,9.8,0.425,0.0,0.0,4.1,0.428,0.425,1.7,2.3,0.737,1.5,4.7,6.3,1.3,0.5,1.9,1.6,10.0,1987-88,0.46,0.16,0,20,0
Randy Wittman,ATL,82.0,29.4,4.6,9.6,0.478,0.0,,4.6,0.478,0.478,0.9,1.1,0.798,0.5,1.6,2.1,3.7,0.6,0.2,1.0,10.0,1987-88,0.5,0.13,0,12,1
Joe Kleine,SAC,82.0,24.4,4.0,8.4,0.472,0.0,,4.0,0.472,0.472,1.9,2.3,0.814,2.2,4.9,7.1,1.1,0.3,0.7,1.3,9.8,1987-88,0.52,0.16,0,24,0
Mark West,2TM,83.0,25.3,3.8,6.9,0.551,0.0,0.0,3.8,0.552,0.551,2.0,3.4,0.596,2.0,4.3,6.3,0.9,0.6,1.8,2.1,9.7,1987-88,0.58,0.15,0,-1,0
Harold Pressley,SAC,80.0,25.4,4.0,8.8,0.453,0.5,0.327,3.5,0.476,0.479,1.3,1.6,0.792,1.7,2.9,4.6,2.3,1.1,0.7,1.7,9.7,1987-88,0.51,0.14,0,24,0
Bob Hansen,UTA,81.0,22.2,3.9,7.5,0.517,0.4,0.33,3.5,0.553,0.543,1.4,1.9,0.743,0.8,1.5,2.3,2.2,0.8,0.1,1.1,9.6,1987-88,0.58,0.12,0,13,1
Dennis Hopson,NJN,61.0,22.4,3.6,9.0,0.404,0.2,0.267,3.4,0.417,0.415,2.1,2.9,0.74,1.0,1.3,2.3,1.9,0.9,0.4,2.0,9.6,1987-88,0.47,0.11,0,26,0
Calvin Natt,DEN,27.0,19.7,3.8,7.7,0.49,0.0,0.0,3.8,0.493,0.49,2.0,2.7,0.74,1.3,2.3,3.6,1.7,0.5,0.1,1.1,9.6,1987-88,0.54,0.36,0,8,1
Craig Hodges,2TM,66.0,21.9,3.7,7.9,0.463,1.3,0.491,2.4,0.448,0.545,0.9,1.1,0.831,0.3,0.9,1.2,2.3,0.7,0.0,1.2,9.5,1987-88,0.57,0.12,0,-1,0
Jeff Hornacek,PHO,82.0,27.4,3.7,7.4,0.506,0.2,0.293,3.5,0.528,0.52,1.9,2.3,0.822,0.9,2.3,3.2,6.6,1.3,0.1,1.9,9.5,1987-88,0.56,0.18,0,23,0
Brad Sellers,CHI,82.0,27.0,4.0,8.7,0.457,0.0,0.143,4.0,0.46,0.457,1.5,1.9,0.79,1.3,1.7,3.0,1.7,0.4,0.8,1.1,9.5,1987-88,0.5,0.11,0,11,1
Pearl Washington,NJN,68.0,20.3,3.6,8.0,0.448,0.2,0.224,3.4,0.47,0.458,1.9,2.8,0.698,0.8,0.9,1.7,3.0,1.3,0.1,2.1,9.3,1987-88,0.5,0.12,0,26,0
Kevin Johnson,2TM,80.0,24.0,3.4,7.5,0.461,0.1,0.208,3.4,0.472,0.466,2.2,2.6,0.839,0.5,1.9,2.4,5.5,1.3,0.3,1.8,9.2,1987-88,0.53,0.16,0,-1,0
Steve Harris,2TM,58.0,18.7,3.8,8.4,0.458,0.0,0.0,3.8,0.465,0.458,1.5,1.9,0.788,0.9,1.3,2.2,1.5,0.9,0.1,1.0,9.2,1987-88,0.5,0.14,0,-1,0
John Lucas,MIL,81.0,21.8,3.5,7.8,0.445,0.6,0.338,2.8,0.479,0.486,1.6,2.0,0.802,0.4,1.6,2.0,4.8,1.1,0.0,1.5,9.2,1987-88,0.53,0.13,0,16,1
Steve Burtt,LAC,19.0,16.4,3.3,7.3,0.449,0.0,0.0,3.3,0.463,0.449,2.5,3.6,0.681,0.3,1.1,1.4,2.0,0.5,0.3,2.1,9.0,1987-88,0.51,0.32,0,27,0
Jim Petersen,HOU,69.0,26.0,3.6,7.1,0.51,0.0,0.167,3.6,0.515,0.511,1.7,2.2,0.745,2.1,4.2,6.3,1.5,0.5,0.6,1.7,8.9,1987-88,0.55,0.18,0,14,1
David Wingate,PHI,61.0,23.3,3.6,8.9,0.4,0.2,0.25,3.4,0.412,0.409,1.6,2.2,0.75,0.7,0.9,1.7,2.0,0.8,0.4,1.7,8.9,1987-88,0.45,0.1,0,21,0
Antoine Carr,ATL,80.0,18.5,3.5,6.5,0.544,0.0,0.25,3.5,0.546,0.544,1.8,2.3,0.78,1.2,2.4,3.6,1.3,0.5,1.0,1.5,8.8,1987-88,0.59,0.13,0,12,1
Michael Cooper,LAL,61.0,29.4,3.1,7.9,0.392,0.9,0.32,2.2,0.434,0.451,1.6,1.9,0.858,0.8,2.9,3.7,4.7,1.1,0.4,1.7,8.7,1987-88,0.5,0.19,0,5,1
Dave Greenwood,SAS,45.0,27.5,3.4,7.3,0.46,0.0,0.0,3.4,0.463,0.46,1.8,2.5,0.748,2.0,4.6,6.7,2.2,0.7,0.5,1.6,8.6,1987-88,0.51,0.28,0,22,1
Ken Norman,LAC,66.0,21.7,3.7,7.6,0.482,0.0,0.0,3.7,0.492,0.482,1.3,2.6,0.512,1.5,2.5,4.0,1.2,0.7,0.5,1.6,8.6,1987-88,0.49,0.12,0,27,0
Ben Coleman,2TM,70.0,21.4,3.2,6.5,0.499,0.0,0.0,3.2,0.502,0.499,2.0,2.6,0.762,1.7,3.3,5.0,0.9,0.6,0.6,1.8,8.5,1987-88,0.56,0.14,0,-1,0
