Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,TS%,EFF,Nominated
Walter Davis,PHO,70.0,32.0,8.9,18.4,0.485,0.3,0.237,8.7,0.5,0.492,3.7,4.4,0.843,0.8,2.1,2.9,5.2,1.4,0.0,3.1,21.8,1985-86,20,0.54,0.26,0
Rolando Blackman,DAL,82.0,34.0,8.3,16.1,0.514,0.0,0.138,8.2,0.522,0.515,4.9,5.9,0.836,1.1,2.5,3.5,3.3,1.0,0.3,2.3,21.5,1985-86,12,0.57,0.23,0
Kevin McHale,BOS,68.0,35.3,8.3,14.4,0.574,0.0,,8.3,0.574,0.574,4.8,6.2,0.776,2.5,5.6,8.1,2.7,0.4,2.0,2.2,21.3,1985-86,5,0.62,0.36,0
Joe Barry Carroll,GSW,79.0,35.5,8.2,17.8,0.463,0.0,0.0,8.2,0.464,0.463,4.8,6.3,0.752,2.4,6.0,8.5,2.2,1.3,1.8,3.5,21.2,1985-86,27,0.52,0.26,0
Isiah Thomas,DET,77.0,36.2,7.9,16.2,0.488,0.3,0.31,7.6,0.501,0.498,4.7,6.0,0.79,1.1,2.5,3.6,10.8,2.2,0.3,3.8,20.9,1985-86,11,0.55,0.32,1
Orlando Woolridge,CHI,70.0,32.1,7.7,15.6,0.495,0.1,0.174,7.7,0.502,0.497,5.2,6.6,0.788,2.1,2.9,5.0,3.0,0.7,0.7,2.5,20.7,1985-86,18,0.56,0.26,0
Marques Johnson,LAC,75.0,34.7,8.2,16.0,0.51,0.0,0.067,8.2,0.516,0.511,4.0,5.2,0.76,2.1,3.5,5.5,3.8,1.4,0.7,2.4,20.3,1985-86,24,0.56,0.27,0
Sidney Moncrief,MIL,73.0,35.2,6.4,13.2,0.489,0.5,0.32,6.0,0.509,0.506,6.8,7.9,0.859,1.6,3.0,4.6,4.9,1.4,0.2,2.4,20.2,1985-86,7,0.61,0.29,1
Larry Nance,PHO,73.0,34.0,8.0,13.7,0.581,0.0,0.0,8.0,0.586,0.581,4.2,6.1,0.698,2.3,6.2,8.5,3.3,1.0,1.8,2.9,20.2,1985-86,20,0.62,0.33,0
Charles Barkley,PHI,80.0,36.9,7.4,13.0,0.572,0.2,0.227,7.2,0.598,0.58,5.0,7.2,0.685,4.4,8.4,12.8,3.9,2.2,1.6,4.4,20.0,1985-86,8,0.62,0.35,0
Patrick Ewing,NYK,50.0,35.4,7.7,16.3,0.474,0.0,0.0,7.7,0.477,0.474,4.5,6.1,0.739,2.5,6.5,9.0,2.0,1.1,2.1,3.4,20.0,1985-86,25,0.53,0.41,0
Kelly Tripucka,DET,81.0,32.4,7.6,15.3,0.498,0.1,0.48,7.4,0.498,0.502,4.7,5.5,0.856,1.4,2.9,4.3,3.3,1.1,0.1,2.3,20.0,1985-86,11,0.56,0.22,0
James Worthy,LAL,75.0,32.7,8.4,14.5,0.579,0.0,0.0,8.4,0.586,0.579,3.2,4.2,0.771,1.8,3.3,5.2,2.7,1.1,1.0,2.0,20.0,1985-86,6,0.61,0.28,0
Herb Williams,IND,78.0,35.5,8.0,16.3,0.492,0.0,0.083,8.0,0.496,0.492,3.8,5.2,0.73,2.2,6.9,9.1,2.2,0.6,2.4,2.7,19.9,1985-86,26,0.54,0.28,0
Terry Cummings,MIL,82.0,32.5,8.3,17.5,0.474,0.0,0.0,8.3,0.474,0.474,3.2,4.9,0.656,2.7,5.8,8.5,2.4,1.5,0.6,2.3,19.8,1985-86,7,0.5,0.24,1
Roy Hinson,CLE,82.0,34.6,7.6,14.2,0.532,0.0,0.0,7.6,0.534,0.532,4.4,6.2,0.719,2.0,5.8,7.8,1.2,0.8,1.4,2.3,19.6,1985-86,19,0.58,0.25,0
Jeff Ruland,WSB,30.0,37.1,7.1,12.8,0.554,0.0,0.0,7.1,0.559,0.554,4.8,6.7,0.725,3.6,7.1,10.7,5.3,0.8,0.8,4.0,19.0,1985-86,17,0.6,0.83,0
Ralph Sampson,HOU,79.0,36.3,7.9,16.2,0.488,0.0,0.133,7.9,0.492,0.488,3.1,4.8,0.641,3.3,7.9,11.1,3.6,1.3,1.6,3.6,18.9,1985-86,10,0.52,0.29,1
Magic Johnson,LAL,72.0,35.8,6.7,12.8,0.526,0.1,0.233,6.6,0.541,0.532,5.3,6.0,0.871,1.2,4.7,5.9,12.6,1.6,0.2,3.8,18.8,1985-86,6,0.61,0.4,1
Cliff Robinson,WSB,78.0,32.9,7.6,16.1,0.474,0.0,0.25,7.6,0.475,0.475,3.4,4.5,0.762,2.3,6.4,8.7,2.4,1.3,0.6,2.6,18.7,1985-86,17,0.52,0.25,0
Tom Chambers,SEA,66.0,30.6,6.5,14.1,0.466,0.2,0.271,6.3,0.476,0.473,5.2,6.3,0.836,1.9,4.6,6.5,2.0,0.8,0.6,2.9,18.5,1985-86,23,0.55,0.25,0
Clyde Drexler,POR,75.0,34.3,7.2,15.2,0.475,0.2,0.2,7.1,0.49,0.48,3.9,5.1,0.769,2.3,3.3,5.6,8.0,2.6,0.6,3.8,18.5,1985-86,14,0.53,0.3,1
Reggie Theus,SAC,82.0,35.6,6.7,13.9,0.48,0.1,0.171,6.6,0.49,0.483,4.9,6.0,0.827,0.9,2.8,3.7,9.6,1.4,0.2,4.0,18.3,1985-86,-1,0.55,0.25,0
Julius Erving,PHI,74.0,33.4,7.0,14.7,0.48,0.1,0.281,6.9,0.486,0.484,3.9,5.0,0.785,2.3,2.7,5.0,3.4,1.5,1.1,2.9,18.1,1985-86,8,0.54,0.24,1
Calvin Natt,DEN,69.0,29.1,6.8,13.5,0.504,0.0,0.333,6.8,0.505,0.505,4.0,5.0,0.801,1.8,4.5,6.3,2.4,0.8,0.2,1.9,17.7,1985-86,9,0.56,0.26,1
Clark Kellogg,IND,19.0,29.9,7.3,15.5,0.473,0.2,0.308,7.1,0.48,0.48,2.8,3.6,0.768,2.7,6.2,8.8,3.0,1.5,0.4,3.2,17.6,1985-86,26,0.52,1.01,0
Sleepy Floyd,GSW,82.0,33.7,6.2,12.3,0.506,0.5,0.328,5.7,0.53,0.526,4.3,5.4,0.796,0.9,2.7,3.6,9.1,1.9,0.2,3.5,17.2,1985-86,27,0.59,0.26,0
Xavier McDaniel,SEA,82.0,33.0,7.0,14.3,0.49,0.0,0.2,7.0,0.492,0.491,3.0,4.4,0.687,3.7,4.2,8.0,2.4,1.2,0.5,3.0,17.1,1985-86,23,0.53,0.21,0
Jack Sikma,SEA,80.0,34.9,6.4,13.8,0.462,0.0,0.0,6.4,0.467,0.462,4.4,5.1,0.864,1.8,7.5,9.4,3.8,1.2,0.9,2.7,17.1,1985-86,23,0.53,0.27,1
Alvin Robertson,SAS,82.0,35.1,6.9,13.3,0.514,0.1,0.276,6.8,0.521,0.518,3.2,4.0,0.795,2.2,4.0,6.3,5.5,3.7,0.5,3.1,17.0,1985-86,15,0.56,0.28,0
Lewis Lloyd,HOU,82.0,29.8,7.2,13.6,0.529,0.0,0.2,7.2,0.534,0.53,2.4,2.9,0.843,1.9,2.1,4.0,3.7,1.2,0.3,2.4,16.9,1985-86,10,0.57,0.2,0
Artis Gilmore,SAS,71.0,33.7,6.0,9.6,0.618,0.0,0.0,6.0,0.619,0.618,4.8,6.8,0.701,2.3,6.1,8.5,1.4,0.5,1.5,2.6,16.7,1985-86,15,0.66,0.29,0
Bill Laimbeer,DET,82.0,35.3,6.6,13.5,0.492,0.0,0.286,6.6,0.495,0.494,3.2,3.9,0.834,3.7,9.4,13.1,1.8,0.7,0.8,1.6,16.6,1985-86,11,0.55,0.29,0
Mike Gminski,NJN,81.0,31.2,6.1,11.7,0.517,0.0,0.0,6.1,0.518,0.517,4.3,4.9,0.893,2.5,5.7,8.2,1.6,0.7,0.9,1.7,16.5,1985-86,13,0.6,0.25,0
Quintin Dailey,CHI,35.0,20.7,5.8,13.4,0.432,0.0,0.0,5.8,0.439,0.432,4.7,5.7,0.823,0.6,1.4,1.9,1.9,0.6,0.1,1.9,16.3,1985-86,18,0.51,0.29,0
James Edwards,PHO,52.0,25.3,6.1,11.3,0.542,0.0,,6.1,0.542,0.542,4.1,5.8,0.702,1.5,4.3,5.8,1.4,0.4,0.6,2.5,16.3,1985-86,20,0.59,0.29,0
George Gervin,CHI,82.0,25.2,6.3,13.4,0.472,0.0,0.211,6.3,0.476,0.474,3.5,3.9,0.879,1.0,1.7,2.6,1.8,0.6,0.3,2.0,16.2,1985-86,18,0.54,0.15,0
Robert Parish,BOS,81.0,31.7,6.5,11.9,0.549,0.0,,6.5,0.549,0.549,3.0,4.1,0.731,3.0,6.5,9.5,1.8,0.8,1.4,2.3,16.1,1985-86,5,0.59,0.26,0
Buck Williams,NJN,82.0,37.4,6.1,11.7,0.523,0.0,0.0,6.1,0.524,0.523,3.7,5.4,0.676,4.0,8.0,12.0,1.6,0.9,1.2,3.0,15.9,1985-86,13,0.56,0.26,0
Otis Birdsong,NJN,77.0,31.1,7.0,13.7,0.513,0.1,0.364,6.9,0.516,0.517,1.6,2.7,0.581,1.1,1.5,2.6,3.4,1.1,0.2,2.3,15.8,1985-86,13,0.53,0.17,0
Pat Cummings,NYK,31.0,32.5,6.3,13.2,0.478,0.0,0.0,6.3,0.48,0.478,3.1,4.5,0.698,3.0,6.1,9.0,1.5,0.9,0.4,2.8,15.7,1985-86,25,0.52,0.53,0
Micheal Ray Richardson,NJN,47.0,34.1,6.3,14.1,0.448,0.1,0.148,6.2,0.461,0.451,3.0,3.8,0.788,1.6,3.7,5.3,7.2,2.7,0.2,3.2,15.7,1985-86,13,0.5,0.41,1
Dennis Johnson,BOS,78.0,35.0,6.2,13.6,0.455,0.1,0.143,6.1,0.468,0.458,3.1,3.8,0.818,0.9,2.6,3.4,5.8,1.4,0.4,2.2,15.6,1985-86,5,0.51,0.21,0
Mike Woodson,SAC,81.0,29.8,6.3,13.2,0.475,0.0,0.154,6.3,0.479,0.476,3.0,3.6,0.837,1.2,1.6,2.8,2.4,1.1,0.5,1.8,15.6,1985-86,-1,0.53,0.16,0
John Lucas,HOU,65.0,32.6,5.6,12.6,0.446,0.7,0.308,4.9,0.476,0.474,3.6,4.6,0.775,0.5,1.7,2.2,8.8,1.2,0.1,2.3,15.5,1985-86,10,0.53,0.27,0
Maurice Cheeks,PHI,82.0,39.9,6.0,11.1,0.537,0.0,0.235,5.9,0.542,0.539,3.4,4.1,0.842,0.7,2.2,2.9,9.2,2.5,0.3,2.9,15.4,1985-86,8,0.6,0.26,0
Sam Perkins,DAL,80.0,32.8,5.7,11.4,0.503,0.1,0.333,5.6,0.51,0.509,3.8,4.7,0.814,2.4,6.1,8.6,1.9,0.9,1.2,1.8,15.4,1985-86,12,0.57,0.24,0
Byron Scott,LAL,76.0,28.8,6.7,13.0,0.513,0.3,0.361,6.4,0.523,0.524,1.8,2.3,0.784,0.7,1.8,2.5,2.2,1.1,0.2,1.4,15.4,1985-86,6,0.55,0.17,0
Darryl Dawkins,NJN,51.0,23.7,5.6,8.6,0.644,0.0,0.0,5.6,0.645,0.644,4.1,5.8,0.707,1.7,3.3,4.9,1.5,0.3,1.2,2.4,15.3,1985-86,13,0.69,0.32,0
Karl Malone,UTA,81.0,30.6,6.2,12.5,0.496,0.0,0.0,6.2,0.497,0.496,2.4,5.0,0.481,2.1,6.7,8.9,2.9,1.3,0.5,3.4,14.9,1985-86,16,0.51,0.2,0
Mychal Thompson,POR,82.0,31.3,6.1,12.3,0.498,0.0,,6.1,0.498,0.498,2.4,3.8,0.641,2.2,5.2,7.4,2.1,0.9,0.4,2.4,14.7,1985-86,14,0.53,0.19,0
Wayman Tisdale,IND,81.0,28.1,6.4,12.4,0.515,0.0,0.0,6.4,0.516,0.515,2.0,2.9,0.684,2.4,4.9,7.2,1.0,0.4,0.5,2.3,14.7,1985-86,26,0.54,0.18,0
Thurl Bailey,UTA,82.0,28.8,5.9,13.1,0.448,0.0,0.0,5.9,0.451,0.448,2.8,3.4,0.83,1.8,4.2,6.0,1.9,0.5,1.4,1.8,14.6,1985-86,16,0.5,0.18,0
Norm Nixon,LAC,67.0,31.9,6.0,13.7,0.438,0.6,0.347,5.4,0.451,0.46,2.0,2.4,0.809,0.7,2.0,2.7,8.6,1.3,0.0,2.8,14.6,1985-86,24,0.49,0.24,0
Albert King,NJN,73.0,27.4,6.0,13.2,0.456,0.1,0.174,5.9,0.463,0.458,2.3,2.8,0.823,1.6,3.4,5.0,2.5,0.8,0.3,2.5,14.3,1985-86,13,0.5,0.17,0
Paul Pressey,MIL,80.0,33.8,5.1,10.5,0.488,0.1,0.182,5.0,0.504,0.492,4.0,4.9,0.806,1.6,3.4,5.0,7.8,2.1,0.9,3.0,14.3,1985-86,7,0.56,0.26,1
Vern Fleming,IND,80.0,35.9,5.5,10.8,0.506,0.0,0.167,5.4,0.508,0.506,3.3,4.4,0.745,1.3,3.6,4.8,6.3,1.6,0.1,2.6,14.2,1985-86,26,0.56,0.22,0
Terry Teagle,GSW,82.0,26.3,5.8,11.7,0.496,0.0,0.16,5.7,0.505,0.498,2.6,3.2,0.796,1.2,1.7,2.9,1.4,0.9,0.4,1.7,14.2,1985-86,27,0.54,0.14,0
Cedric Maxwell,LAC,76.0,32.3,4.1,8.7,0.475,0.0,0.0,4.1,0.477,0.475,5.9,7.4,0.795,3.2,5.0,8.2,2.8,0.8,0.4,2.7,14.1,1985-86,24,0.59,0.23,0
Chris Mullin,GSW,55.0,25.3,5.2,11.3,0.463,0.1,0.185,5.1,0.476,0.467,3.4,3.8,0.896,0.8,1.3,2.1,1.9,1.3,0.4,1.4,14.0,1985-86,27,0.54,0.21,0
Vinnie Johnson,DET,79.0,25.0,5.9,12.6,0.467,0.0,0.154,5.9,0.471,0.468,2.1,2.7,0.771,1.5,1.4,2.9,3.4,1.0,0.3,1.1,13.9,1985-86,11,0.5,0.17,0
Ricky Pierce,MIL,81.0,26.5,5.3,9.9,0.538,0.0,0.13,5.3,0.55,0.539,3.3,3.8,0.858,1.2,1.7,2.9,2.2,1.0,0.1,1.3,13.9,1985-86,7,0.6,0.17,0
Steve Johnson,SAS,71.0,25.7,5.1,8.1,0.632,0.0,,5.1,0.632,0.632,3.6,5.3,0.694,2.0,4.5,6.5,1.3,0.6,0.9,2.7,13.8,1985-86,15,0.66,0.22,0
Fat Lever,DEN,78.0,33.5,6.0,13.6,0.441,0.2,0.316,5.8,0.446,0.447,1.7,2.3,0.725,1.7,3.6,5.4,7.5,2.3,0.2,2.7,13.8,1985-86,9,0.47,0.23,0
Jay Vincent,DAL,80.0,24.9,5.5,11.5,0.481,0.0,0.0,5.5,0.483,0.481,2.8,3.4,0.81,1.3,3.3,4.6,2.3,0.8,0.3,1.8,13.8,1985-86,12,0.53,0.17,0
Melvin Turpin,CLE,80.0,28.7,5.7,10.5,0.544,0.0,0.0,5.7,0.547,0.544,2.3,2.9,0.811,2.3,4.7,7.0,0.7,0.8,1.3,1.7,13.7,1985-86,19,0.58,0.2,0
Steve Stipanovich,IND,79.0,30.3,5.3,11.2,0.47,0.0,0.2,5.2,0.473,0.471,3.1,4.0,0.768,2.2,5.7,7.9,2.6,0.9,0.9,1.8,13.6,1985-86,26,0.52,0.22,0
Sidney Green,CHI,80.0,28.8,5.1,10.9,0.465,0.0,0.0,5.1,0.469,0.465,3.3,4.2,0.782,2.6,5.6,8.2,1.7,0.9,0.5,2.8,13.5,1985-86,18,0.53,0.19,0
Gus Williams,WSB,77.0,29.7,5.6,13.2,0.428,0.4,0.259,5.2,0.45,0.443,1.8,2.4,0.734,0.7,1.5,2.2,5.9,1.2,0.2,2.1,13.5,1985-86,17,0.47,0.16,0
Wayne Cooper,DEN,78.0,27.1,5.4,11.6,0.466,0.0,0.429,5.4,0.466,0.467,2.2,2.8,0.795,2.4,5.4,7.8,1.0,0.5,2.9,1.5,13.1,1985-86,9,0.51,0.22,0
Gerald Henderson,SEA,82.0,31.3,5.3,11.0,0.482,0.2,0.346,5.1,0.491,0.492,2.3,2.7,0.83,1.1,1.2,2.3,5.9,1.7,0.1,2.2,13.1,1985-86,23,0.54,0.18,0
Jim Paxson,POR,75.0,25.7,5.0,10.6,0.47,0.3,0.323,4.7,0.482,0.482,2.9,3.3,0.889,0.6,1.4,2.0,3.7,1.3,0.1,1.5,13.1,1985-86,14,0.54,0.17,0
Johnny Moore,SAS,28.0,30.6,5.4,10.8,0.495,0.1,0.182,5.2,0.52,0.502,2.1,3.1,0.686,0.9,2.2,3.1,9.0,2.5,0.2,2.9,13.0,1985-86,15,0.53,0.66,0
Randy Wittman,ATL,81.0,34.1,5.8,10.9,0.53,0.1,0.313,5.7,0.534,0.533,1.3,1.7,0.77,0.6,1.5,2.1,3.8,1.0,0.2,1.4,12.9,1985-86,21,0.55,0.16,0
LaSalle Thompson,SAC,80.0,29.7,5.1,9.9,0.518,0.0,0.0,5.1,0.518,0.518,2.5,3.5,0.732,3.2,6.5,9.6,2.1,0.9,1.4,2.3,12.8,1985-86,-1,0.56,0.23,0
Frank Johnson,WSB,14.0,28.7,4.9,11.0,0.448,0.0,0.0,4.9,0.457,0.448,2.7,3.9,0.704,0.5,1.5,2.0,5.4,0.8,0.1,2.1,12.6,1985-86,17,0.5,0.82,0
Bill Hanzlik,DEN,79.0,25.1,4.2,9.4,0.447,0.1,0.195,4.1,0.461,0.452,4.0,5.1,0.785,1.1,2.2,3.3,4.0,1.4,0.2,2.1,12.5,1985-86,9,0.54,0.16,0
Gerald Wilkins,NYK,81.0,25.0,5.4,11.5,0.468,0.1,0.28,5.3,0.473,0.472,1.6,2.9,0.557,1.1,1.4,2.6,2.0,0.8,0.1,1.9,12.5,1985-86,25,0.49,0.11,0
Kevin Willis,ATL,82.0,28.0,5.1,9.9,0.517,0.0,0.0,5.1,0.52,0.517,2.1,3.2,0.654,3.0,5.6,8.6,0.5,0.8,0.5,2.2,12.3,1985-86,21,0.54,0.18,0
Derek Harper,DAL,79.0,27.2,4.9,9.2,0.534,0.2,0.235,4.8,0.557,0.542,2.2,2.9,0.747,0.9,1.9,2.9,5.3,1.9,0.3,1.8,12.2,1985-86,12,0.58,0.2,0
Robert Reid,HOU,82.0,26.3,5.0,10.7,0.464,0.1,0.182,4.9,0.475,0.468,2.0,2.6,0.757,0.8,2.9,3.7,2.7,1.1,0.2,1.2,12.0,1985-86,10,0.51,0.15,0
Larry Drew,SAC,75.0,26.3,5.0,10.3,0.485,0.1,0.323,4.9,0.491,0.491,1.7,2.1,0.795,0.3,1.3,1.7,4.5,0.9,0.0,1.8,11.9,1985-86,-1,0.53,0.15,0
Louis Orr,NYK,74.0,30.2,4.5,10.0,0.445,0.0,0.0,4.5,0.448,0.445,2.9,3.8,0.784,1.7,2.6,4.2,2.4,0.8,0.4,1.6,11.9,1985-86,25,0.51,0.16,0
Sam Bowie,POR,38.0,29.8,4.4,9.1,0.484,0.0,,4.4,0.484,0.484,3.0,4.2,0.708,2.4,6.2,8.6,2.6,0.6,2.5,2.3,11.8,1985-86,14,0.54,0.47,0
John Bagley,CLE,78.0,31.7,4.7,11.1,0.423,0.1,0.243,4.6,0.431,0.428,2.2,2.8,0.791,1.0,2.6,3.5,9.4,1.6,0.1,3.1,11.7,1985-86,19,0.47,0.21,0
Rickey Green,UTA,80.0,25.2,4.5,9.5,0.471,0.1,0.172,4.4,0.483,0.474,2.7,3.1,0.852,0.4,1.3,1.7,5.1,1.3,0.1,1.7,11.7,1985-86,16,0.54,0.16,0
Rory White,LAC,75.0,23.5,4.7,9.1,0.519,0.0,0.111,4.7,0.524,0.52,2.2,3.0,0.739,1.1,1.3,2.4,1.0,1.0,0.1,1.3,11.7,1985-86,24,0.56,0.13,0
Dan Roundfield,WSB,79.0,29.4,4.1,8.4,0.488,0.0,0.0,4.1,0.492,0.488,3.5,4.6,0.754,2.7,5.5,8.1,2.1,0.5,0.6,2.4,11.6,1985-86,17,0.56,0.19,0
Al Wood,SEA,78.0,22.4,4.6,10.5,0.435,0.1,0.135,4.5,0.449,0.438,2.4,3.1,0.782,1.0,2.1,3.1,1.5,0.7,0.2,1.4,11.6,1985-86,23,0.49,0.12,0
Doc Rivers,ATL,53.0,29.6,4.2,8.8,0.474,0.0,0.0,4.2,0.491,0.474,3.2,5.3,0.608,0.9,2.1,3.1,8.4,2.3,0.2,2.7,11.5,1985-86,21,0.52,0.3,0
Phil Hubbard,CLE,23.0,27.8,4.0,8.6,0.47,0.0,0.0,4.0,0.472,0.47,3.3,4.9,0.679,2.1,3.1,5.2,1.3,0.9,0.1,2.9,11.4,1985-86,19,0.53,0.43,0
Kurt Nimphius,2TM,80.0,27.8,4.4,8.7,0.506,0.0,0.0,4.4,0.508,0.506,2.4,3.3,0.74,1.9,3.8,5.7,0.8,0.4,1.3,1.5,11.2,1985-86,-1,0.55,0.16,0
James Bailey,NYK,48.0,25.9,4.2,9.2,0.456,0.0,0.0,4.2,0.46,0.456,2.7,3.5,0.772,2.1,4.8,7.0,1.0,0.7,0.8,2.1,11.1,1985-86,25,0.52,0.26,0
Benoit Benjamin,LAC,79.0,26.4,4.1,8.4,0.49,0.0,0.333,4.1,0.491,0.491,2.9,3.9,0.746,2.0,5.6,7.6,1.0,0.8,2.6,1.8,11.1,1985-86,24,0.55,0.2,0
Kenny Carr,POR,55.0,28.3,4.2,8.5,0.498,0.0,0.0,4.2,0.502,0.498,2.7,3.9,0.687,2.7,6.3,8.9,1.3,0.7,0.5,1.9,11.1,1985-86,14,0.54,0.27,0
Jay Humphries,PHO,82.0,33.3,4.3,9.0,0.479,0.0,0.138,4.2,0.493,0.482,2.4,3.1,0.767,0.7,2.5,3.2,6.4,1.6,0.1,2.3,11.0,1985-86,20,0.53,0.18,0
Mike Sanders,PHO,82.0,20.0,4.2,8.2,0.513,0.0,0.2,4.2,0.52,0.516,2.5,3.1,0.809,1.3,2.1,3.3,1.8,0.9,0.4,1.7,11.0,1985-86,20,0.58,0.14,0
Gene Banks,CHI,82.0,26.1,4.3,8.4,0.517,0.0,0.0,4.3,0.532,0.517,2.2,3.1,0.718,2.2,2.2,4.4,3.1,1.0,0.1,1.7,10.9,1985-86,18,0.56,0.16,0
Wes Matthews,SAS,75.0,24.7,4.3,8.0,0.531,0.1,0.16,4.2,0.547,0.534,2.3,2.8,0.82,0.4,1.3,1.7,6.3,1.2,0.4,3.1,10.9,1985-86,15,0.59,0.18,0
Alvan Adams,PHO,78.0,25.7,4.4,8.7,0.502,0.0,0.0,4.4,0.504,0.502,2.0,2.6,0.783,1.9,4.2,6.1,4.2,1.3,0.6,2.6,10.8,1985-86,20,0.55,0.2,0
Craig Hodges,MIL,66.0,26.3,4.3,8.6,0.5,1.1,0.451,3.2,0.52,0.564,1.1,1.3,0.872,0.6,1.2,1.8,3.5,1.1,0.0,1.3,10.8,1985-86,7,0.59,0.17,0
Rory Sparrow,NYK,74.0,31.7,4.7,9.8,0.477,0.1,0.25,4.6,0.484,0.481,1.4,1.7,0.795,0.7,1.6,2.3,6.4,1.1,0.2,2.1,10.8,1985-86,25,0.51,0.18,0
Danny Ainge,BOS,80.0,30.1,4.4,8.8,0.504,0.3,0.356,4.1,0.521,0.522,1.5,1.7,0.904,0.6,2.4,2.9,5.1,1.2,0.1,1.6,10.7,1985-86,5,0.56,0.17,0
Trent Tucker,NYK,77.0,23.2,4.5,9.6,0.472,0.5,0.451,4.0,0.475,0.499,1.0,1.3,0.79,0.9,1.3,2.2,2.5,0.8,0.1,0.9,10.6,1985-86,25,0.52,0.13,0
Rodney McCray,HOU,82.0,31.8,4.1,7.7,0.537,0.0,0.0,4.1,0.54,0.537,2.1,2.7,0.77,1.9,4.4,6.3,3.6,0.6,0.7,1.6,10.3,1985-86,10,0.58,0.19,0
Darrell Walker,NYK,81.0,25.0,4.0,9.3,0.43,0.0,0.0,4.0,0.436,0.43,2.3,3.4,0.686,1.2,1.5,2.7,4.2,1.8,0.4,2.4,10.3,1985-86,25,0.48,0.13,0
