Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,TS%,EFF,Nominated
Dan Issel,DEN,80.0,33.0,7.7,15.3,0.503,0.0,0.167,7.7,0.507,0.504,6.5,8.6,0.759,2.9,5.6,8.5,2.0,1.0,0.7,1.6,21.9,1980-81,22,0.57,0.28,0
Bernard King,GSW,81.0,36.0,9.0,15.4,0.588,0.0,0.333,9.0,0.589,0.588,3.8,5.4,0.703,2.2,4.6,6.8,3.5,0.9,0.4,3.3,21.9,1980-81,25,0.62,0.27,0
John Drew,ATL,67.0,31.0,7.5,16.4,0.456,0.0,0.0,7.5,0.459,0.456,6.8,8.6,0.787,2.2,3.6,5.7,1.2,1.5,0.2,2.9,21.7,1980-81,10,0.54,0.25,0
Magic Johnson,LAL,37.0,37.1,8.4,15.9,0.532,0.1,0.176,8.4,0.542,0.534,4.6,6.1,0.76,2.7,5.9,8.6,8.6,3.4,0.7,3.9,21.6,1980-81,6,0.58,0.81,0
Mike Newlin,NJN,79.0,36.8,8.0,16.1,0.497,0.1,0.333,7.9,0.501,0.501,5.2,5.9,0.888,1.0,1.8,2.8,3.8,1.1,0.1,3.1,21.4,1980-81,21,0.57,0.22,0
Larry Bird,BOS,82.0,39.5,8.8,18.3,0.478,0.2,0.27,8.5,0.489,0.485,3.5,4.0,0.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,21.2,1980-81,5,0.53,0.33,1
Darrell Griffith,UTA,81.0,35.4,8.8,19.1,0.464,0.1,0.192,8.7,0.473,0.467,2.8,4.0,0.716,1.0,2.6,3.6,2.4,1.3,0.5,2.9,20.6,1980-81,24,0.49,0.17,0
Marques Johnson,MIL,76.0,33.4,8.4,15.2,0.552,0.0,0.0,8.4,0.556,0.552,3.5,5.0,0.706,3.0,3.9,6.8,4.6,1.5,0.5,2.5,20.3,1980-81,11,0.58,0.3,0
Bill Cartwright,NYK,82.0,35.7,7.5,13.6,0.554,0.0,0.0,7.5,0.554,0.554,5.0,6.3,0.788,2.0,5.5,7.5,1.4,0.6,1.0,2.4,20.1,1980-81,15,0.61,0.25,0
Ray Williams,NYK,79.0,34.7,7.8,16.9,0.461,0.2,0.235,7.6,0.474,0.467,3.9,4.8,0.817,1.5,2.5,4.1,5.5,2.3,0.5,3.0,19.7,1980-81,15,0.52,0.24,0
Cliff Robinson,NJN,63.0,28.9,8.3,17.0,0.491,0.0,1.0,8.3,0.49,0.491,2.8,3.9,0.718,1.9,5.7,7.6,1.7,0.9,0.8,2.9,19.5,1980-81,21,0.52,0.28,0
Freeman Williams,SDC,82.0,24.1,7.8,16.8,0.465,0.6,0.34,7.2,0.479,0.482,3.1,3.6,0.852,0.9,0.7,1.6,2.0,1.1,0.1,2.0,19.3,1980-81,20,0.52,0.15,0
Eddie Johnson,ATL,75.0,35.9,7.6,15.1,0.504,0.1,0.3,7.6,0.508,0.507,3.7,4.7,0.784,0.8,1.6,2.4,5.4,1.7,0.1,2.6,19.1,1980-81,10,0.56,0.23,0
Scott Wedman,KCK,81.0,35.8,8.5,17.7,0.477,0.3,0.325,8.1,0.485,0.485,1.7,2.5,0.686,1.6,3.8,5.3,2.8,1.2,0.6,2.0,19.0,1980-81,-1,0.51,0.21,0
Joe Barry Carroll,GSW,82.0,35.6,7.5,15.3,0.491,0.0,0.0,7.5,0.492,0.491,3.8,5.4,0.716,3.3,5.9,9.3,1.4,0.6,1.5,3.0,18.9,1980-81,25,0.53,0.24,0
Robert Parish,BOS,82.0,28.0,7.7,14.2,0.545,0.0,0.0,7.7,0.545,0.545,3.4,4.8,0.71,3.0,6.5,9.5,1.8,1.0,2.6,2.3,18.9,1980-81,5,0.58,0.29,0
Reggie Theus,CHI,82.0,34.4,6.6,13.4,0.495,0.2,0.2,6.4,0.521,0.503,5.4,6.7,0.809,1.5,2.0,3.5,5.2,1.5,0.2,3.2,18.9,1980-81,23,0.58,0.22,0
Dennis Johnson,PHO,79.0,33.1,6.7,15.4,0.436,0.1,0.216,6.6,0.446,0.441,5.2,6.3,0.82,2.0,2.6,4.6,3.7,1.7,0.8,2.6,18.8,1980-81,9,0.52,0.22,1
Truck Robinson,PHO,82.0,37.7,7.9,15.6,0.505,0.0,,7.9,0.505,0.505,3.0,4.8,0.629,2.6,7.0,9.6,2.5,0.8,0.5,3.0,18.8,1980-81,9,0.53,0.24,0
Jack Sikma,SEA,82.0,35.6,7.3,16.0,0.454,0.0,0.0,7.3,0.456,0.454,4.1,5.0,0.823,2.2,8.1,10.4,3.0,1.0,1.1,2.5,18.7,1980-81,8,0.51,0.27,0
Walter Davis,PHO,78.0,28.0,7.6,14.1,0.539,0.1,0.412,7.5,0.541,0.542,2.7,3.2,0.836,0.8,1.8,2.6,3.9,1.2,0.2,2.8,18.0,1980-81,9,0.58,0.21,0
Artis Gilmore,CHI,82.0,34.5,6.7,10.0,0.67,0.0,,6.7,0.67,0.67,4.6,6.5,0.705,2.7,7.4,10.1,2.1,0.6,2.4,2.9,17.9,1980-81,23,0.7,0.3,0
Elvin Hayes,WSB,81.0,36.2,7.2,16.0,0.451,0.0,0.0,7.2,0.454,0.451,3.3,5.4,0.617,2.9,6.8,9.7,1.2,0.8,2.1,2.3,17.8,1980-81,16,0.48,0.23,0
John Long,DET,59.0,29.7,7.5,16.2,0.461,0.0,0.182,7.4,0.464,0.462,2.7,3.1,0.87,1.6,1.7,3.3,1.8,1.6,0.4,2.6,17.7,1980-81,26,0.5,0.22,0
James Silas,SAS,75.0,27.4,6.3,13.3,0.477,0.0,0.0,6.3,0.478,0.477,5.0,5.9,0.85,0.6,2.5,3.1,3.8,0.7,0.2,2.1,17.7,1980-81,14,0.56,0.21,0
Dan Roundfield,ATL,63.0,33.8,6.8,12.8,0.527,0.0,0.0,6.8,0.528,0.527,4.1,5.6,0.721,3.7,6.4,10.1,2.6,1.2,1.9,2.8,17.6,1980-81,10,0.58,0.37,1
Phil Ford,KCK,66.0,34.7,6.4,13.4,0.478,0.2,0.306,6.3,0.485,0.484,4.5,5.4,0.831,0.4,1.5,1.9,8.8,1.5,0.1,3.7,17.5,1980-81,-1,0.55,0.28,0
Billy Knight,IND,82.0,29.1,6.7,12.5,0.533,0.0,0.158,6.6,0.54,0.534,4.2,5.0,0.832,2.3,2.7,5.0,1.9,1.0,0.1,2.2,17.5,1980-81,19,0.6,0.2,0
Kevin Grevey,WSB,75.0,34.9,6.7,14.7,0.453,0.6,0.331,6.1,0.471,0.474,3.3,3.9,0.841,0.9,2.0,2.9,4.0,0.9,0.2,1.9,17.2,1980-81,16,0.52,0.2,0
Norm Nixon,LAL,79.0,37.5,7.3,15.3,0.476,0.0,0.167,7.3,0.479,0.477,2.5,3.2,0.778,0.8,2.1,2.9,8.8,1.8,0.1,3.6,17.1,1980-81,6,0.51,0.23,0
Jim Paxson,POR,79.0,34.2,7.4,13.8,0.536,0.0,0.067,7.4,0.549,0.537,2.3,3.1,0.734,0.9,1.7,2.7,3.8,1.8,0.1,1.7,17.1,1980-81,17,0.56,0.21,0
Mychal Thompson,POR,79.0,35.3,7.2,14.6,0.494,0.0,0.0,7.2,0.495,0.494,2.6,4.1,0.641,2.8,5.9,8.7,3.6,0.8,2.2,3.1,17.0,1980-81,17,0.52,0.26,0
Junior Bridgeman,MIL,77.0,28.8,7.0,14.3,0.487,0.0,0.143,6.9,0.494,0.489,2.8,3.1,0.884,1.0,2.7,3.8,3.0,1.1,0.4,1.9,16.8,1980-81,11,0.54,0.2,0
Phil Smith,SDC,76.0,31.3,6.8,13.9,0.491,0.1,0.222,6.8,0.496,0.493,3.1,4.1,0.757,0.6,1.4,2.1,4.9,1.1,0.2,2.3,16.8,1980-81,20,0.53,0.19,0
Calvin Murphy,HOU,76.0,26.5,6.9,14.1,0.492,0.1,0.235,6.9,0.496,0.493,2.7,2.8,0.958,0.4,0.7,1.1,2.9,1.5,0.1,1.7,16.7,1980-81,13,0.54,0.18,0
Paul Westphal,SEA,36.0,29.9,6.1,13.9,0.442,0.2,0.24,6.0,0.453,0.448,4.3,5.1,0.832,0.3,1.6,1.9,4.1,1.3,0.4,2.2,16.7,1980-81,8,0.52,0.38,0
Micheal Ray Richardson,NYK,79.0,40.2,6.6,14.1,0.469,0.3,0.225,6.3,0.493,0.479,2.8,4.3,0.663,2.2,4.7,6.9,7.9,2.9,0.4,3.8,16.4,1980-81,15,0.51,0.27,0
Campy Russell,NYK,79.0,36.3,6.4,13.9,0.464,0.1,0.308,6.3,0.468,0.468,3.4,4.3,0.781,1.4,3.1,4.5,3.3,1.3,0.1,2.7,16.4,1980-81,15,0.52,0.18,0
Purvis Short,GSW,79.0,29.2,6.9,14.6,0.475,0.0,0.176,6.9,0.479,0.476,2.1,2.6,0.82,1.9,3.0,4.9,3.2,1.0,0.2,1.8,16.1,1980-81,25,0.51,0.19,0
Robert Reid,HOU,82.0,36.1,6.5,13.6,0.482,0.0,0.0,6.5,0.483,0.482,2.8,3.7,0.756,2.0,5.1,7.1,4.2,2.0,0.8,2.4,15.9,1980-81,13,0.52,0.24,0
Kent Benson,DET,59.0,33.2,6.2,13.1,0.473,0.0,0.0,6.2,0.475,0.473,3.3,4.3,0.772,2.1,4.7,6.8,2.9,1.2,1.1,3.2,15.7,1980-81,26,0.52,0.28,0
James Edwards,IND,81.0,29.3,6.3,12.4,0.509,0.0,0.0,6.3,0.51,0.509,3.0,4.3,0.703,2.4,4.7,7.0,2.6,0.4,1.6,2.0,15.6,1980-81,19,0.55,0.22,0
Swen Nater,SDC,82.0,34.3,6.3,11.4,0.553,0.0,,6.3,0.553,0.553,3.0,3.7,0.795,3.6,8.8,12.4,2.4,0.6,0.6,2.6,15.6,1980-81,20,0.6,0.28,0
Greg Ballard,WSB,82.0,31.8,6.7,14.5,0.463,0.1,0.219,6.6,0.47,0.466,2.0,2.4,0.847,2.0,5.0,7.1,2.4,1.4,0.5,1.4,15.5,1980-81,16,0.5,0.21,0
Fred Brown,SEA,78.0,25.5,6.5,13.3,0.488,0.3,0.359,6.2,0.496,0.499,2.2,2.7,0.832,0.7,1.6,2.2,3.0,1.1,0.2,1.7,15.5,1980-81,8,0.53,0.17,0
Kenny Carr,CLE,81.0,32.3,5.8,11.3,0.511,0.0,0.0,5.8,0.513,0.511,3.6,5.0,0.714,3.2,7.1,10.3,2.4,0.9,0.5,2.9,15.2,1980-81,18,0.56,0.24,0
Cedric Maxwell,BOS,81.0,33.7,5.4,9.3,0.588,0.0,0.0,5.4,0.589,0.588,4.3,5.6,0.782,2.7,3.7,6.5,2.7,1.0,0.8,2.2,15.2,1980-81,5,0.65,0.23,0
Kelvin Ransey,POR,80.0,30.4,6.6,14.5,0.452,0.0,0.097,6.5,0.462,0.453,2.1,2.7,0.749,0.5,1.9,2.4,6.9,1.1,0.1,2.9,15.2,1980-81,17,0.48,0.18,0
Alvan Adams,PHO,75.0,27.4,6.1,11.6,0.526,0.0,,6.1,0.526,0.526,2.7,3.5,0.768,2.1,5.2,7.3,4.6,1.4,0.9,3.0,14.9,1980-81,9,0.57,0.26,0
Reggie King,KCK,81.0,33.9,5.8,10.7,0.544,0.0,,5.8,0.544,0.544,3.3,4.8,0.684,2.9,6.8,9.7,1.5,1.3,0.5,2.0,14.9,1980-81,-1,0.58,0.24,0
Michael Brooks,SDC,82.0,30.2,6.0,12.4,0.479,0.0,0.0,6.0,0.482,0.479,2.8,3.9,0.706,2.6,2.8,5.4,2.5,1.2,0.4,2.0,14.7,1980-81,20,0.52,0.18,0
Maurice Lucas,NJN,68.0,31.8,5.9,12.3,0.484,0.0,0.0,5.9,0.485,0.484,2.8,3.7,0.752,2.3,6.2,8.5,2.5,0.8,0.9,2.6,14.7,1980-81,21,0.53,0.26,0
Randy Smith,CLE,82.0,26.8,5.9,12.7,0.466,0.0,0.036,5.9,0.478,0.466,2.7,3.3,0.815,0.6,1.8,2.4,4.4,1.4,0.2,2.4,14.6,1980-81,18,0.52,0.16,0
Phil Hubbard,DET,80.0,28.6,5.4,11.0,0.492,0.0,0.333,5.4,0.493,0.493,3.7,5.3,0.69,3.0,4.4,7.3,1.9,1.0,0.3,2.9,14.5,1980-81,26,0.54,0.19,0
Johnny Davis,IND,76.0,33.4,5.6,12.1,0.465,0.1,0.121,5.6,0.477,0.467,3.1,3.9,0.796,0.7,1.5,2.2,6.3,1.3,0.2,2.2,14.4,1980-81,19,0.52,0.2,0
Dave Greenwood,CHI,82.0,33.0,5.9,12.1,0.486,0.0,0.0,5.9,0.487,0.486,2.6,3.5,0.748,3.0,5.9,8.8,2.7,0.9,1.5,2.3,14.4,1980-81,23,0.53,0.23,0
Roger Phegley,CLE,82.0,27.7,5.8,11.8,0.491,0.1,0.286,5.7,0.497,0.495,2.7,3.3,0.839,1.1,1.9,3.0,2.2,0.8,0.2,2.0,14.4,1980-81,18,0.54,0.15,0
Jim Spanarkel,DAL,82.0,28.3,4.9,10.6,0.467,0.0,0.1,4.9,0.471,0.467,4.6,5.2,0.887,1.7,1.9,3.6,2.8,1.4,0.2,2.1,14.4,1980-81,-1,0.56,0.17,0
Bob Lanier,MIL,67.0,26.2,5.6,10.7,0.525,0.0,1.0,5.6,0.524,0.526,3.1,4.1,0.751,1.9,4.3,6.2,2.7,1.1,1.2,2.1,14.3,1980-81,11,0.57,0.26,0
Larry Kenon,CHI,77.0,28.1,5.9,12.3,0.48,0.0,,5.9,0.48,0.48,2.3,3.2,0.735,2.3,2.8,5.2,1.6,1.0,0.2,2.1,14.1,1980-81,23,0.51,0.16,0
James Bailey,SEA,82.0,31.0,5.4,10.8,0.499,0.0,0.5,5.4,0.499,0.5,3.1,4.4,0.709,2.3,5.1,7.4,1.2,0.9,1.7,2.7,14.0,1980-81,8,0.55,0.19,0
Mike Bantom,IND,76.0,31.3,5.7,11.6,0.489,0.0,0.0,5.7,0.492,0.489,2.6,3.7,0.708,2.0,3.6,5.6,3.2,1.1,1.1,2.6,14.0,1980-81,19,0.53,0.2,0
Darryl Dawkins,PHI,76.0,27.5,5.6,9.2,0.607,0.0,,5.6,0.607,0.607,2.9,4.0,0.72,1.4,5.8,7.2,1.4,0.5,1.5,2.9,14.0,1980-81,7,0.64,0.22,0
Sidney Moncrief,MIL,80.0,30.2,5.0,9.2,0.541,0.0,0.222,5.0,0.545,0.543,4.0,5.0,0.804,2.3,2.8,5.1,3.3,1.1,0.5,1.8,14.0,1980-81,11,0.61,0.21,0
Tiny Archibald,BOS,80.0,35.3,4.8,9.6,0.499,0.0,0.0,4.8,0.505,0.499,4.3,5.2,0.816,0.5,1.8,2.2,7.7,0.9,0.2,3.3,13.8,1980-81,5,0.58,0.2,1
Billy Ray Bates,POR,77.0,20.3,5.7,11.7,0.487,0.2,0.259,5.5,0.501,0.494,2.2,2.6,0.854,0.9,1.1,2.0,2.5,1.1,0.1,1.9,13.8,1980-81,17,0.54,0.15,0
Keith Herron,DET,80.0,28.4,5.4,11.9,0.453,0.0,0.182,5.4,0.456,0.454,2.9,3.3,0.854,1.2,1.4,2.6,1.9,1.1,0.3,1.9,13.7,1980-81,26,0.51,0.14,0
Tom LaGarde,DAL,82.0,32.6,5.1,10.8,0.47,0.0,,5.1,0.47,0.47,3.5,5.4,0.649,2.2,6.0,8.1,2.9,0.4,0.5,2.5,13.7,1980-81,-1,0.52,0.19,0
Bobby Jones,PHI,81.0,25.3,5.0,9.3,0.539,0.0,0.0,5.0,0.541,0.539,3.5,4.3,0.813,1.8,3.6,5.4,2.8,1.2,0.9,1.8,13.5,1980-81,7,0.6,0.21,0
Ricky Sobers,CHI,71.0,25.4,5.0,10.8,0.462,0.2,0.258,4.8,0.481,0.473,3.3,3.5,0.935,0.6,1.4,2.0,4.0,1.4,0.2,2.9,13.5,1980-81,23,0.55,0.17,0
Calvin Natt,POR,74.0,28.5,5.3,10.7,0.497,0.1,0.5,5.3,0.497,0.5,2.7,3.8,0.707,2.0,3.8,5.8,2.1,1.0,0.2,2.2,13.4,1980-81,17,0.54,0.19,0
Kevin Porter,WSB,81.0,31.8,5.5,10.6,0.519,0.0,0.25,5.5,0.523,0.521,2.4,3.0,0.773,0.4,1.1,1.5,9.1,1.4,0.1,3.1,13.4,1980-81,16,0.56,0.21,0
Terry Tyler,DET,82.0,31.1,5.8,10.9,0.532,0.0,0.0,5.8,0.537,0.532,1.8,3.0,0.592,2.4,4.5,6.9,1.7,1.4,2.2,2.0,13.4,1980-81,26,0.55,0.21,0
Quinn Buckner,MIL,82.0,29.1,5.7,11.7,0.493,0.0,0.167,5.7,0.495,0.493,1.8,2.5,0.734,1.1,2.6,3.6,4.7,2.4,0.0,2.9,13.3,1980-81,11,0.52,0.18,0
Geoff Huston,2TM,81.0,30.0,5.7,11.6,0.489,0.0,0.2,5.7,0.491,0.49,1.9,2.6,0.708,0.6,1.1,1.7,4.9,0.7,0.1,2.2,13.2,1980-81,-1,0.52,0.15,0
Mike Gminski,NJN,56.0,28.2,5.2,12.3,0.423,0.0,0.0,5.2,0.424,0.423,2.8,3.6,0.767,2.4,5.0,7.5,1.3,1.0,1.8,2.3,13.2,1980-81,21,0.48,0.26,0
Sly Williams,NYK,67.0,29.5,5.2,10.6,0.493,0.0,0.25,5.2,0.496,0.494,2.8,4.0,0.69,2.4,3.8,6.2,2.7,1.7,0.3,2.1,13.2,1980-81,15,0.53,0.23,0
George McGinnis,IND,69.0,26.7,5.0,11.1,0.453,0.0,0.0,5.0,0.457,0.453,3.0,5.6,0.538,2.4,5.3,7.7,3.0,1.4,0.4,3.2,13.1,1980-81,19,0.48,0.2,0
Vinnie Johnson,SEA,81.0,28.5,5.2,9.7,0.534,0.0,0.2,5.2,0.536,0.534,2.6,3.3,0.793,2.4,2.1,4.5,4.2,1.0,0.2,2.7,13.0,1980-81,8,0.58,0.19,0
Lonnie Shelton,SEA,14.0,31.4,5.2,12.4,0.42,0.0,,5.2,0.42,0.42,2.6,3.9,0.655,2.2,3.4,5.6,2.5,1.6,0.2,2.9,13.0,1980-81,8,0.46,0.82,0
Bill Robinzine,2TM,78.0,25.8,5.0,10.6,0.475,0.0,0.167,5.0,0.477,0.475,2.8,3.6,0.776,2.2,4.7,6.8,1.5,1.0,0.1,2.4,12.9,1980-81,-1,0.53,0.17,0
Andrew Toney,PHI,75.0,23.6,5.3,10.7,0.495,0.1,0.31,5.2,0.502,0.501,2.1,3.0,0.712,0.4,1.5,1.9,3.6,0.8,0.1,2.9,12.9,1980-81,7,0.54,0.13,0
Mickey Johnson,MIL,82.0,25.8,4.6,10.3,0.448,0.0,0.167,4.6,0.454,0.45,3.2,4.0,0.789,2.2,4.4,6.6,3.5,1.1,0.9,2.8,12.5,1980-81,11,0.52,0.19,0
Mitch Kupchak,WSB,82.0,23.6,4.8,9.1,0.525,0.0,0.0,4.8,0.525,0.525,2.9,4.1,0.706,2.4,4.5,6.9,0.8,0.4,0.3,2.0,12.5,1980-81,16,0.57,0.16,0
Wes Matthews,2TM,79.0,28.7,4.9,9.9,0.494,0.1,0.238,4.8,0.501,0.497,2.6,3.2,0.802,0.6,1.2,1.8,5.2,1.4,0.2,3.3,12.4,1980-81,-1,0.55,0.15,0
Doug Collins,PHI,12.0,27.4,5.2,10.5,0.492,0.0,,5.2,0.492,0.492,2.0,2.4,0.828,0.5,1.9,2.4,3.5,0.6,0.3,1.8,12.3,1980-81,7,0.53,0.97,0
Greg Kelser,DET,25.0,26.2,4.8,11.4,0.421,0.0,0.0,4.8,0.424,0.421,2.7,4.2,0.642,2.1,2.7,4.8,1.8,1.4,1.2,3.1,12.3,1980-81,26,0.46,0.41,0
Mark Olberding,SAS,82.0,29.4,4.2,8.4,0.508,0.0,0.143,4.2,0.512,0.509,3.8,4.6,0.829,1.8,4.0,5.7,3.4,0.9,0.4,2.5,12.3,1980-81,14,0.59,0.19,0
Steve Hawes,ATL,74.0,31.2,4.5,8.6,0.523,0.0,0.25,4.5,0.524,0.524,3.0,3.8,0.799,2.2,5.4,7.6,2.3,1.0,0.4,2.2,12.0,1980-81,10,0.58,0.22,0
Joe Bryant,SDC,82.0,28.8,4.6,9.6,0.479,0.0,0.133,4.6,0.486,0.48,2.4,3.0,0.791,1.8,3.6,5.4,2.3,0.9,0.4,2.1,11.6,1980-81,20,0.53,0.16,0
Rudy Tomjanovich,HOU,52.0,24.3,5.1,10.8,0.467,0.2,0.235,4.8,0.49,0.478,1.3,1.6,0.793,1.5,2.5,4.0,1.6,0.4,0.1,1.1,11.6,1980-81,13,0.5,0.2,0
Brian Winters,MIL,69.0,25.7,4.8,10.1,0.475,0.3,0.353,4.5,0.485,0.488,1.7,2.0,0.869,0.5,1.6,2.0,3.3,1.0,0.1,2.0,11.6,1980-81,11,0.53,0.15,0
Don Collins,2TM,81.0,22.8,4.4,10.0,0.444,0.0,0.0,4.4,0.447,0.444,2.6,3.4,0.776,1.6,1.7,3.3,2.3,1.3,0.3,2.1,11.5,1980-81,-1,0.5,0.13,0
John Johnson,SEA,80.0,29.1,4.7,10.8,0.431,0.0,0.0,4.7,0.431,0.431,2.2,2.7,0.808,1.7,2.8,4.5,3.9,0.7,0.3,2.9,11.5,1980-81,8,0.48,0.14,0
Kiki Vandeweghe,DEN,51.0,27.0,4.5,10.5,0.426,0.0,0.0,4.5,0.432,0.426,2.5,3.1,0.818,1.7,3.6,5.3,1.8,0.6,0.5,1.7,11.5,1980-81,22,0.48,0.22,0
Kermit Washington,POR,73.0,29.0,4.5,7.8,0.569,0.0,0.0,4.5,0.57,0.569,2.5,3.9,0.628,3.2,6.2,9.4,2.0,1.2,1.2,2.0,11.4,1980-81,17,0.6,0.25,0
Darwin Cook,NJN,81.0,24.4,4.7,10.1,0.468,0.1,0.24,4.7,0.475,0.471,1.6,2.2,0.733,1.2,1.7,2.9,3.7,1.7,0.4,2.2,11.2,1980-81,21,0.51,0.14,0
Brad Davis,DAL,56.0,30.1,4.1,7.3,0.561,0.1,0.176,4.1,0.578,0.565,2.9,3.6,0.799,0.5,2.2,2.7,6.9,0.9,0.2,2.2,11.2,1980-81,-1,0.63,0.28,0
Mike O'Koren,NJN,79.0,31.3,4.6,9.5,0.486,0.1,0.278,4.6,0.491,0.489,1.7,2.7,0.637,2.3,3.8,6.1,3.2,1.1,0.3,1.8,11.0,1980-81,21,0.51,0.18,0
Jim Chones,LAL,82.0,31.2,4.6,9.2,0.503,0.0,0.0,4.6,0.506,0.503,1.5,2.4,0.653,2.2,5.8,8.0,1.9,0.5,1.2,1.9,10.8,1980-81,6,0.53,0.18,0
Steve Mix,PHI,72.0,18.4,4.0,8.0,0.501,0.0,0.0,4.0,0.503,0.501,2.8,3.3,0.833,1.5,2.2,3.7,1.6,0.8,0.3,1.2,10.8,1980-81,7,0.57,0.16,0
George Johnson,IND,43.0,21.6,4.2,9.2,0.462,0.0,0.0,4.2,0.468,0.462,2.2,2.8,0.762,2.3,4.2,6.5,2.0,1.1,0.5,2.0,10.6,1980-81,19,0.51,0.3,0
Tom Owens,POR,79.0,23.3,4.1,8.0,0.511,0.0,0.0,4.1,0.514,0.511,2.4,3.2,0.764,2.1,3.7,5.8,1.8,0.5,0.6,1.6,10.6,1980-81,17,0.56,0.16,0
Dave Corzine,SAS,82.0,23.9,4.5,9.1,0.49,0.0,0.0,4.5,0.492,0.49,1.5,2.1,0.714,2.8,5.0,7.8,1.4,0.5,1.2,1.6,10.5,1980-81,14,0.52,0.18,0
Mike Dunleavy,HOU,74.0,21.7,4.2,8.5,0.491,0.0,0.063,4.2,0.502,0.491,2.1,2.5,0.839,0.4,1.2,1.6,3.6,0.9,0.0,1.9,10.5,1980-81,13,0.55,0.14,0
Louis Orr,IND,82.0,21.8,4.2,8.6,0.491,0.0,0.0,4.2,0.495,0.491,2.0,2.5,0.807,2.1,2.3,4.4,1.6,0.7,0.3,1.5,10.5,1980-81,19,0.54,0.14,0
Bob McAdoo,2TM,16.0,20.1,4.3,9.8,0.433,0.0,0.0,4.3,0.436,0.433,1.8,2.6,0.707,1.1,3.1,4.2,1.9,1.1,0.8,2.0,10.3,1980-81,-1,0.47,0.62,0
Dave Robisch,2TM,84.0,25.2,3.9,8.8,0.446,0.0,,3.9,0.446,0.446,2.4,2.9,0.81,1.9,4.1,5.9,2.1,0.4,0.4,1.0,10.2,1980-81,-1,0.51,0.15,0
Reggie Johnson,SAS,79.0,21.7,4.3,8.6,0.499,0.0,0.0,4.3,0.499,0.499,1.6,2.4,0.663,1.7,2.9,4.5,1.0,0.6,0.6,1.6,10.2,1980-81,14,0.53,0.13,0
Brian Taylor,SDC,80.0,28.9,3.9,7.4,0.525,0.6,0.383,3.3,0.559,0.562,1.8,2.3,0.789,0.7,1.2,1.9,5.5,1.5,0.3,1.4,10.1,1980-81,20,0.6,0.17,0
Richard Washington,2TM,80.0,22.7,4.3,9.3,0.455,0.0,0.5,4.2,0.455,0.456,1.5,2.0,0.748,2.0,3.7,5.7,1.6,0.6,0.8,1.6,10.0,1980-81,-1,0.49,0.15,0
