Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Aaron Holiday,28.0,HOU,PG,13.0,0.0,8.8,1.3,2.7,0.486,0.9,2.0,0.462,0.4,0.7,0.556,0.657,0.4,0.5,0.714,0.0,1.0,1.0,1.2,0.1,0.1,0.2,0.4,3.9,,2024-25
Jock Landale,29.0,HOU,C,14.0,0.0,11.1,1.5,3.4,0.447,0.2,0.4,0.5,1.3,2.9,0.439,0.479,0.7,1.4,0.526,1.4,1.9,3.3,1.0,0.2,0.4,0.5,1.0,3.9,,2024-25
Rob Dillingham,20.0,MIN,PG,11.0,0.0,8.4,1.6,3.3,0.5,0.5,1.1,0.5,1.1,2.2,0.5,0.583,0.0,0.0,,0.1,0.7,0.8,1.5,0.0,0.0,1.1,0.4,3.8,,2024-25
Jett Howard,21.0,ORL,SF,22.0,0.0,10.2,1.4,3.7,0.366,1.0,3.0,0.323,0.4,0.8,0.529,0.494,0.1,0.1,1.0,0.5,0.8,1.3,0.4,0.1,0.3,0.3,0.9,3.8,,2024-25
Damion Lee,32.0,PHO,SG,4.0,0.0,9.3,1.0,3.5,0.286,0.3,2.3,0.111,0.8,1.3,0.6,0.321,1.5,1.5,1.0,0.0,1.3,1.3,1.3,0.5,0.0,0.8,0.3,3.8,,2024-25
Nicolas Batum,36.0,LAC,PF,24.0,0.0,17.6,1.3,3.3,0.38,1.0,2.6,0.371,0.3,0.7,0.412,0.525,0.3,0.3,0.75,0.8,1.9,2.7,1.5,0.3,0.5,0.4,1.3,3.7,,2024-25
Bruno Fernando,26.0,TOR,C,15.0,1.0,9.4,1.7,3.1,0.532,0.0,0.0,,1.7,3.1,0.532,0.532,0.4,0.5,0.75,1.4,1.9,3.3,1.2,0.2,0.6,0.9,1.7,3.7,,2024-25
Patty Mills,36.0,UTA,PG,9.0,0.0,15.3,1.2,3.4,0.355,0.8,2.7,0.292,0.4,0.8,0.571,0.468,0.3,0.3,1.0,0.1,0.8,0.9,1.4,0.7,0.2,0.9,0.9,3.6,,2024-25
Rayan Rupert,20.0,POR,SG,19.0,0.0,10.8,1.4,3.2,0.433,0.5,1.4,0.333,0.9,1.7,0.515,0.508,0.4,0.6,0.667,0.8,0.8,1.6,0.4,0.4,0.1,0.6,0.8,3.6,,2024-25
Dru Smith,27.0,MIA,SG,7.0,0.0,12.1,1.4,3.0,0.476,0.7,1.1,0.625,0.7,1.9,0.385,0.595,0.0,0.0,,0.9,2.0,2.9,1.4,0.9,0.6,0.9,1.0,3.6,,2024-25
Bol Bol,25.0,PHO,PF,6.0,0.0,5.3,1.3,2.2,0.615,0.2,0.8,0.2,1.2,1.3,0.875,0.654,0.7,1.0,0.667,0.7,0.8,1.5,0.2,0.0,0.0,0.5,0.2,3.5,,2024-25
Ousmane Dieng,21.0,OKC,PF,16.0,0.0,11.6,1.3,3.7,0.339,0.6,2.3,0.25,0.7,1.4,0.478,0.415,0.4,0.7,0.636,0.6,2.1,2.6,0.8,0.7,0.3,0.3,1.1,3.5,,2024-25
Andre Jackson Jr.,23.0,MIL,SG,20.0,12.0,18.3,1.4,3.5,0.386,0.6,1.8,0.343,0.8,1.8,0.429,0.471,0.2,0.4,0.5,0.8,2.5,3.2,1.4,0.7,0.3,1.5,2.5,3.5,,2024-25
Cam Reddish,25.0,LAL,SF,15.0,8.0,19.5,1.2,2.5,0.486,0.6,1.3,0.45,0.6,1.1,0.529,0.608,0.5,0.8,0.667,0.4,1.9,2.3,0.6,1.0,0.3,0.5,1.7,3.5,,2024-25
Daniel Theis,32.0,NOP,C,17.0,7.0,14.3,1.4,3.3,0.429,0.2,1.1,0.222,1.2,2.2,0.526,0.464,0.5,0.6,0.8,0.7,2.7,3.4,1.2,0.3,0.6,0.6,1.5,3.5,,2024-25
Gabe Vincent,28.0,LAL,PG,22.0,1.0,18.0,1.4,4.0,0.341,0.6,2.5,0.236,0.8,1.5,0.515,0.415,0.2,0.4,0.5,0.3,0.8,1.1,0.7,0.7,0.0,0.4,1.6,3.5,,2024-25
Johnny Furphy,20.0,IND,SG,13.0,0.0,10.1,1.2,3.0,0.385,0.7,1.8,0.391,0.5,1.2,0.375,0.5,0.4,0.4,1.0,0.7,0.8,1.5,0.4,0.3,0.3,0.6,0.7,3.4,,2024-25
Dario Šarić,30.0,DEN,C,10.0,3.0,13.6,1.2,4.0,0.3,0.5,1.9,0.263,0.7,2.1,0.333,0.363,0.5,0.6,0.833,0.9,2.6,3.5,1.1,0.6,0.0,1.1,1.4,3.4,,2024-25
Nick Smith Jr.,20.0,CHO,SG,11.0,0.0,9.0,1.3,3.5,0.368,0.7,1.9,0.381,0.5,1.5,0.353,0.474,0.0,0.0,,0.1,0.7,0.8,0.8,0.2,0.0,0.2,0.3,3.3,,2024-25
Tristan Thompson,33.0,CLE,PF,8.0,0.0,7.3,1.6,2.4,0.684,0.0,0.1,0.0,1.6,2.3,0.722,0.684,0.0,0.8,0.0,0.4,1.8,2.1,0.5,0.0,0.3,0.5,0.8,3.3,,2024-25
Moses Brown,25.0,IND,C,9.0,0.0,5.1,1.4,2.2,0.65,0.0,0.0,,1.4,2.2,0.65,0.65,0.3,0.6,0.6,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2,,2024-25
Charles Bassey,24.0,SAS,C,13.0,0.0,8.8,1.3,2.3,0.567,0.0,0.0,,1.3,2.3,0.567,0.567,0.5,0.8,0.545,1.0,2.0,3.0,0.6,0.5,0.9,0.5,1.2,3.1,,2024-25
Isaiah Collier,20.0,UTA,PG,14.0,1.0,17.1,1.2,3.8,0.321,0.2,1.6,0.136,1.0,2.2,0.452,0.349,0.5,1.1,0.438,0.1,1.5,1.6,3.1,0.9,0.1,2.4,1.7,3.1,,2024-25
Moussa Diabaté,23.0,CHO,C,22.0,4.0,20.0,1.5,2.6,0.552,0.0,0.0,,1.5,2.6,0.552,0.552,0.2,0.7,0.333,3.6,4.2,7.8,0.7,0.7,1.0,1.0,1.8,3.1,,2024-25
Jabari Walker,22.0,POR,SF,17.0,0.0,10.2,1.2,3.2,0.389,0.1,0.9,0.133,1.1,2.3,0.487,0.407,0.5,0.5,0.889,1.1,2.0,3.1,0.6,0.3,0.1,0.6,1.1,3.1,,2024-25
Cody Williams,20.0,UTA,SG,16.0,7.0,18.7,1.1,4.2,0.269,0.4,2.3,0.189,0.7,1.9,0.367,0.321,0.4,0.6,0.6,0.5,1.8,2.3,1.2,0.4,0.3,0.7,1.3,3.1,,2024-25
Justin Champagnie,23.0,WAS,SF,3.0,0.0,11.3,1.3,3.0,0.444,0.3,1.3,0.25,1.0,1.7,0.6,0.5,0.0,0.0,,1.0,1.3,2.3,1.3,0.0,0.0,0.3,1.7,3.0,,2024-25
David Duke Jr.,25.0,SAS,SG,1.0,0.0,8.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,,2024-25
Collin Gillespie,25.0,PHO,PG,1.0,0.0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,2024-25
Taze Moore,26.0,POR,SG,2.0,0.0,10.0,1.0,5.0,0.2,0.5,2.0,0.25,0.5,3.0,0.167,0.25,0.5,1.0,0.5,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,,2024-25
Oscar Tshiebwe,25.0,UTA,PF,1.0,0.0,16.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,0.75,3.0,6.0,9.0,0.0,2.0,0.0,1.0,3.0,3.0,,2024-25
Kobe Brown,25.0,LAC,PF,7.0,0.0,6.7,1.3,2.9,0.45,0.1,0.9,0.167,1.1,2.0,0.571,0.475,0.1,0.3,0.5,0.7,1.6,2.3,0.6,0.1,0.0,0.0,0.7,2.9,,2024-25
Tyler Kolek,23.0,NYK,PG,15.0,0.0,7.1,1.0,2.4,0.417,0.6,1.4,0.429,0.4,1.0,0.4,0.542,0.3,0.3,1.0,0.1,0.7,0.8,0.7,0.3,0.1,0.5,0.6,2.9,,2024-25
Vit Krejci,24.0,ATL,PG,9.0,0.0,10.9,1.0,2.4,0.409,0.4,1.2,0.364,0.6,1.2,0.455,0.5,0.4,0.8,0.571,0.3,0.8,1.1,1.1,0.4,0.2,0.6,1.7,2.9,,2024-25
Taj Gibson,39.0,CHO,C,11.0,7.0,11.4,1.3,2.6,0.483,0.1,0.2,0.5,1.2,2.5,0.481,0.5,0.2,0.3,0.667,1.7,1.9,3.6,0.4,0.4,0.3,0.8,1.5,2.8,,2024-25
Craig Porter Jr.,24.0,CLE,PG,16.0,0.0,9.4,1.1,1.9,0.581,0.3,0.7,0.455,0.8,1.3,0.65,0.661,0.2,0.3,0.6,0.1,0.8,0.9,1.4,0.3,0.4,0.6,0.4,2.8,,2024-25
Ryan Rollins,22.0,MIL,PG,11.0,1.0,6.5,0.9,2.3,0.4,0.5,1.1,0.5,0.4,1.2,0.308,0.52,0.5,0.5,0.833,0.3,0.7,1.0,0.8,0.6,0.4,0.6,0.9,2.8,,2024-25
Josh Minott,22.0,MIN,SF,9.0,0.0,8.0,1.1,1.9,0.588,0.1,0.9,0.125,1.0,1.0,1.0,0.618,0.3,0.6,0.6,0.1,1.4,1.6,0.6,0.2,0.3,0.4,1.2,2.7,,2024-25
TyTy Washington Jr.,23.0,PHO,PG,3.0,0.0,9.0,1.0,2.0,0.5,0.7,1.0,0.667,0.3,1.0,0.333,0.667,0.0,0.0,,0.0,0.3,0.3,1.3,0.7,0.0,0.3,0.0,2.7,,2024-25
Delon Wright,32.0,MIL,PG,18.0,2.0,15.9,0.9,2.9,0.321,0.5,1.8,0.281,0.4,1.2,0.381,0.406,0.3,0.6,0.5,0.6,1.2,1.8,1.6,0.7,0.3,0.4,0.6,2.7,,2024-25
Trey Jemison,25.0,NOP,C,13.0,0.0,11.2,1.1,2.2,0.5,0.0,0.0,,1.1,2.2,0.5,0.5,0.5,1.0,0.462,1.2,1.6,2.8,0.6,0.5,0.5,0.8,1.8,2.6,,2024-25
DeAndre Jordan,36.0,DEN,C,8.0,0.0,9.8,1.3,2.3,0.556,0.0,0.0,,1.3,2.3,0.556,0.556,0.1,0.5,0.25,1.3,2.0,3.3,0.5,0.3,0.3,0.9,1.4,2.6,,2024-25
Doug McDermott,33.0,SAC,SF,17.0,2.0,8.4,0.9,2.8,0.319,0.7,2.3,0.308,0.2,0.5,0.375,0.447,0.2,0.3,0.6,0.1,0.8,0.8,0.2,0.1,0.1,0.1,0.9,2.6,,2024-25
Steven Adams,31.0,HOU,C,12.0,0.0,11.2,0.9,1.7,0.55,0.0,0.0,,0.9,1.7,0.55,0.55,0.7,1.5,0.444,1.5,1.7,3.2,1.2,0.3,0.2,1.3,1.3,2.5,,2024-25
Johnny Davis,22.0,WAS,SG,15.0,0.0,7.3,1.1,2.2,0.485,0.2,0.5,0.375,0.9,1.7,0.52,0.53,0.2,0.3,0.6,0.3,1.0,1.3,0.3,0.3,0.1,0.1,0.7,2.5,,2024-25
Anthony Gill,32.0,WAS,PF,15.0,0.0,6.5,0.9,1.4,0.619,0.3,0.5,0.5,0.6,0.9,0.692,0.714,0.5,0.9,0.5,0.2,0.7,0.9,0.3,0.3,0.1,0.1,0.2,2.5,,2024-25
Dillon Jones,23.0,OKC,SF,20.0,0.0,8.8,1.0,2.7,0.352,0.4,1.6,0.219,0.6,1.1,0.545,0.417,0.3,0.4,0.625,0.8,1.3,2.1,0.8,0.2,0.1,0.4,1.0,2.5,,2024-25
E.J. Liddell,24.0,CHI,PF,6.0,0.0,5.2,0.8,1.3,0.625,0.5,1.0,0.5,0.3,0.3,1.0,0.813,0.3,0.3,1.0,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,,2024-25
Drew Peterson,25.0,BOS,PF,6.0,0.0,10.3,0.7,2.0,0.333,0.7,1.8,0.364,0.0,0.2,0.0,0.5,0.5,0.7,0.75,0.5,1.7,2.2,0.3,0.3,0.3,0.3,0.8,2.5,,2024-25
Jaylon Tyson,22.0,CLE,SG,12.0,1.0,8.5,1.0,2.2,0.462,0.3,0.8,0.3,0.8,1.3,0.563,0.519,0.3,0.5,0.5,0.8,1.2,2.0,0.9,0.3,0.0,0.5,1.4,2.5,,2024-25
Chris Duarte,27.0,CHI,SG,12.0,0.0,4.2,0.8,1.5,0.5,0.4,1.0,0.417,0.3,0.5,0.667,0.639,0.5,0.7,0.75,0.3,0.8,1.2,0.3,0.0,0.0,0.1,0.4,2.4,,2024-25
Jeff Green,38.0,HOU,PF,7.0,0.0,5.7,1.0,1.9,0.538,0.4,1.1,0.375,0.6,0.7,0.8,0.654,0.0,0.0,,0.0,0.6,0.6,0.1,0.3,0.0,0.3,0.3,2.4,,2024-25
Hunter Tyson,24.0,DEN,PF,12.0,0.0,9.2,0.8,1.9,0.435,0.3,1.1,0.231,0.6,0.8,0.7,0.5,0.5,0.6,0.857,0.3,1.3,1.7,0.5,0.2,0.3,0.4,1.2,2.4,,2024-25
Kel'el Ware,20.0,MIA,C,10.0,0.0,6.9,1.0,2.5,0.4,0.2,0.7,0.286,0.8,1.8,0.444,0.44,0.2,0.2,1.0,0.2,1.4,1.6,0.1,0.3,0.5,0.4,0.6,2.4,,2024-25
Patrick Baldwin Jr.,22.0,WAS,SF,11.0,0.0,5.1,0.8,1.7,0.474,0.5,1.0,0.455,0.4,0.7,0.5,0.605,0.2,0.4,0.5,0.3,0.8,1.1,0.1,0.2,0.2,0.2,0.4,2.3,,2024-25
Vlatko Čančar,27.0,DEN,PF,4.0,0.0,8.5,1.0,1.8,0.571,0.3,0.5,0.5,0.8,1.3,0.6,0.643,0.0,0.0,,0.8,1.3,2.0,0.0,0.0,0.3,0.5,1.0,2.3,,2024-25
John Konchar,28.0,MEM,SG,11.0,0.0,12.0,0.7,1.6,0.444,0.5,1.5,0.375,0.2,0.2,1.0,0.611,0.3,0.4,0.75,0.7,1.9,2.6,0.8,0.5,0.5,0.5,0.8,2.3,,2024-25
Lester Quiñones,24.0,PHI,SG,4.0,0.0,4.3,1.0,2.0,0.5,0.0,0.8,0.0,1.0,1.3,0.8,0.5,0.3,0.3,1.0,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,,2024-25
Orlando Robinson,24.0,SAC,C,3.0,0.0,7.3,0.7,0.7,1.0,0.3,0.3,1.0,0.3,0.3,1.0,1.25,0.7,1.3,0.5,0.7,1.3,2.0,0.3,0.3,0.0,1.0,1.3,2.3,,2024-25
Jeenathan Williams,25.0,HOU,SG,3.0,0.0,3.3,1.0,1.3,0.75,0.3,0.7,0.5,0.7,0.7,1.0,0.875,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,2.3,,2024-25
Kai Jones,24.0,LAC,C,15.0,0.0,8.5,0.9,1.2,0.722,0.0,0.0,,0.9,1.2,0.722,0.722,0.5,0.7,0.7,0.7,1.3,2.0,0.3,0.2,0.6,0.4,0.9,2.2,,2024-25
Christian Koloko,24.0,LAL,C,13.0,0.0,9.4,1.0,1.5,0.684,0.0,0.2,0.0,1.0,1.3,0.765,0.684,0.2,0.2,1.0,0.8,1.2,1.9,0.2,0.3,0.3,0.4,1.1,2.2,,2024-25
Jordan McLaughlin,28.0,SAC,PG,18.0,0.0,8.1,0.7,1.8,0.364,0.3,1.1,0.316,0.3,0.8,0.429,0.455,0.6,0.8,0.714,0.2,0.8,0.9,0.9,0.4,0.0,0.4,0.6,2.2,,2024-25
Precious Achiuwa,25.0,NYK,PF,1.0,0.0,12.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,2.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,,2024-25
Ulrich Chomche,19.0,TOR,PF,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,2024-25
Jeff Dowtin,27.0,PHI,PG,8.0,0.0,10.0,0.8,2.4,0.316,0.1,1.0,0.125,0.6,1.4,0.455,0.342,0.4,0.5,0.75,0.3,0.8,1.0,1.1,0.4,0.0,0.1,0.6,2.0,,2024-25
Justin Edwards,21.0,PHI,SF,2.0,0.0,4.5,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,,2024-25
Jalen Hood-Schifino,21.0,LAL,SG,2.0,0.0,7.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,,2024-25
Alex Reese,25.0,OKC,PF,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,2024-25
Adama Sanogo,22.0,CHI,C,3.0,0.0,4.7,1.0,1.7,0.6,0.0,0.0,,1.0,1.7,0.6,0.6,0.0,0.0,,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.3,2.0,,2024-25
Tyler Smith,20.0,MIL,PF,10.0,0.0,3.4,0.8,1.3,0.615,0.3,0.8,0.375,0.5,0.5,1.0,0.731,0.1,0.2,0.5,0.1,0.7,0.8,0.1,0.0,0.3,0.3,0.4,2.0,,2024-25
Jae'Sean Tate,29.0,HOU,SF,9.0,0.0,4.6,0.8,1.3,0.583,0.0,0.1,0.0,0.8,1.2,0.636,0.583,0.4,0.8,0.571,0.3,1.7,2.0,0.4,0.4,0.0,0.7,0.9,2.0,,2024-25
Dwight Powell,33.0,DAL,C,17.0,0.0,8.8,0.5,0.6,0.8,0.0,0.0,,0.5,0.6,0.8,0.8,1.0,1.4,0.708,0.6,1.3,1.9,0.8,0.4,0.5,0.3,1.5,1.9,,2024-25
Jericho Sims,26.0,NYK,C,22.0,1.0,13.2,0.9,1.2,0.704,0.0,0.0,,0.9,1.2,0.704,0.704,0.2,0.3,0.571,1.4,2.5,4.0,0.6,0.3,0.4,0.5,1.5,1.9,,2024-25
Pacome Dadiet,19.0,NYK,SG,11.0,0.0,7.0,0.5,1.6,0.333,0.5,1.1,0.417,0.1,0.5,0.167,0.472,0.2,0.2,1.0,0.0,1.2,1.2,0.5,0.1,0.2,0.1,0.5,1.7,,2024-25
Maxi Kleber,33.0,DAL,PF,14.0,2.0,17.0,0.6,1.9,0.346,0.1,0.6,0.222,0.5,1.2,0.412,0.385,0.3,0.4,0.667,0.4,2.6,3.0,0.6,0.1,0.5,0.7,2.1,1.7,,2024-25
Markieff Morris,35.0,DAL,PF,3.0,0.0,6.0,0.7,3.0,0.222,0.3,1.0,0.333,0.3,2.0,0.167,0.278,0.0,0.0,,0.0,1.7,1.7,0.7,0.0,0.3,0.7,0.0,1.7,,2024-25
Pat Spencer,28.0,GSW,PG,6.0,0.0,5.7,0.7,1.8,0.364,0.0,0.0,,0.7,1.8,0.364,0.364,0.3,0.3,1.0,0.7,0.5,1.2,1.3,0.3,0.0,0.3,0.7,1.7,,2024-25
Armel Traoré,22.0,LAL,SF,6.0,0.0,8.3,0.7,2.2,0.308,0.0,0.8,0.0,0.7,1.3,0.5,0.308,0.3,1.2,0.286,0.2,1.8,2.0,0.0,0.7,0.3,0.3,1.0,1.7,,2024-25
MarJon Beauchamp,24.0,MIL,SF,11.0,0.0,3.2,0.5,1.5,0.375,0.2,0.7,0.25,0.4,0.7,0.5,0.438,0.4,0.4,1.0,0.2,0.6,0.8,0.1,0.1,0.0,0.6,0.3,1.6,,2024-25
Jevon Carter,29.0,CHI,PG,11.0,0.0,4.8,0.6,2.1,0.304,0.4,1.5,0.25,0.3,0.6,0.429,0.391,0.0,0.0,,0.1,0.6,0.7,0.5,0.3,0.0,0.4,0.1,1.6,,2024-25
Jazian Gortman,21.0,DAL,PG,5.0,0.0,2.6,0.6,1.0,0.6,0.4,0.6,0.667,0.2,0.4,0.5,0.8,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.4,1.6,,2024-25
Duop Reath,28.0,POR,C,12.0,0.0,4.8,0.6,1.8,0.333,0.4,1.3,0.313,0.2,0.4,0.4,0.452,0.0,0.0,,0.4,0.3,0.7,0.2,0.0,0.2,0.1,0.6,1.6,,2024-25
Luke Travers,23.0,CLE,SG,5.0,0.0,8.0,0.6,1.4,0.429,0.0,0.6,0.0,0.6,0.8,0.75,0.429,0.4,0.4,1.0,0.2,1.0,1.2,1.0,0.2,0.2,0.4,0.6,1.6,,2024-25
Adem Bona,21.0,PHI,C,14.0,0.0,6.4,0.6,0.9,0.615,0.0,0.0,,0.6,0.9,0.615,0.615,0.4,0.4,0.833,0.6,1.1,1.7,0.0,0.0,0.4,0.4,1.1,1.5,,2024-25
Alex Len,31.0,SAC,C,16.0,2.0,7.3,0.7,1.3,0.55,0.0,0.3,0.0,0.7,1.0,0.688,0.55,0.1,0.3,0.5,0.4,1.6,2.0,0.7,0.2,0.7,0.4,0.9,1.5,,2024-25
Jaylen Martin,21.0,BRK,SF,2.0,0.0,1.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,,2024-25
Olivier-Maxence Prosper,22.0,DAL,PF,13.0,0.0,5.7,0.6,1.8,0.348,0.0,0.4,0.0,0.6,1.4,0.444,0.348,0.2,0.4,0.6,0.6,0.8,1.4,0.1,0.2,0.1,0.1,0.5,1.5,,2024-25
Trevelin Queen,27.0,ORL,SG,2.0,0.0,2.5,0.5,1.5,0.333,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,,2024-25
Terrence Shannon Jr.,24.0,MIN,SG,6.0,0.0,4.7,0.7,1.3,0.5,0.2,0.5,0.333,0.5,0.8,0.6,0.563,0.0,0.0,,0.0,0.2,0.2,0.7,0.3,0.2,0.5,0.0,1.5,,2024-25
Adam Flagler,25.0,OKC,SG,11.0,0.0,3.6,0.5,1.8,0.25,0.5,1.7,0.263,0.0,0.1,0.0,0.375,0.0,0.0,,0.2,0.4,0.5,0.0,0.2,0.0,0.0,0.4,1.4,,2024-25
Enrique Freeman,24.0,IND,PF,14.0,1.0,7.6,0.5,1.2,0.412,0.1,0.4,0.2,0.4,0.9,0.5,0.441,0.4,0.6,0.556,0.2,0.6,0.8,0.4,0.1,0.1,0.3,1.1,1.4,,2024-25
AJ Johnson,20.0,MIL,SG,5.0,0.0,2.2,0.6,1.2,0.5,0.2,0.2,1.0,0.4,1.0,0.4,0.583,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.4,0.0,1.4,,2024-25
Matt Ryan,27.0,NYK,SF,8.0,0.0,5.1,0.5,2.0,0.25,0.4,1.5,0.25,0.1,0.5,0.25,0.344,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.4,0.0,1.4,,2024-25
James Johnson,37.0,IND,PF,3.0,0.0,3.3,0.7,1.3,0.5,0.0,0.3,0.0,0.7,1.0,0.667,0.5,0.0,0.0,,0.0,0.7,0.7,0.7,0.0,0.3,1.0,0.0,1.3,,2024-25
Jack McVeigh,28.0,HOU,PF,6.0,0.0,3.5,0.5,1.8,0.273,0.3,1.3,0.25,0.2,0.5,0.333,0.364,0.0,0.0,,0.2,0.5,0.7,0.2,0.0,0.2,0.2,0.2,1.3,,2024-25
Jordan Walsh,20.0,BOS,PF,16.0,1.0,8.8,0.5,1.6,0.308,0.3,1.3,0.25,0.2,0.4,0.5,0.404,0.0,0.1,0.0,0.3,0.8,1.1,0.2,0.3,0.4,0.3,0.7,1.3,,2024-25
PJ Dozier,28.0,MIN,SG,6.0,0.0,4.7,0.3,0.5,0.667,0.3,0.5,0.667,0.0,0.0,,1.0,0.2,1.0,0.167,0.2,0.7,0.8,0.8,0.2,0.0,0.2,0.5,1.2,,2024-25
Ariel Hukporti,22.0,NYK,C,10.0,0.0,8.2,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.2,0.4,0.5,0.3,1.5,1.8,0.4,0.0,0.8,0.8,1.4,1.2,,2024-25
Cory Joseph,33.0,ORL,PG,13.0,0.0,3.5,0.4,1.2,0.333,0.4,0.9,0.417,0.0,0.2,0.0,0.5,0.0,0.0,,0.2,0.5,0.7,0.7,0.2,0.2,0.2,0.2,1.2,,2024-25
Zeke Nnaji,24.0,DEN,PF,14.0,0.0,5.1,0.6,1.4,0.4,0.0,0.6,0.0,0.6,0.9,0.667,0.4,0.1,0.3,0.25,0.1,0.4,0.5,0.2,0.1,0.1,0.1,0.4,1.2,,2024-25
Xavier Tillman Sr.,26.0,BOS,C,15.0,1.0,9.4,0.5,1.8,0.259,0.2,1.0,0.2,0.3,0.8,0.333,0.315,0.1,0.1,0.5,0.5,1.7,2.1,0.4,0.3,0.2,0.3,0.8,1.2,,2024-25
Brandon Williams,25.0,DAL,PG,5.0,0.0,4.2,0.4,1.8,0.222,0.0,0.4,0.0,0.4,1.4,0.286,0.222,0.4,0.6,0.667,0.2,0.6,0.8,0.4,0.0,0.0,0.4,0.4,1.2,,2024-25
Reece Beekman,23.0,GSW,PG,2.0,0.0,2.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,,2024-25
Branden Carlson,25.0,OKC,C,4.0,0.0,4.3,0.3,1.8,0.143,0.0,1.3,0.0,0.3,0.5,0.5,0.143,0.5,0.5,1.0,0.8,1.3,2.0,0.5,0.3,0.3,0.0,0.3,1.0,,2024-25
Mouhamed Gueye,22.0,ATL,PF,2.0,0.0,5.5,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,,2024-25
Keshad Johnson,23.0,MIA,SF,2.0,0.0,6.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,2024-25
Jared Rhoden,25.0,CHO,SG,4.0,0.0,3.0,0.5,2.0,0.25,0.0,0.5,0.0,0.5,1.5,0.333,0.25,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,,2024-25
Liam Robbins,25.0,MIL,C,5.0,0.0,4.0,0.4,0.6,0.667,0.0,0.2,0.0,0.4,0.4,1.0,0.667,0.2,0.8,0.25,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.6,1.0,,2024-25
Gui Santos,22.0,GSW,PF,6.0,0.0,3.7,0.3,0.8,0.4,0.2,0.5,0.333,0.2,0.3,0.5,0.5,0.2,0.3,0.5,0.2,0.8,1.0,0.3,0.0,0.0,0.3,0.5,1.0,,2024-25
Cam Spencer,24.0,MEM,SG,2.0,0.0,10.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,,2024-25
Trey Alexander,21.0,DEN,SG,8.0,0.0,5.1,0.3,1.3,0.2,0.1,0.8,0.167,0.1,0.5,0.25,0.25,0.3,0.3,1.0,0.0,0.1,0.1,0.3,0.0,0.1,0.1,0.4,0.9,,2024-25
