Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Grant Williams,26.0,CHO,PF,16.0,7.0,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,,2024-25
De'Anthony Melton,26.0,GSW,SG,6.0,2.0,20.2,3.7,9.0,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.528,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,,2024-25
Amir Coffey,27.0,LAC,SG,24.0,7.0,24.0,3.6,7.4,0.486,1.7,3.9,0.43,1.9,3.5,0.548,0.599,1.4,1.6,0.846,0.6,2.0,2.6,1.3,0.6,0.0,0.7,1.4,10.2,,2024-25
Duncan Robinson,30.0,MIA,SF,19.0,8.0,22.2,3.6,9.3,0.39,2.4,6.6,0.36,1.3,2.7,0.462,0.517,0.5,0.7,0.769,0.4,1.8,2.3,2.2,0.5,0.2,0.8,2.1,10.2,,2024-25
Dalano Banton,25.0,POR,PG,20.0,0.0,16.9,3.6,8.3,0.436,1.3,3.4,0.388,2.3,4.9,0.469,0.515,1.6,2.4,0.667,0.4,2.0,2.4,2.6,1.0,0.6,1.8,1.2,10.1,,2024-25
Chris Boucher,32.0,TOR,PF,23.0,0.0,18.0,3.6,8.0,0.454,1.0,3.8,0.276,2.6,4.2,0.615,0.519,1.7,2.2,0.765,1.3,3.2,4.5,0.6,0.5,0.7,0.7,1.2,10.0,,2024-25
Royce O'Neale,31.0,PHO,SF,21.0,3.0,25.4,3.5,8.1,0.433,2.3,5.4,0.425,1.2,2.8,0.448,0.573,0.7,0.9,0.737,1.2,4.7,6.0,2.0,1.0,0.7,1.0,2.2,10.0,,2024-25
Jaden McDaniels,24.0,MIN,PF,21.0,21.0,29.8,4.0,8.9,0.444,1.1,3.8,0.3,2.8,5.1,0.551,0.508,0.9,1.2,0.692,1.1,2.6,3.7,1.8,1.1,0.8,1.1,3.1,9.9,,2024-25
Patrick Williams,23.0,CHI,PF,15.0,15.0,28.9,3.3,8.9,0.376,1.9,4.7,0.394,1.5,4.1,0.355,0.481,1.4,1.7,0.84,1.1,3.9,5.0,2.3,1.0,0.5,1.9,1.4,9.9,,2024-25
Guerschon Yabusele,29.0,PHI,PF,20.0,7.0,24.6,3.7,7.5,0.487,1.7,4.1,0.407,2.0,3.5,0.58,0.597,0.9,1.6,0.581,2.0,3.9,5.9,2.0,0.7,0.5,1.4,2.9,9.9,,2024-25
Marcus Smart,30.0,MEM,PG,13.0,5.0,21.5,3.0,7.9,0.379,1.6,5.0,0.323,1.4,2.9,0.474,0.481,2.2,2.7,0.829,0.9,1.6,2.5,4.5,1.5,0.5,2.1,1.8,9.8,,2024-25
Aaron Wiggins,26.0,OKC,SG,22.0,8.0,21.1,3.9,8.5,0.457,1.5,3.8,0.405,2.3,4.6,0.5,0.548,0.5,0.7,0.8,1.1,2.6,3.7,1.6,0.9,0.3,0.9,1.3,9.8,,2024-25
Tim Hardaway Jr.,32.0,DET,SG,21.0,21.0,27.5,3.1,7.8,0.405,1.9,5.2,0.358,1.3,2.6,0.5,0.525,1.6,1.8,0.892,0.1,1.7,1.9,1.6,0.2,0.0,0.6,1.2,9.7,,2024-25
