Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Dwight Jones,CHI,81.0,19.4,3.0,6.3,0.483,0.0,,3.0,0.483,0.483,1.5,2.0,0.776,1.6,3.4,5.0,1.2,0.5,0.4,1.6,7.6,1980-81,0.53,0.11,0,12,1
Joe Meriweather,KCK,74.0,20.5,2.8,5.6,0.496,0.0,,2.8,0.496,0.496,2.0,2.9,0.695,1.7,3.6,5.3,1.0,0.4,1.1,1.7,7.6,1980-81,0.55,0.14,0,-1,0
Bob Elliott,NJN,73.0,18.1,2.9,5.7,0.511,0.0,0.5,2.9,0.511,0.512,1.7,2.8,0.599,1.4,2.2,3.6,1.8,0.5,0.2,1.6,7.5,1980-81,0.54,0.11,0,25,0
Ernie Grunfeld,KCK,79.0,20.1,3.3,6.2,0.535,0.0,,3.3,0.535,0.535,0.9,1.3,0.743,0.4,2.2,2.6,2.6,0.8,0.2,1.1,7.5,1980-81,0.55,0.12,0,-1,0
Tom McMillen,ATL,79.0,19.8,3.2,6.6,0.487,0.0,0.167,3.2,0.491,0.488,1.0,1.4,0.741,1.2,2.5,3.7,0.9,0.3,0.3,1.0,7.4,1980-81,0.51,0.1,0,22,0
Johnny Moore,SAS,82.0,19.2,3.0,6.3,0.479,0.0,0.053,3.0,0.495,0.48,1.3,2.1,0.61,0.7,1.7,2.4,4.5,1.5,0.3,1.9,7.4,1980-81,0.51,0.12,0,10,1
Billy Paultz,HOU,81.0,20.5,3.2,6.4,0.507,0.0,0.0,3.2,0.51,0.507,0.9,1.9,0.49,1.4,3.5,4.8,1.3,0.3,0.9,1.1,7.4,1980-81,0.51,0.12,0,16,1
Hawkeye Whitney,KCK,47.0,16.6,3.2,6.5,0.487,0.0,0.333,3.1,0.49,0.49,1.1,1.4,0.769,0.6,1.6,2.3,1.4,1.0,0.1,1.0,7.4,1980-81,0.52,0.16,0,-1,0
Larry Wright,DET,45.0,22.2,3.1,6.7,0.462,0.0,0.286,3.1,0.466,0.465,1.2,1.5,0.803,0.6,1.4,2.0,3.4,0.9,0.2,1.6,7.4,1980-81,0.5,0.19,0,26,0
Clarence Kea,DAL,16.0,12.4,2.3,5.1,0.457,0.0,0.0,2.3,0.463,0.457,2.7,3.9,0.694,1.8,2.4,4.2,0.3,0.4,0.1,1.0,7.3,1980-81,0.54,0.46,0,27,0
Clemon Johnson,IND,81.0,20.3,2.9,5.8,0.504,0.0,0.0,2.9,0.505,0.504,1.4,2.3,0.593,2.1,3.6,5.8,1.8,0.5,1.5,1.5,7.2,1980-81,0.53,0.14,0,14,1
Caldwell Jones,PHI,81.0,32.6,2.7,6.0,0.449,0.0,,2.7,0.449,0.449,1.8,2.4,0.767,2.5,7.6,10.0,1.5,0.7,1.7,2.1,7.2,1980-81,0.51,0.19,0,5,1
Carlos Terry,WSB,26.0,19.4,3.1,6.2,0.5,0.0,0.0,3.1,0.519,0.5,1.1,1.6,0.667,1.7,2.8,4.5,2.7,1.0,0.5,2.2,7.2,1980-81,0.52,0.39,0,18,0
Paul Mokeski,DET,80.0,22.7,2.8,5.7,0.489,0.0,0.0,2.8,0.49,0.489,1.5,2.5,0.6,1.8,3.5,5.2,1.7,0.5,0.9,2.0,7.1,1980-81,0.52,0.12,0,26,0
John Shumate,2TM,24.0,22.0,2.3,5.5,0.427,0.0,,2.3,0.427,0.427,2.3,3.2,0.724,1.4,2.3,3.7,1.0,0.9,0.4,1.8,7.0,1980-81,0.51,0.3,0,-1,0
Rich Kelley,PHO,81.0,20.8,2.4,4.8,0.506,0.0,0.0,2.4,0.509,0.506,2.2,2.9,0.758,1.6,3.8,5.4,3.5,1.0,0.8,2.6,7.0,1980-81,0.58,0.15,0,8,1
Scott May,CHI,63.0,12.9,2.6,5.4,0.488,0.0,,2.6,0.488,0.488,1.8,2.4,0.758,1.0,1.5,2.5,1.0,0.6,0.1,1.1,7.0,1980-81,0.54,0.11,0,12,1
Lowes Moore,NJN,71.0,19.8,3.0,6.7,0.444,0.1,0.148,2.9,0.461,0.448,1.0,1.3,0.75,0.6,1.8,2.4,3.2,0.9,0.2,1.5,7.0,1980-81,0.48,0.12,0,25,0
Kevin Restani,SAS,64.0,15.6,3.0,5.8,0.52,0.0,0.375,3.0,0.524,0.524,1.0,1.4,0.705,1.1,1.6,2.7,1.3,0.3,0.2,1.1,7.0,1980-81,0.55,0.11,0,10,1
Clint Richardson,PHI,77.0,17.1,2.9,6.0,0.489,0.0,0.0,2.9,0.49,0.489,1.1,1.4,0.778,1.1,1.2,2.3,2.0,0.5,0.1,1.4,7.0,1980-81,0.53,0.09,0,5,1
Tree Rollins,ATL,40.0,26.1,2.9,5.3,0.552,0.0,0.0,2.9,0.555,0.552,1.2,1.4,0.807,2.6,4.6,7.2,0.9,0.7,2.9,1.4,7.0,1980-81,0.59,0.37,0,22,0
Wayne Cooper,UTA,71.0,20.0,3.0,6.6,0.452,0.0,0.333,3.0,0.453,0.453,0.9,1.3,0.689,2.3,3.9,6.2,0.7,0.3,0.7,1.1,6.9,1980-81,0.48,0.14,0,23,0
Sam Lacey,KCK,82.0,27.2,2.9,6.5,0.442,0.0,0.2,2.9,0.444,0.443,1.1,1.4,0.786,1.6,5.5,7.1,4.9,1.2,1.5,2.2,6.9,1980-81,0.48,0.19,0,-1,0
Sidney Wicks,SDC,49.0,22.1,2.6,5.8,0.437,0.0,0.0,2.6,0.439,0.437,1.6,3.1,0.507,1.6,2.9,4.6,2.3,0.8,0.8,1.9,6.7,1980-81,0.47,0.18,0,20,0
Larry Drew,DET,76.0,20.8,2.6,6.4,0.407,0.1,0.235,2.5,0.413,0.411,1.4,1.8,0.797,0.3,1.3,1.6,3.3,1.2,0.1,2.2,6.6,1980-81,0.46,0.08,0,26,0
Winford Boynes,DAL,44.0,17.2,2.8,7.1,0.387,0.0,,2.8,0.387,0.387,1.0,1.3,0.818,0.5,1.2,1.7,0.8,0.5,0.4,1.6,6.5,1980-81,0.42,0.08,0,27,0
Sonny Parker,GSW,73.0,18.0,2.6,5.3,0.492,0.0,,2.6,0.492,0.492,1.3,1.8,0.734,1.4,1.3,2.7,1.5,0.9,0.2,1.2,6.5,1980-81,0.53,0.1,0,17,0
Jo Jo White,KCK,13.0,18.2,2.8,6.3,0.439,0.0,,2.8,0.439,0.439,0.8,1.4,0.611,0.2,1.4,1.6,2.8,0.8,0.1,1.4,6.4,1980-81,0.46,0.48,0,-1,0
Bill Willoughby,HOU,55.0,20.8,2.7,5.2,0.523,0.0,,2.7,0.523,0.523,0.9,1.2,0.766,1.3,2.8,4.1,1.2,0.3,0.6,1.3,6.3,1980-81,0.55,0.15,0,16,1
Carl Nicks,2TM,67.0,16.6,2.6,5.4,0.479,0.0,0.0,2.6,0.485,0.479,1.1,1.9,0.563,0.6,1.1,1.6,2.2,0.9,0.0,1.7,6.2,1980-81,0.5,0.08,0,-1,0
Calvin Garrett,HOU,70.0,23.4,2.7,5.9,0.453,0.0,0.333,2.7,0.454,0.454,0.7,0.9,0.806,1.2,2.6,3.8,1.9,0.7,0.1,1.3,6.1,1980-81,0.48,0.11,0,16,1
Paul Griffin,SAS,82.0,23.5,2.0,4.0,0.511,0.0,,2.0,0.511,0.511,2.1,3.1,0.672,2.2,3.9,6.2,3.0,0.9,0.5,1.6,6.1,1980-81,0.57,0.15,0,10,1
M.L. Carr,BOS,41.0,16.0,2.4,5.3,0.449,0.0,0.071,2.3,0.475,0.451,1.3,1.6,0.791,0.6,1.4,2.0,1.4,0.7,0.4,1.1,6.0,1980-81,0.5,0.15,0,6,1
