Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank,Nominated
George Gervin,SAS,72.0,29.0,8.3,16.4,0.508,0.0,0.0,8.3,0.512,0.508,4.5,5.3,0.844,1.1,2.2,3.3,2.5,0.9,0.7,2.8,21.2,1984-85,0.57,0.23,,0
Isiah Thomas,DET,81.0,38.1,8.0,17.4,0.458,0.4,0.257,7.6,0.476,0.468,4.9,6.1,0.809,1.4,3.0,4.5,13.9,2.3,0.3,3.7,21.2,1984-85,0.53,0.34,,1
Otis Birdsong,NJN,56.0,32.9,8.8,17.3,0.511,0.1,0.19,8.8,0.518,0.513,2.9,4.6,0.622,1.1,1.6,2.6,4.1,1.5,0.1,2.1,20.6,1984-85,0.53,0.3,,0
Hakeem Olajuwon,HOU,82.0,35.5,8.3,15.3,0.538,0.0,,8.3,0.538,0.538,4.1,6.7,0.613,5.4,6.5,11.9,1.4,1.2,2.7,2.9,20.6,1984-85,0.56,0.31,,0
Micheal Ray Richardson,NJN,82.0,38.1,8.4,17.9,0.469,0.4,0.252,8.1,0.488,0.479,2.9,3.8,0.767,1.9,3.7,5.6,8.2,3.0,0.3,3.0,20.1,1984-85,0.51,0.29,,0
Julius Erving,PHI,78.0,32.5,7.8,15.8,0.494,0.0,0.214,7.8,0.497,0.495,4.3,5.7,0.765,2.2,3.1,5.3,3.0,1.7,1.4,2.7,20.0,1984-85,0.55,0.25,,1
Gus Williams,WSB,79.0,37.5,8.1,18.8,0.43,0.6,0.29,7.4,0.449,0.447,3.2,4.4,0.725,0.9,1.6,2.5,7.7,2.3,0.4,2.7,20.0,1984-85,0.48,0.23,,0
Larry Nance,PHO,61.0,36.1,8.4,14.4,0.587,0.0,0.5,8.4,0.587,0.588,3.0,4.2,0.709,3.2,5.6,8.8,2.6,1.4,1.7,2.2,19.9,1984-85,0.61,0.41,,0
Kevin McHale,BOS,79.0,33.6,7.7,13.4,0.57,0.0,0.0,7.7,0.573,0.57,4.5,5.9,0.76,2.9,6.1,9.0,1.8,0.4,1.5,2.0,19.8,1984-85,0.62,0.3,,0
Rolando Blackman,DAL,81.0,35.0,7.7,15.2,0.508,0.1,0.3,7.6,0.512,0.511,4.2,5.1,0.828,1.3,2.4,3.7,3.6,0.8,0.2,2.0,19.7,1984-85,0.56,0.22,,0
Sleepy Floyd,GSW,82.0,35.0,7.4,16.7,0.445,0.5,0.294,6.9,0.462,0.46,4.1,5.1,0.81,0.8,1.7,2.5,5.0,1.6,0.5,3.1,19.5,1984-85,0.51,0.19,,0
Artis Gilmore,SAS,81.0,34.0,6.6,10.5,0.623,0.0,0.0,6.6,0.624,0.623,6.0,8.0,0.749,2.9,7.6,10.4,1.6,0.5,2.1,3.0,19.1,1984-85,0.68,0.31,,0
Kelly Tripucka,DET,55.0,30.5,7.2,15.1,0.477,0.0,0.4,7.2,0.477,0.478,4.6,5.2,0.885,1.2,2.8,4.0,2.5,0.9,0.3,2.1,19.1,1984-85,0.55,0.29,,0
Jeff Malone,WSB,76.0,34.4,8.0,16.0,0.499,0.2,0.208,7.8,0.517,0.505,2.8,3.3,0.844,0.8,1.9,2.7,2.4,0.7,0.1,1.4,18.9,1984-85,0.54,0.2,,0
Jeff Ruland,WSB,37.0,38.8,6.8,11.9,0.569,0.0,0.0,6.8,0.572,0.569,5.4,7.9,0.685,3.4,7.6,11.1,4.4,0.8,0.7,4.8,18.9,1984-85,0.61,0.64,,1
Clark Kellogg,IND,77.0,31.8,7.3,14.4,0.505,0.1,0.5,7.2,0.505,0.509,3.9,5.1,0.76,2.9,6.5,9.4,3.2,1.1,0.3,3.0,18.6,1984-85,0.56,0.28,,0
Jack Sikma,SEA,68.0,35.3,6.8,13.9,0.489,0.0,0.2,6.8,0.492,0.49,4.9,5.8,0.852,2.4,8.2,10.6,4.2,1.2,1.3,2.4,18.5,1984-85,0.56,0.37,,0
Mychal Thompson,POR,79.0,33.1,7.2,14.1,0.515,0.0,,7.2,0.515,0.515,3.9,5.7,0.684,2.7,5.2,7.8,2.6,1.0,1.3,2.9,18.4,1984-85,0.55,0.25,,0
Magic Johnson,LAL,77.0,36.1,6.5,11.7,0.561,0.1,0.189,6.5,0.577,0.565,5.1,6.0,0.843,1.2,5.0,6.2,12.6,1.5,0.3,4.0,18.3,1984-85,0.64,0.37,,1
Herb Williams,IND,75.0,34.1,7.7,16.1,0.475,0.0,0.111,7.7,0.478,0.475,3.0,4.5,0.657,2.1,6.4,8.5,3.4,0.7,1.8,3.5,18.3,1984-85,0.51,0.26,,0
Jay Vincent,DAL,79.0,32.2,6.9,14.4,0.479,0.0,0.0,6.9,0.481,0.479,4.4,5.3,0.836,2.3,6.6,8.9,2.1,0.6,0.3,2.2,18.2,1984-85,0.54,0.25,,0
Buck Williams,NJN,82.0,38.8,7.0,13.3,0.53,0.0,0.25,7.0,0.531,0.53,4.1,6.6,0.625,3.9,8.3,12.3,2.0,0.8,1.3,2.9,18.2,1984-85,0.56,0.28,,0
Jim Paxson,POR,68.0,33.1,7.5,14.5,0.514,0.1,0.154,7.4,0.529,0.517,2.9,3.6,0.79,1.0,2.3,3.3,3.9,1.5,0.1,1.6,17.9,1984-85,0.56,0.26,,0
Andrew Toney,PHI,70.0,32.0,6.4,13.1,0.492,0.6,0.371,5.9,0.508,0.514,4.4,5.1,0.862,0.5,2.0,2.5,5.2,0.9,0.3,3.2,17.8,1984-85,0.58,0.23,,0
Robert Parish,BOS,79.0,36.1,7.0,12.9,0.542,0.0,,7.0,0.542,0.542,3.7,5.0,0.743,3.3,7.3,10.6,1.6,0.7,1.3,2.4,17.6,1984-85,0.58,0.28,,0
James Worthy,LAL,80.0,33.7,7.6,13.3,0.572,0.0,0.0,7.6,0.576,0.572,2.4,3.1,0.776,2.1,4.3,6.4,2.5,1.1,0.8,2.5,17.6,1984-85,0.6,0.24,,0
Bill Laimbeer,DET,82.0,35.3,7.3,14.4,0.506,0.0,0.222,7.2,0.51,0.507,3.0,3.7,0.797,3.6,8.8,12.4,1.9,0.8,0.9,1.6,17.5,1984-85,0.55,0.29,,1
Clyde Drexler,POR,80.0,31.9,7.2,14.5,0.494,0.1,0.216,7.1,0.503,0.497,2.8,3.7,0.759,2.7,3.2,6.0,5.5,2.2,0.9,2.8,17.2,1984-85,0.53,0.26,,0
Norm Nixon,LAC,81.0,35.7,7.4,15.8,0.465,0.4,0.333,7.0,0.476,0.478,2.1,2.7,0.78,0.7,2.0,2.7,8.8,1.2,0.0,3.4,17.2,1984-85,0.51,0.22,,0
Mike Woodson,KCK,78.0,25.6,6.8,13.7,0.496,0.1,0.238,6.7,0.501,0.499,3.4,4.2,0.8,0.9,1.7,2.5,1.8,1.5,0.4,1.8,17.0,1984-85,0.55,0.18,,0
Cliff Robinson,WSB,60.0,31.2,7.0,14.9,0.471,0.0,0.333,7.0,0.471,0.472,2.6,3.6,0.742,2.4,6.8,9.1,2.5,0.9,0.8,2.7,16.7,1984-85,0.51,0.31,,0
Marques Johnson,LAC,72.0,34.0,6.9,15.2,0.452,0.0,0.231,6.8,0.454,0.453,2.6,3.6,0.731,2.6,3.3,5.9,3.4,1.0,0.4,2.4,16.4,1984-85,0.49,0.21,,1
Reggie Theus,KCK,82.0,31.0,6.1,12.5,0.487,0.1,0.132,6.0,0.501,0.489,4.1,4.7,0.863,1.3,2.0,3.3,8.0,1.2,0.2,3.7,16.4,1984-85,0.56,0.22,,0
Eddie Johnson,ATL,73.0,32.4,6.2,13.0,0.479,0.3,0.306,5.9,0.493,0.49,3.6,4.5,0.798,0.5,2.1,2.6,7.8,0.6,0.1,3.3,16.3,1984-85,0.54,0.22,,0
John Drew,UTA,19.0,24.4,5.6,13.7,0.412,0.0,0.0,5.6,0.418,0.412,4.9,6.4,0.77,1.9,2.4,4.3,1.8,1.2,0.1,2.2,16.2,1984-85,0.49,0.62,,0
Paul Pressey,MIL,80.0,36.0,6.0,11.6,0.517,0.1,0.35,5.9,0.521,0.521,4.0,5.2,0.758,1.9,3.5,5.4,6.8,1.6,0.7,3.1,16.1,1984-85,0.58,0.26,,0
Quintin Dailey,CHI,79.0,26.6,6.6,14.1,0.473,0.1,0.233,6.6,0.479,0.476,2.6,3.2,0.817,0.7,1.9,2.6,2.4,0.9,0.1,1.9,16.0,1984-85,0.52,0.15,,0
Byron Scott,LAL,81.0,28.5,6.7,12.4,0.539,0.3,0.433,6.4,0.546,0.552,2.3,2.8,0.82,0.7,1.9,2.6,3.0,1.2,0.2,1.7,16.0,1984-85,0.59,0.19,,0
Pat Cummings,NYK,63.0,32.8,6.5,12.7,0.514,0.0,0.0,6.5,0.517,0.514,2.8,3.6,0.78,2.2,6.0,8.2,1.7,0.8,0.3,2.6,15.8,1984-85,0.55,0.27,,0
Roy Hinson,CLE,76.0,30.8,6.1,12.2,0.503,0.0,0.0,6.1,0.504,0.503,3.6,4.9,0.721,2.4,5.4,7.8,0.9,0.7,2.3,2.3,15.8,1984-85,0.55,0.23,,0
Phil Hubbard,CLE,76.0,29.6,5.5,10.8,0.505,0.0,0.0,5.5,0.507,0.505,4.9,6.5,0.751,2.8,3.5,6.3,1.5,1.1,0.1,2.3,15.8,1984-85,0.58,0.21,,0
Dennis Johnson,BOS,80.0,37.2,6.2,13.3,0.462,0.1,0.269,6.1,0.467,0.466,3.3,3.8,0.853,1.1,2.8,4.0,6.8,1.2,0.5,2.7,15.7,1984-85,0.52,0.22,,0
Thurl Bailey,UTA,80.0,31.0,6.3,12.9,0.49,0.0,1.0,6.3,0.49,0.491,2.5,2.9,0.842,1.9,4.7,6.6,1.7,0.6,1.3,1.9,15.2,1984-85,0.54,0.21,,0
Walter Davis,PHO,23.0,24.8,6.0,13.4,0.45,0.1,0.3,5.9,0.455,0.455,2.8,3.2,0.877,0.3,1.3,1.5,4.3,0.8,0.0,2.2,15.0,1984-85,0.51,0.5,,0
Al Wood,SEA,80.0,31.8,6.4,13.3,0.485,0.1,0.212,6.4,0.494,0.489,2.1,2.7,0.776,1.2,2.3,3.5,3.0,1.1,0.7,1.5,15.0,1984-85,0.52,0.18,,0
Larry Drew,KCK,72.0,33.0,6.3,12.7,0.501,0.1,0.25,6.3,0.508,0.504,2.1,2.7,0.794,0.5,1.7,2.3,6.7,1.3,0.1,2.5,14.9,1984-85,0.54,0.22,,0
James Edwards,PHO,70.0,25.5,5.5,10.9,0.501,0.0,0.0,5.5,0.503,0.501,3.9,5.3,0.746,1.4,4.2,5.5,2.2,0.4,0.7,2.3,14.9,1984-85,0.56,0.21,,0
Alvan Adams,PHO,82.0,26.0,5.8,11.2,0.52,0.0,,5.8,0.52,0.52,3.0,3.5,0.883,1.9,4.2,6.1,3.8,1.4,0.6,2.4,14.7,1984-85,0.58,0.22,,0
John Long,DET,66.0,27.6,6.5,13.4,0.487,0.1,0.333,6.5,0.49,0.49,1.6,1.9,0.862,1.2,1.7,2.9,2.0,1.1,0.2,1.5,14.7,1984-85,0.52,0.18,,0
Rodney McCray,HOU,82.0,36.6,5.8,10.9,0.535,0.0,0.0,5.8,0.538,0.535,2.8,3.8,0.738,2.5,4.1,6.6,4.3,1.1,0.9,2.2,14.4,1984-85,0.57,0.23,,0
Vern Fleming,IND,80.0,31.1,5.4,11.5,0.47,0.0,0.0,5.4,0.472,0.47,3.3,4.2,0.767,1.9,2.2,4.0,3.1,1.2,0.1,2.5,14.1,1984-85,0.53,0.16,,0
Doc Rivers,ATL,69.0,30.8,4.8,10.2,0.476,0.2,0.417,4.6,0.48,0.487,4.2,5.5,0.77,1.0,2.1,3.1,5.9,2.4,0.8,2.6,14.1,1984-85,0.56,0.25,,0
Charles Barkley,PHI,82.0,28.6,5.2,9.5,0.545,0.0,0.167,5.2,0.548,0.546,3.6,4.9,0.733,3.2,5.3,8.6,1.9,1.2,1.0,2.5,14.0,1984-85,0.6,0.23,,0
Junior Bridgeman,LAC,80.0,25.5,5.8,12.4,0.465,0.2,0.359,5.6,0.469,0.472,2.3,2.6,0.879,0.7,2.2,2.9,2.1,0.6,0.2,1.5,13.9,1984-85,0.51,0.14,,0
Steve Stipanovich,IND,82.0,28.2,5.0,10.6,0.475,0.0,0.091,5.0,0.48,0.476,3.6,4.5,0.798,1.7,5.8,7.5,2.4,0.9,1.0,2.2,13.7,1984-85,0.54,0.2,,0
Darryl Dawkins,NJN,39.0,24.9,4.9,8.7,0.566,0.0,0.0,4.9,0.568,0.566,3.7,5.2,0.711,1.4,3.2,4.6,1.2,0.4,0.9,2.4,13.5,1984-85,0.61,0.33,,0
Darrell Walker,NYK,82.0,30.4,5.2,12.1,0.435,0.0,0.0,5.2,0.442,0.435,3.0,4.2,0.7,1.6,1.8,3.4,5.0,2.0,0.3,2.5,13.5,1984-85,0.48,0.17,,0
Gerald Henderson,SEA,79.0,33.5,5.4,11.3,0.479,0.1,0.237,5.3,0.49,0.484,2.5,3.2,0.78,0.9,1.5,2.4,7.1,1.8,0.1,2.9,13.4,1984-85,0.53,0.19,,0
Maurice Lucas,PHO,63.0,26.5,5.5,11.5,0.476,0.0,0.0,5.5,0.479,0.476,2.4,3.2,0.75,2.2,6.7,8.8,2.3,0.6,0.3,2.4,13.4,1984-85,0.52,0.26,,0
Mickey Johnson,GSW,66.0,23.7,4.6,10.8,0.426,0.1,0.233,4.5,0.434,0.431,3.9,4.8,0.823,2.3,3.7,6.0,2.3,1.1,0.5,2.2,13.3,1984-85,0.52,0.21,,0
Greg Ballard,WSB,82.0,32.5,5.7,11.9,0.48,0.2,0.304,5.5,0.488,0.487,1.5,1.8,0.795,1.8,4.6,6.5,2.5,1.2,0.4,1.3,13.1,1984-85,0.52,0.19,,0
Maurice Cheeks,PHI,78.0,33.5,5.4,9.5,0.57,0.1,0.231,5.3,0.582,0.574,2.2,2.6,0.879,0.7,2.1,2.8,6.4,2.2,0.3,2.0,13.1,1984-85,0.62,0.23,,0
Lewis Lloyd,HOU,82.0,26.0,5.6,10.6,0.526,0.0,0.25,5.5,0.528,0.527,2.0,2.7,0.732,1.2,1.6,2.8,3.4,0.9,0.3,2.2,13.1,1984-85,0.56,0.15,,0
Rickey Green,UTA,77.0,31.6,4.9,10.4,0.477,0.1,0.3,4.9,0.482,0.481,3.0,3.5,0.869,0.5,2.0,2.5,7.8,1.7,0.0,2.3,13.0,1984-85,0.54,0.22,,1
Jerome Whitehead,GSW,79.0,32.1,5.3,10.4,0.51,0.0,,5.3,0.51,0.51,2.3,3.0,0.783,2.8,5.1,7.9,0.7,0.6,0.5,1.8,13.0,1984-85,0.55,0.19,,0
Danny Ainge,BOS,75.0,34.2,5.6,10.6,0.529,0.2,0.268,5.4,0.549,0.539,1.6,1.8,0.868,1.0,2.6,3.6,5.3,1.6,0.1,2.0,12.9,1984-85,0.57,0.22,,0
Mike Gminski,NJN,81.0,29.9,4.7,10.1,0.465,0.0,0.0,4.7,0.465,0.465,3.4,4.0,0.841,2.8,5.0,7.8,2.0,0.5,1.1,1.7,12.8,1984-85,0.54,0.2,,0
Dan Issel,DEN,77.0,21.9,4.7,10.3,0.459,0.0,0.143,4.7,0.462,0.46,3.3,4.1,0.806,1.0,3.3,4.3,1.8,0.8,0.4,1.2,12.8,1984-85,0.53,0.16,,0
Vinnie Johnson,DET,82.0,25.5,5.2,11.5,0.454,0.1,0.185,5.2,0.462,0.457,2.3,3.0,0.769,1.6,1.4,3.1,4.0,0.9,0.2,1.6,12.8,1984-85,0.5,0.15,,0
Albert King,NJN,42.0,20.5,5.4,11.0,0.491,0.0,0.0,5.4,0.5,0.491,2.0,2.5,0.817,1.7,2.1,3.8,1.4,1.0,0.2,1.5,12.8,1984-85,0.53,0.28,,0
Fat Lever,DEN,82.0,31.2,5.2,12.0,0.43,0.1,0.25,5.1,0.435,0.434,2.4,3.1,0.77,1.8,3.2,5.0,7.5,2.5,0.4,2.5,12.8,1984-85,0.48,0.22,,0
Johnny Moore,SAS,82.0,32.8,5.1,11.1,0.457,0.3,0.281,4.8,0.476,0.471,2.3,3.0,0.762,1.1,3.5,4.6,10.0,2.8,0.2,2.9,12.8,1984-85,0.52,0.25,,0
Otis Thorpe,KCK,82.0,23.4,5.0,8.4,0.6,0.0,0.0,5.0,0.602,0.6,2.8,4.5,0.62,2.3,4.5,6.8,1.4,0.4,0.5,2.3,12.8,1984-85,0.62,0.18,,0
Louis Orr,NYK,79.0,31.0,4.7,9.7,0.486,0.0,0.1,4.7,0.491,0.486,3.3,4.2,0.784,2.2,2.8,4.9,1.7,1.3,0.3,1.7,12.7,1984-85,0.55,0.17,,0
Johnny Davis,CLE,76.0,25.3,4.4,10.4,0.426,0.2,0.261,4.3,0.436,0.434,3.4,3.9,0.85,0.5,1.1,1.6,5.6,0.6,0.1,2.0,12.4,1984-85,0.51,0.16,,0
Sly Williams,ATL,34.0,25.5,4.9,11.2,0.439,0.1,0.267,4.8,0.447,0.445,2.3,3.6,0.642,1.3,3.6,4.9,2.8,0.8,0.2,2.3,12.3,1984-85,0.48,0.33,,0
Wayne Cooper,DEN,80.0,25.4,5.1,10.7,0.472,0.0,0.0,5.1,0.473,0.472,2.0,2.9,0.685,2.9,5.0,7.9,1.1,0.4,2.5,1.9,12.1,1984-85,0.51,0.2,,0
LaSalle Thompson,KCK,82.0,30.0,4.5,8.5,0.531,0.0,,4.5,0.531,0.531,2.8,3.8,0.721,3.3,7.1,10.4,1.6,1.2,1.6,2.5,11.8,1984-85,0.58,0.23,,0
Terry Tyler,DET,82.0,24.4,5.1,10.4,0.494,0.0,0.0,5.1,0.498,0.494,1.3,1.8,0.716,1.8,3.4,5.2,0.8,0.6,1.1,0.9,11.6,1984-85,0.52,0.15,,0
Darnell Valentine,POR,75.0,30.4,4.3,9.1,0.473,0.0,0.0,4.3,0.474,0.473,3.1,3.9,0.793,0.7,2.2,2.9,7.0,1.9,0.1,2.6,11.6,1984-85,0.54,0.2,,0
John Lucas,HOU,47.0,24.6,4.4,9.5,0.462,0.4,0.318,3.9,0.487,0.485,2.2,2.7,0.798,0.4,1.4,1.8,6.8,1.3,0.0,2.2,11.4,1984-85,0.53,0.29,,0
James Donaldson,LAC,82.0,29.2,4.3,6.7,0.637,0.0,,4.3,0.637,0.637,2.8,3.7,0.749,2.0,6.1,8.1,0.6,0.3,1.6,2.5,11.3,1984-85,0.68,0.2,,0
Cedric Maxwell,BOS,57.0,26.2,3.5,6.6,0.533,0.0,0.0,3.5,0.536,0.533,4.1,4.9,0.831,1.7,2.5,4.2,1.8,0.6,0.3,1.7,11.1,1984-85,0.63,0.22,,0
Larry Smith,GSW,80.0,31.2,4.6,8.6,0.53,0.0,,4.6,0.53,0.53,1.9,3.2,0.605,5.1,5.8,10.9,1.2,1.0,0.7,2.0,11.1,1984-85,0.55,0.22,,0
Jim Thomas,IND,80.0,25.7,4.3,9.1,0.478,0.1,0.19,4.2,0.496,0.483,2.3,2.9,0.782,0.9,2.3,3.3,2.9,1.0,0.1,1.6,11.1,1984-85,0.53,0.14,,0
Kyle Macy,PHO,65.0,31.0,4.3,9.0,0.485,0.4,0.271,4.0,0.521,0.504,2.0,2.2,0.907,0.5,2.2,2.8,5.8,1.3,0.0,1.7,11.0,1984-85,0.55,0.22,,0
Sam Perkins,DAL,82.0,28.3,4.2,9.0,0.471,0.1,0.25,4.1,0.483,0.478,2.4,3.0,0.82,2.3,5.1,7.4,1.6,0.8,0.8,1.2,11.0,1984-85,0.53,0.18,,0
Jerry Sichting,IND,70.0,25.8,4.6,8.9,0.521,0.1,0.243,4.5,0.538,0.528,1.6,1.8,0.875,0.3,1.3,1.6,3.8,0.7,0.1,1.5,11.0,1984-85,0.57,0.16,,0
Dan Roundfield,DET,56.0,26.6,4.2,9.0,0.467,0.0,0.0,4.2,0.469,0.467,2.5,3.2,0.781,3.1,5.0,8.1,1.8,0.5,1.0,2.2,10.9,1984-85,0.52,0.26,,0
Craig Hodges,MIL,82.0,30.4,4.4,8.9,0.49,0.6,0.348,3.8,0.523,0.523,1.3,1.6,0.815,0.9,1.4,2.3,4.3,1.2,0.0,1.6,10.6,1984-85,0.55,0.15,,0
Melvin Turpin,CLE,79.0,24.7,4.6,9.0,0.511,0.0,,4.6,0.511,0.511,1.4,1.8,0.784,2.0,3.8,5.7,0.5,0.5,1.1,1.5,10.6,1984-85,0.54,0.15,,0
Bob McAdoo,LAL,66.0,19.0,4.3,8.3,0.52,0.0,0.0,4.3,0.521,0.52,1.8,2.5,0.753,1.2,3.3,4.5,1.0,0.3,0.8,1.4,10.5,1984-85,0.56,0.17,,0
Kenny Carr,POR,48.0,23.3,4.0,7.6,0.523,0.0,0.0,4.0,0.528,0.523,2.5,3.4,0.72,1.9,4.9,6.7,1.2,0.5,0.4,2.1,10.4,1984-85,0.57,0.26,,0
Mike McGee,LAL,76.0,15.4,4.3,8.1,0.538,0.3,0.361,4.0,0.557,0.556,1.2,2.1,0.588,1.3,0.9,2.2,0.9,0.5,0.1,1.1,10.2,1984-85,0.57,0.11,,0
Mike O'Koren,NJN,43.0,26.0,4.5,9.1,0.494,0.2,0.381,4.3,0.5,0.504,1.0,1.6,0.627,1.1,2.8,3.9,2.4,0.7,0.4,1.2,10.2,1984-85,0.52,0.26,,0
Mark Olberding,KCK,81.0,28.1,3.3,6.5,0.502,0.0,0.0,3.3,0.505,0.502,3.6,4.3,0.832,1.7,4.6,6.3,3.0,0.7,0.1,2.3,10.2,1984-85,0.61,0.17,,0
Mike Sanders,PHO,21.0,19.9,4.0,8.3,0.486,0.0,,4.0,0.486,0.486,2.1,2.8,0.763,1.8,2.4,4.2,1.4,1.1,0.2,1.6,10.2,1984-85,0.54,0.5,,0
Brad Davis,DAL,82.0,31.0,3.8,7.5,0.505,0.6,0.409,3.2,0.527,0.543,1.9,2.2,0.888,0.5,1.9,2.4,7.1,1.1,0.1,1.5,10.1,1984-85,0.6,0.19,,0
Mike Evans,DEN,81.0,17.7,4.0,8.2,0.489,0.7,0.363,3.3,0.528,0.532,1.4,1.6,0.863,0.3,1.1,1.5,2.9,0.8,0.1,1.6,10.1,1984-85,0.57,0.12,,0
Bill Walton,LAC,67.0,24.6,4.0,7.7,0.521,0.0,0.0,4.0,0.523,0.521,2.1,3.0,0.68,2.5,6.4,9.0,2.3,0.7,2.1,2.6,10.1,1984-85,0.56,0.25,,0
Sam Bowie,POR,76.0,29.2,3.9,7.3,0.537,0.0,,3.9,0.537,0.537,2.1,3.0,0.711,2.7,5.9,8.6,2.8,0.7,2.7,2.3,10.0,1984-85,0.58,0.24,,0
