Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Matthew Dellavedova,CLE,13.0,17.2,1.1,4.3,0.25,0.3,0.16,0.8,0.323,0.286,0.3,0.3,1.0,0.5,1.4,1.8,4.5,0.3,0.1,0.5,2.8,2020-21,0.32,0.45,
Harry Giles,POR,38.0,9.2,1.1,2.6,0.433,0.2,0.348,0.9,0.459,0.474,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,2.8,2020-21,0.48,0.14,
Kyle Guy,SAC,31.0,7.6,0.9,2.8,0.33,0.4,0.283,0.5,0.381,0.403,0.5,0.6,0.8,0.2,1.0,1.1,1.0,0.2,0.0,0.4,2.8,2020-21,0.46,0.09,
Markus Howard,DEN,37.0,5.5,1.1,2.9,0.377,0.5,0.277,0.6,0.537,0.462,0.2,0.2,0.778,0.0,0.5,0.6,0.5,0.1,0.0,0.5,2.8,2020-21,0.47,0.05,
Didi Louzada,NOP,3.0,18.7,1.0,4.3,0.231,0.7,0.25,0.3,0.2,0.308,0.0,0.0,,0.3,0.7,1.0,1.0,0.7,0.0,1.0,2.7,2020-21,0.31,0.37,
Frank Ntilikina,NYK,33.0,9.8,0.9,2.4,0.367,0.7,0.479,0.2,0.194,0.513,0.2,0.5,0.444,0.2,0.8,0.9,0.6,0.5,0.1,0.3,2.7,2020-21,0.52,0.08,
Keita Bates-Diop,SAS,30.0,8.2,1.0,2.2,0.448,0.2,0.294,0.8,0.5,0.485,0.5,0.7,0.667,0.3,1.3,1.6,0.4,0.4,0.2,0.2,2.6,2020-21,0.52,0.12,
Amida Brimah,IND,5.0,5.8,1.0,1.6,0.625,0.0,,1.0,0.625,0.625,0.6,0.6,1.0,0.4,1.2,1.6,0.2,0.0,1.0,0.8,2.6,2020-21,0.7,0.8,
Josh Green,DAL,39.0,11.4,1.1,2.4,0.452,0.1,0.16,1.0,0.559,0.473,0.3,0.6,0.565,0.7,1.3,2.0,0.7,0.4,0.1,0.4,2.6,2020-21,0.49,0.1,
Grant Riller,CHO,7.0,3.9,1.1,1.7,0.667,0.3,0.5,0.9,0.75,0.75,0.0,0.0,,0.0,0.1,0.1,0.4,0.1,0.0,0.1,2.6,2020-21,0.76,0.36,
Anderson Varejão,CLE,5.0,7.2,0.8,3.2,0.25,0.0,0.0,0.8,0.267,0.25,1.0,1.8,0.556,1.4,2.6,4.0,0.6,0.0,0.4,0.2,2.6,2020-21,0.33,0.84,
Jordan Bell,2TM,6.0,13.7,1.2,3.7,0.318,0.0,0.0,1.2,0.35,0.318,0.2,0.3,0.5,1.2,2.8,4.0,1.2,0.5,0.8,0.7,2.5,2020-21,0.33,0.95,
