Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Shareef Abdur-Rahim,VAN,81.0,40.0,7.5,15.8,0.472,0.1,0.188,7.3,0.487,0.477,5.5,6.6,0.834,2.2,6.9,9.1,3.1,1.1,1.0,2.9,20.5,2000-01,0.55,0.28,
Jalen Rose,IND,72.0,40.9,7.9,17.3,0.457,0.8,0.339,7.1,0.476,0.48,4.0,4.8,0.828,0.5,4.5,5.0,6.0,0.9,0.6,2.9,20.5,2000-01,0.53,0.28,
Peja Stojaković,SAC,75.0,38.7,7.5,15.9,0.47,1.9,0.4,5.5,0.501,0.531,3.6,4.2,0.856,1.2,4.5,5.8,2.2,1.2,0.2,1.9,20.4,2000-01,0.57,0.25,
Elton Brand,CHI,74.0,39.3,7.8,16.4,0.476,0.0,0.0,7.8,0.477,0.476,4.5,6.4,0.708,3.9,6.2,10.1,3.2,1.0,1.6,3.0,20.1,2000-01,0.52,0.3,
Jamal Mashburn,CHH,76.0,39.3,7.5,18.3,0.413,1.4,0.356,6.2,0.428,0.45,3.7,4.8,0.766,1.2,6.4,7.6,5.4,1.1,0.2,2.8,20.1,2000-01,0.49,0.26,
Steve Francis,HOU,80.0,39.9,6.9,15.2,0.451,1.7,0.396,5.2,0.472,0.506,4.5,5.5,0.817,2.4,4.5,6.9,6.5,1.8,0.4,3.3,19.9,2000-01,0.56,0.29,
Ron Mercer,CHI,61.0,41.6,8.2,18.4,0.446,0.2,0.304,8.0,0.452,0.452,3.1,3.7,0.825,1.2,2.7,3.9,3.3,1.3,0.4,2.1,19.7,2000-01,0.49,0.26,
Jason Terry,ATL,82.0,37.7,7.3,16.7,0.436,1.5,0.395,5.8,0.448,0.481,3.7,4.4,0.846,0.5,2.8,3.3,4.9,1.3,0.1,2.9,19.7,2000-01,0.53,0.2,
Cuttino Mobley,HOU,79.0,38.0,6.7,15.4,0.434,1.1,0.357,5.5,0.454,0.471,5.0,6.0,0.831,1.1,4.0,5.0,2.5,1.1,0.3,2.1,19.5,2000-01,0.54,0.21,
Rasheed Wallace,POR,77.0,38.2,7.7,15.3,0.501,0.7,0.321,7.0,0.53,0.523,3.2,4.2,0.766,1.9,5.9,7.8,2.8,1.2,1.8,2.1,19.2,2000-01,0.56,0.29,
Reggie Miller,IND,81.0,39.3,6.4,14.5,0.44,2.1,0.366,4.3,0.487,0.512,4.0,4.3,0.928,0.5,3.0,3.5,3.2,1.0,0.2,1.6,18.9,2000-01,0.58,0.21,
Allan Houston,NYK,78.0,36.6,6.9,15.5,0.449,1.2,0.381,5.7,0.467,0.488,3.6,3.9,0.909,0.3,3.4,3.6,2.2,0.7,0.1,2.1,18.7,2000-01,0.54,0.18,
Sam Cassell,MIL,76.0,35.6,7.1,14.9,0.474,0.4,0.306,6.7,0.49,0.488,3.6,4.3,0.858,0.6,3.2,3.8,7.6,1.2,0.1,2.9,18.2,2000-01,0.54,0.26,
Richard Hamilton,WAS,78.0,32.3,7.0,16.0,0.438,0.5,0.274,6.5,0.46,0.454,3.6,4.1,0.868,1.0,2.1,3.1,2.9,1.0,0.1,2.6,18.1,2000-01,0.51,0.17,
Juwan Howard,2TM,81.0,36.7,7.2,15.0,0.479,0.0,0.0,7.2,0.48,0.479,3.7,4.7,0.773,2.1,5.0,7.1,2.8,0.9,0.5,3.0,18.0,2000-01,0.53,0.22,
Latrell Sprewell,NYK,77.0,39.2,6.8,15.8,0.43,0.5,0.304,6.3,0.446,0.447,3.6,4.6,0.783,0.6,3.9,4.5,3.5,1.4,0.4,2.8,17.7,2000-01,0.5,0.19,
Nick Van Exel,DEN,71.0,37.9,6.5,15.7,0.414,1.9,0.377,4.6,0.431,0.474,2.9,3.5,0.819,0.6,2.8,3.4,8.5,0.9,0.3,2.3,17.7,2000-01,0.51,0.26,
Eddie Jones,MIA,63.0,36.2,6.2,13.8,0.445,1.4,0.378,4.7,0.471,0.497,3.6,4.3,0.844,1.2,3.4,4.6,2.7,1.7,0.9,2.1,17.4,2000-01,0.55,0.27,
Shawn Marion,PHO,79.0,36.2,7.1,14.7,0.48,0.3,0.256,6.8,0.497,0.489,3.0,3.7,0.81,2.8,7.9,10.7,2.0,1.7,1.4,1.6,17.3,2000-01,0.53,0.29,
Lamar Odom,LAC,76.0,37.3,6.3,13.8,0.46,1.1,0.316,5.3,0.506,0.498,3.4,5.1,0.679,1.4,6.3,7.8,5.2,1.0,1.6,3.5,17.2,2000-01,0.54,0.26,
David Wesley,CHH,82.0,37.9,6.4,15.1,0.422,1.2,0.376,5.2,0.434,0.461,3.3,4.1,0.799,0.8,2.0,2.7,4.4,1.6,0.2,2.1,17.2,2000-01,0.51,0.18,
Keith Van Horn,NJN,49.0,35.4,6.3,14.4,0.435,1.3,0.382,5.0,0.452,0.481,3.1,3.8,0.806,1.6,5.5,7.1,1.7,0.8,0.4,2.1,17.0,2000-01,0.53,0.33,
Jason Kidd,PHO,77.0,39.8,5.9,14.2,0.411,0.9,0.297,5.0,0.442,0.443,4.3,5.2,0.814,1.2,5.2,6.4,9.8,2.2,0.3,3.7,16.9,2000-01,0.51,0.29,
Danny Fortson,GSW,6.0,33.8,4.8,8.3,0.58,0.0,,4.8,0.58,0.58,7.0,9.0,0.778,4.8,11.5,16.3,0.8,0.3,0.0,1.7,16.7,2000-01,0.68,4.48,
Larry Hughes,GSW,50.0,36.9,6.2,16.1,0.383,0.3,0.187,5.9,0.403,0.391,3.9,5.0,0.766,1.5,4.0,5.5,4.5,1.9,0.6,3.0,16.5,2000-01,0.45,0.3,
Clifford Robinson,PHO,82.0,33.5,6.1,14.5,0.422,1.1,0.361,5.0,0.439,0.46,3.1,4.4,0.709,1.3,2.8,4.1,2.9,1.1,1.0,2.3,16.4,2000-01,0.5,0.16,
Michael Dickerson,VAN,70.0,37.4,6.1,14.6,0.417,1.2,0.374,4.8,0.429,0.459,2.9,3.9,0.763,1.0,2.3,3.3,3.3,0.9,0.4,2.3,16.3,2000-01,0.5,0.18,
Mitch Richmond,WAS,37.0,32.9,5.5,13.6,0.407,1.2,0.338,4.3,0.431,0.451,3.9,4.3,0.894,0.4,2.5,2.9,3.0,1.2,0.2,2.3,16.2,2000-01,0.52,0.34,
Anthony Mason,MIA,80.0,40.7,5.8,11.9,0.482,0.0,,5.8,0.482,0.482,4.6,5.9,0.781,2.1,7.5,9.6,3.1,1.0,0.3,2.2,16.1,2000-01,0.56,0.26,
Terrell Brandon,MIN,78.0,36.2,6.6,14.5,0.451,0.4,0.363,6.1,0.458,0.465,2.5,2.9,0.871,0.8,3.1,3.8,7.5,2.1,0.3,2.0,16.0,2000-01,0.51,0.25,
Darrell Armstrong,ORL,75.0,36.9,5.5,13.4,0.412,1.9,0.355,3.6,0.451,0.484,2.9,3.3,0.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,15.9,2000-01,0.54,0.25,
Mike Bibby,VAN,82.0,38.9,6.4,14.1,0.454,1.3,0.379,5.1,0.478,0.5,1.7,2.3,0.761,0.6,3.1,3.7,8.4,1.3,0.1,3.0,15.9,2000-01,0.53,0.22,
Andre Miller,CLE,82.0,34.7,5.5,12.2,0.452,0.2,0.266,5.3,0.465,0.461,4.6,5.5,0.833,1.1,3.2,4.4,8.0,1.5,0.3,3.2,15.8,2000-01,0.54,0.23,
Steve Nash,DAL,70.0,34.1,5.5,11.3,0.487,1.3,0.406,4.2,0.518,0.544,3.3,3.7,0.895,0.7,2.5,3.2,7.3,1.0,0.1,2.9,15.6,2000-01,0.6,0.26,
Derek Anderson,SAS,82.0,34.9,5.0,12.1,0.416,1.2,0.399,3.8,0.422,0.467,4.2,4.9,0.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,15.5,2000-01,0.54,0.19,
Brian Grant,MIA,82.0,33.8,5.9,12.3,0.479,0.0,0.0,5.9,0.48,0.479,3.4,4.3,0.797,2.6,6.1,8.8,1.2,0.7,0.9,2.1,15.2,2000-01,0.54,0.21,
Tim Hardaway,MIA,77.0,33.9,5.3,13.5,0.392,2.5,0.366,2.8,0.417,0.482,1.9,2.4,0.801,0.3,2.3,2.6,6.3,1.2,0.1,2.5,14.9,2000-01,0.51,0.18,
Rashard Lewis,SEA,78.0,34.9,5.5,11.4,0.48,1.6,0.432,3.9,0.503,0.55,2.3,2.7,0.826,1.8,5.1,6.9,1.6,1.2,0.6,1.7,14.8,2000-01,0.59,0.22,
David Robinson,SAS,80.0,29.6,5.0,10.3,0.486,0.0,0.0,5.0,0.487,0.486,4.4,5.9,0.747,2.6,6.0,8.6,1.5,1.0,2.5,1.5,14.4,2000-01,0.56,0.25,
Wally Szczerbiak,MIN,82.0,34.8,5.7,11.2,0.51,0.3,0.338,5.4,0.526,0.524,2.2,2.5,0.87,1.6,3.8,5.5,3.2,0.7,0.4,1.7,14.0,2000-01,0.57,0.2,
Baron Davis,CHH,82.0,38.9,5.0,11.7,0.427,1.0,0.31,4.0,0.474,0.472,2.8,4.1,0.677,1.6,3.4,5.0,7.3,2.1,0.4,2.8,13.8,2000-01,0.51,0.22,
Grant Hill,ORL,4.0,33.3,4.8,10.8,0.442,0.3,1.0,4.5,0.429,0.453,4.0,6.5,0.615,2.0,4.3,6.3,6.3,1.3,0.5,2.8,13.8,2000-01,0.51,4.23,
Antonio Davis,TOR,78.0,35.0,4.8,11.1,0.433,0.0,0.0,4.8,0.434,0.433,4.1,5.4,0.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,13.7,2000-01,0.51,0.23,
Donyell Marshall,UTA,81.0,28.7,5.3,10.5,0.503,0.5,0.32,4.8,0.535,0.527,2.5,3.4,0.751,2.1,4.9,7.0,1.6,1.0,1.0,1.6,13.6,2000-01,0.57,0.2,
Alonzo Mourning,MIA,13.0,23.5,5.6,10.8,0.518,0.0,0.0,5.6,0.521,0.518,2.4,4.2,0.564,2.7,5.1,7.8,0.9,0.3,2.4,2.2,13.6,2000-01,0.54,1.22,
Steve Smith,POR,81.0,31.4,4.4,9.7,0.456,1.0,0.339,3.5,0.504,0.505,3.8,4.3,0.89,1.1,2.3,3.4,2.6,0.6,0.3,1.7,13.6,2000-01,0.59,0.16,
Marc Jackson,GSW,48.0,29.4,4.9,10.6,0.467,0.1,0.217,4.8,0.478,0.471,3.2,4.0,0.802,2.5,5.0,7.5,1.2,0.7,0.6,1.9,13.2,2000-01,0.53,0.31,
Elden Campbell,CHH,78.0,30.0,4.7,10.7,0.44,0.0,0.0,4.7,0.443,0.44,3.7,5.2,0.709,2.0,5.8,7.8,1.3,0.8,1.8,1.8,13.1,2000-01,0.5,0.2,
Ruben Patterson,SEA,76.0,27.1,4.9,9.9,0.494,0.0,0.056,4.8,0.516,0.495,3.2,4.8,0.681,2.4,2.6,5.0,2.1,1.4,0.6,2.0,13.0,2000-01,0.54,0.18,
Damon Stoudamire,POR,82.0,32.4,5.0,11.4,0.434,1.0,0.374,4.0,0.453,0.478,2.1,2.5,0.831,0.8,2.9,3.7,5.7,1.3,0.1,2.3,13.0,2000-01,0.52,0.18,
Maurice Taylor,HOU,69.0,28.6,5.7,11.6,0.489,0.0,0.0,5.7,0.492,0.489,1.7,2.3,0.735,1.6,3.9,5.5,1.5,0.4,0.6,1.8,13.0,2000-01,0.52,0.18,
Raef LaFrentz,DEN,78.0,31.5,5.0,10.4,0.477,0.7,0.367,4.3,0.499,0.508,2.3,3.4,0.698,2.2,5.6,7.8,1.4,0.5,2.6,1.2,12.9,2000-01,0.54,0.22,
Jeff McInnis,LAC,81.0,35.0,5.3,11.5,0.463,0.6,0.361,4.7,0.482,0.491,1.6,2.0,0.807,0.5,2.2,2.7,5.5,0.9,0.1,1.4,12.9,2000-01,0.52,0.17,
Jermaine O'Neal,IND,81.0,32.6,5.0,10.7,0.465,0.0,0.0,5.0,0.468,0.465,2.9,4.8,0.601,3.1,6.7,9.8,1.2,0.6,2.8,2.0,12.9,2000-01,0.5,0.22,
Lamond Murray,CLE,78.0,28.5,5.0,11.9,0.423,0.8,0.37,4.2,0.434,0.456,2.0,2.7,0.735,1.3,3.0,4.4,1.6,1.1,0.3,1.8,12.8,2000-01,0.49,0.14,
Bonzi Wells,POR,75.0,26.6,5.2,9.7,0.533,0.2,0.34,4.9,0.547,0.545,2.1,3.2,0.663,1.6,3.3,4.9,2.8,1.3,0.3,2.3,12.7,2000-01,0.57,0.19,
Tim Thomas,MIL,76.0,27.4,4.3,10.0,0.43,1.4,0.412,2.9,0.44,0.501,2.6,3.3,0.771,1.0,3.1,4.1,1.8,1.0,0.6,1.5,12.6,2000-01,0.55,0.16,
Theo Ratliff,PHI,50.0,36.0,4.6,9.1,0.499,0.0,,4.6,0.499,0.499,3.3,4.3,0.76,2.5,5.8,8.3,1.2,0.6,3.7,2.5,12.4,2000-01,0.56,0.36,
Lorenzen Wright,ATL,71.0,28.0,5.1,11.4,0.448,0.0,0.0,5.1,0.449,0.448,2.2,3.0,0.718,2.5,5.0,7.5,1.2,0.6,0.9,1.8,12.4,2000-01,0.49,0.19,
Doug Christie,SAC,81.0,36.3,3.8,9.7,0.395,1.2,0.376,2.7,0.403,0.454,3.5,3.9,0.897,1.2,3.2,4.4,3.6,2.3,0.6,1.9,12.3,2000-01,0.54,0.19,
Tony Delk,PHO,82.0,27.9,4.7,11.3,0.415,0.7,0.321,4.0,0.436,0.444,2.3,2.9,0.787,0.9,2.3,3.2,2.0,0.9,0.2,1.2,12.3,2000-01,0.49,0.12,
Joe Smith,DET,69.0,28.1,4.5,11.1,0.403,0.0,0.0,4.5,0.405,0.403,3.3,4.2,0.805,2.3,4.8,7.1,1.1,0.7,0.7,1.3,12.3,2000-01,0.47,0.19,
Vin Baker,SEA,76.0,28.0,4.6,10.8,0.422,0.0,0.063,4.6,0.429,0.423,3.1,4.2,0.723,2.4,3.3,5.7,1.2,0.5,1.0,2.1,12.2,2000-01,0.48,0.15,
Voshon Lenard,DEN,80.0,29.1,4.2,10.6,0.397,1.8,0.385,2.4,0.407,0.484,1.9,2.4,0.797,0.6,2.3,2.9,2.4,0.8,0.2,1.3,12.2,2000-01,0.52,0.13,
Rodney Rogers,PHO,82.0,26.6,4.6,10.7,0.43,0.7,0.296,3.9,0.467,0.462,2.3,3.0,0.761,1.1,3.2,4.4,2.2,1.2,0.6,1.9,12.2,2000-01,0.51,0.15,
Chucky Atkins,DET,81.0,29.2,4.7,11.8,0.399,1.5,0.357,3.2,0.423,0.463,1.1,1.6,0.692,0.3,1.8,2.1,4.1,0.8,0.1,1.8,12.0,2000-01,0.48,0.12,
Marcus Camby,NYK,63.0,33.8,4.8,9.2,0.524,0.0,0.125,4.8,0.53,0.525,2.4,3.6,0.667,3.1,8.4,11.5,0.8,1.0,2.2,1.0,12.0,2000-01,0.56,0.33,
Vlade Divac,SAC,81.0,29.9,4.5,9.3,0.482,0.0,0.286,4.4,0.486,0.485,3.0,4.3,0.691,2.6,5.8,8.3,2.9,1.1,1.1,2.4,12.0,2000-01,0.54,0.21,
Kenyon Martin,NJN,68.0,33.4,5.1,11.4,0.445,0.0,0.091,5.1,0.45,0.446,1.8,2.8,0.63,2.0,5.4,7.4,1.9,1.1,1.7,2.0,12.0,2000-01,0.47,0.22,
Chris Mills,GSW,15.0,32.9,4.7,12.7,0.372,0.5,0.28,4.3,0.386,0.39,2.1,2.4,0.861,1.6,4.6,6.2,1.2,0.6,0.3,1.3,12.0,2000-01,0.44,0.71,
Glen Rice,NYK,75.0,29.5,4.4,10.0,0.44,1.1,0.389,3.3,0.46,0.495,2.1,2.4,0.852,0.8,3.3,4.1,1.2,0.5,0.2,1.3,12.0,2000-01,0.54,0.14,
Bryon Russell,UTA,78.0,31.7,3.9,9.0,0.44,1.2,0.413,2.7,0.453,0.508,2.8,3.7,0.779,1.2,3.0,4.2,2.1,1.2,0.3,1.4,12.0,2000-01,0.56,0.16,
Travis Best,IND,77.0,31.9,4.5,10.2,0.44,0.5,0.381,4.0,0.449,0.464,2.4,2.9,0.827,0.5,2.4,2.9,6.1,1.4,0.1,1.6,11.9,2000-01,0.52,0.19,
Mike Miller,ORL,82.0,29.1,4.5,10.3,0.436,1.8,0.407,2.7,0.457,0.523,1.1,1.6,0.711,0.8,3.2,4.0,1.7,0.6,0.2,1.2,11.9,2000-01,0.54,0.13,
Hakeem Olajuwon,HOU,58.0,26.6,4.9,9.8,0.498,0.0,0.0,4.9,0.499,0.498,2.1,3.4,0.621,2.1,5.3,7.4,1.2,1.2,1.5,1.4,11.9,2000-01,0.53,0.27,
Metta World Peace,CHI,76.0,31.1,4.3,10.7,0.401,0.6,0.291,3.7,0.426,0.428,2.8,3.7,0.75,0.8,3.1,3.9,3.0,2.0,0.6,2.1,11.9,2000-01,0.48,0.16,
Zydrunas Ilgauskas,CLE,24.0,25.7,4.8,9.8,0.487,0.0,0.0,4.8,0.491,0.487,2.2,3.3,0.679,2.7,4.0,6.7,0.8,0.6,1.5,2.5,11.7,2000-01,0.52,0.53,
Corliss Williamson,2TM,69.0,24.4,4.7,9.4,0.502,0.0,0.0,4.7,0.504,0.502,2.2,3.4,0.637,1.6,3.1,4.7,0.9,0.7,0.3,1.6,11.6,2000-01,0.53,0.16,
Aaron McKie,PHI,76.0,31.5,4.4,9.4,0.473,0.7,0.312,3.8,0.524,0.511,2.0,2.6,0.768,0.4,3.7,4.1,5.0,1.4,0.1,2.7,11.6,2000-01,0.55,0.18,
Jim Jackson,2TM,56.0,30.2,4.3,11.3,0.378,0.5,0.325,3.8,0.386,0.399,2.5,3.0,0.822,0.9,3.1,4.0,2.9,0.9,0.2,2.3,11.5,2000-01,0.46,0.17,
Derek Fisher,LAL,20.0,35.5,3.9,9.4,0.412,1.3,0.397,2.6,0.419,0.479,2.5,3.1,0.806,0.3,2.7,3.0,4.4,2.0,0.1,1.5,11.5,2000-01,0.53,0.67,
John Stockton,UTA,82.0,29.2,4.0,7.9,0.504,0.7,0.462,3.3,0.514,0.551,2.8,3.4,0.817,0.7,2.1,2.8,8.7,1.6,0.3,2.5,11.5,2000-01,0.61,0.22,
Chris Gatling,CLE,74.0,22.6,4.4,9.9,0.449,0.4,0.304,4.1,0.47,0.468,2.1,3.1,0.684,1.3,3.9,5.3,0.8,0.7,0.4,1.6,11.4,2000-01,0.51,0.14,
Scottie Pippen,POR,64.0,33.3,4.2,9.3,0.451,1.0,0.344,3.2,0.5,0.505,1.9,2.5,0.739,1.1,4.1,5.2,4.6,1.5,0.5,2.4,11.3,2000-01,0.54,0.23,
Clarence Weatherspoon,CLE,82.0,33.8,4.2,8.4,0.501,0.0,,4.2,0.501,0.501,2.8,3.5,0.79,2.7,7.0,9.7,1.3,1.0,1.3,1.4,11.3,2000-01,0.57,0.22,
Toni Kukoč,2TM,65.0,24.6,4.2,9.0,0.473,1.1,0.446,3.2,0.482,0.533,1.6,2.5,0.631,1.0,3.0,4.0,3.1,0.7,0.2,1.7,11.1,2000-01,0.55,0.18,
Matt Harpring,CLE,56.0,28.8,4.3,9.4,0.454,0.2,0.25,4.0,0.477,0.467,2.4,2.9,0.812,1.6,2.7,4.3,1.8,0.8,0.3,1.6,11.1,2000-01,0.52,0.2,
Bob Sura,GSW,53.0,31.8,3.8,9.8,0.39,0.9,0.273,2.9,0.448,0.435,2.5,3.6,0.714,1.0,3.3,4.3,4.6,1.0,0.2,3.0,11.1,2000-01,0.49,0.21,
Mookie Blaylock,GSW,69.0,34.1,4.6,11.6,0.396,1.1,0.324,3.5,0.424,0.441,0.8,1.1,0.697,1.0,2.9,3.9,6.7,2.4,0.3,1.9,11.0,2000-01,0.46,0.22,
Johnny Newman,NJN,82.0,25.0,3.5,8.5,0.419,0.7,0.335,2.8,0.447,0.461,3.1,3.6,0.855,0.4,1.7,2.1,1.4,0.8,0.1,1.3,10.9,2000-01,0.54,0.1,
Eric Piatkowski,LAC,81.0,26.5,3.6,8.3,0.433,1.5,0.404,2.1,0.456,0.522,2.0,2.2,0.873,0.7,2.3,3.0,1.2,0.6,0.2,0.9,10.6,2000-01,0.57,0.12,
Alan Henderson,ATL,73.0,24.8,4.1,9.2,0.444,0.0,0.0,4.1,0.445,0.444,2.4,3.7,0.638,2.5,3.1,5.6,0.7,0.7,0.4,1.7,10.5,2000-01,0.48,0.13,
Anthony Peeler,MIN,75.0,28.3,4.1,9.8,0.421,1.3,0.391,2.8,0.437,0.489,1.0,1.2,0.862,0.6,2.0,2.6,2.6,1.2,0.2,1.4,10.5,2000-01,0.51,0.13,
Kurt Thomas,NYK,77.0,27.6,4.1,8.0,0.511,0.0,0.333,4.1,0.512,0.512,2.2,2.7,0.814,2.2,4.5,6.7,0.8,0.8,0.9,1.3,10.4,2000-01,0.57,0.18,
Aaron Williams,NJN,82.0,28.5,3.6,7.9,0.457,0.0,0.0,3.6,0.458,0.457,3.0,3.8,0.787,2.6,4.6,7.2,1.1,0.7,1.4,1.6,10.2,2000-01,0.53,0.17,
Austin Croshere,IND,81.0,23.1,3.4,8.7,0.394,0.9,0.338,2.5,0.417,0.444,2.5,2.9,0.866,1.5,3.3,4.8,1.1,0.4,0.6,1.7,10.1,2000-01,0.51,0.12,
Lindsey Hunter,MIL,82.0,24.4,3.6,9.5,0.381,1.9,0.373,1.8,0.388,0.478,0.9,1.2,0.802,0.4,1.7,2.1,2.7,1.2,0.1,0.8,10.1,2000-01,0.5,0.11,
Arvydas Sabonis,POR,61.0,21.3,4.0,8.5,0.479,0.0,0.067,4.0,0.491,0.48,2.0,2.6,0.776,0.8,4.6,5.4,1.5,0.7,1.0,1.4,10.1,2000-01,0.52,0.2,
Dikembe Mutombo,2TM,75.0,34.5,3.6,7.4,0.484,0.0,,3.6,0.484,0.484,2.8,3.9,0.725,4.1,9.4,13.5,1.0,0.4,2.7,1.9,10.0,2000-01,0.55,0.28,
Corey Maggette,LAC,69.0,19.7,3.3,7.1,0.462,0.2,0.304,3.0,0.483,0.479,3.2,4.2,0.774,1.3,2.9,4.2,1.2,0.5,0.1,1.5,10.0,2000-01,0.56,0.14,
Larry Johnson,NYK,65.0,32.4,3.8,9.2,0.411,0.8,0.313,3.0,0.448,0.454,1.6,2.0,0.797,1.4,4.2,5.6,2.0,0.6,0.4,1.5,9.9,2000-01,0.49,0.17,
Anfernee Hardaway,PHO,4.0,28.0,3.8,9.0,0.417,0.5,0.25,3.3,0.464,0.444,1.8,2.8,0.636,1.3,3.3,4.5,3.8,1.5,0.3,0.8,9.8,2000-01,0.48,3.23,
Eric Snow,PHI,50.0,34.8,3.6,8.7,0.418,0.1,0.263,3.5,0.425,0.424,2.4,3.1,0.792,0.5,2.8,3.3,7.4,1.5,0.1,2.5,9.8,2000-01,0.49,0.28,
Alvin Williams,TOR,82.0,29.2,4.0,9.4,0.43,0.4,0.306,3.6,0.451,0.452,1.3,1.8,0.752,0.6,2.0,2.6,5.0,1.5,0.3,1.3,9.8,2000-01,0.48,0.15,
Bryant Stith,BOS,78.0,32.1,3.1,7.8,0.401,1.2,0.376,2.0,0.417,0.475,2.2,2.7,0.845,0.8,2.8,3.6,2.2,1.2,0.2,1.2,9.7,2000-01,0.54,0.13,
