Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Kevin Salvadori,SAC,23.0,6.7,0.5,1.4,0.364,0.0,,0.5,0.364,0.364,0.6,0.8,0.722,0.3,0.8,1.1,0.4,0.1,0.6,0.5,1.6,1996-97,0.46,0.1
Scott Brooks,NYK,38.0,6.6,0.5,1.0,0.487,0.1,0.417,0.4,0.519,0.551,0.4,0.4,0.933,0.2,0.3,0.5,0.8,0.6,0.0,0.4,1.5,1996-97,0.64,0.07
Ben Davis,PHO,20.0,4.9,0.5,1.3,0.385,0.0,,0.5,0.385,0.385,0.5,1.0,0.45,0.6,0.8,1.4,0.0,0.2,0.1,0.2,1.5,1996-97,0.43,0.09
Reggie Geary,CLE,39.0,6.3,0.6,1.5,0.379,0.2,0.381,0.4,0.378,0.448,0.1,0.3,0.455,0.1,0.3,0.4,0.9,0.3,0.1,0.4,1.5,1996-97,0.46,0.04
Moochie Norris,VAN,8.0,11.1,0.5,2.8,0.182,0.3,0.2,0.3,0.167,0.227,0.3,0.6,0.4,0.4,1.1,1.5,2.9,0.5,0.0,0.6,1.5,1996-97,0.24,0.4
Matt Steigenga,CHI,2.0,6.0,0.5,2.0,0.25,0.0,0.0,0.5,0.5,0.25,0.5,1.0,0.5,0.0,1.5,1.5,1.0,0.5,0.5,1.0,1.5,1996-97,0.31,1.0
Joe Stephens,HOU,2.0,4.5,0.5,2.5,0.2,0.5,0.333,0.0,0.0,0.3,0.0,0.0,,1.0,0.5,1.5,0.0,1.5,0.0,1.5,1.5,1996-97,0.3,0.5
Robert Werdann,NJN,6.0,5.2,0.5,1.2,0.429,0.0,,0.5,0.429,0.429,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.3,0.2,0.3,1.5,1996-97,0.53,0.33
Jerome Williams,DET,33.0,5.4,0.6,1.5,0.392,0.0,,0.6,0.392,0.392,0.3,0.5,0.529,0.7,0.8,1.5,0.2,0.4,0.0,0.4,1.5,1996-97,0.44,0.06
Yinka Dare,NJN,41.0,7.6,0.5,1.3,0.352,0.0,,0.5,0.352,0.352,0.5,0.9,0.514,0.9,1.1,2.0,0.1,0.1,0.7,0.5,1.4,1996-97,0.41,0.06
Brian Evans,ORL,14.0,4.2,0.6,1.6,0.364,0.3,0.5,0.3,0.286,0.455,0.0,0.0,,0.1,0.5,0.6,0.5,0.1,0.1,0.1,1.4,1996-97,0.44,0.11
Ivano Newbill,ATL,72.0,11.8,0.6,1.3,0.44,0.0,,0.6,0.44,0.44,0.3,0.7,0.385,1.1,1.8,2.8,0.3,0.4,0.2,0.6,1.4,1996-97,0.44,0.05
Keith Tower,MIL,5.0,14.4,0.6,1.6,0.375,0.0,,0.6,0.375,0.375,0.2,1.6,0.125,0.4,1.4,1.8,0.2,0.4,0.2,0.4,1.4,1996-97,0.3,0.24
Ashraf Amaya,WSB,31.0,4.6,0.4,1.3,0.3,0.0,1.0,0.4,0.282,0.313,0.5,0.9,0.536,0.6,1.1,1.7,0.1,0.2,0.1,0.3,1.3,1996-97,0.38,0.06
Jimmy Carruth,MIL,4.0,5.3,0.5,0.8,0.667,0.0,,0.5,0.667,0.667,0.3,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.3,1.3,1996-97,0.7,0.55
Shawnelle Scott,CLE,16.0,3.1,0.5,1.0,0.5,0.0,,0.5,0.5,0.5,0.3,0.7,0.364,0.5,0.5,1.0,0.0,0.0,0.2,0.0,1.3,1996-97,0.5,0.1
Ennis Whatley,POR,3.0,7.3,0.7,1.3,0.5,0.0,,0.7,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.3,1.3,1996-97,0.5,0.8
Brent Scott,IND,16.0,3.4,0.5,1.1,0.471,0.0,,0.5,0.471,0.471,0.2,0.4,0.5,0.2,0.4,0.6,0.2,0.1,0.1,0.3,1.2,1996-97,0.47,0.07
David Wood,MIL,46.0,5.2,0.4,0.8,0.526,0.1,0.333,0.3,0.652,0.592,0.3,0.4,0.667,0.1,0.5,0.6,0.3,0.2,0.1,0.1,1.2,1996-97,0.61,0.04
Carl Thomas,CLE,19.0,4.1,0.5,1.3,0.375,0.1,0.167,0.4,0.583,0.417,0.1,0.1,1.0,0.2,0.5,0.7,0.4,0.1,0.1,0.3,1.1,1996-97,0.41,0.07
Ben Wallace,WSB,34.0,5.8,0.5,1.4,0.348,0.0,,0.5,0.348,0.348,0.2,0.6,0.3,0.7,1.0,1.7,0.1,0.2,0.3,0.5,1.1,1996-97,0.33,0.05
Dell Demps,ORL,2.0,5.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1996-97,0.26,0.0
Larry Krystkowiak,LAL,3.0,3.7,0.3,0.7,0.5,0.0,,0.3,0.5,0.5,0.3,0.7,0.5,0.7,1.0,1.7,1.0,0.7,0.0,0.3,1.0,1996-97,0.5,1.1
Earl Cureton,TOR,9.0,5.1,0.3,0.9,0.375,0.0,,0.3,0.375,0.375,0.1,0.3,0.333,0.4,0.6,1.0,0.4,0.0,0.0,0.1,0.8,1996-97,0.39,0.14
Tim Kempton,SAS,10.0,5.9,0.1,0.5,0.2,0.0,,0.1,0.2,0.2,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.1,0.1,0.7,0.4,1996-97,0.34,0.05
LaSalle Thompson,2TM,26.0,5.4,0.1,0.7,0.158,0.0,,0.1,0.158,0.158,0.2,0.2,0.667,0.3,1.0,1.3,0.1,0.1,0.2,0.3,0.4,1996-97,0.25,0.05
Matt Fish,2TM,6.0,1.3,0.2,0.5,0.333,0.0,,0.2,0.333,0.333,0.0,0.0,,0.2,0.7,0.8,0.0,0.0,0.0,0.3,0.3,1996-97,0.3,0.08
Charles Jones,HOU,12.0,7.8,0.2,0.4,0.4,0.0,,0.2,0.4,0.4,0.0,0.0,,0.4,0.7,1.1,0.3,0.2,0.3,0.0,0.3,1996-97,0.37,0.17
James Scott,MIA,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.5,0.1,0.6,0.8,0.4,0.3,0.0,0.3,0.1,1996-97,0.04,0.01
Derrick Alston,ATL,2.0,5.5,0.0,2.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1996-97,0.0,-0.75
Bruce Bowen,MIA,1.0,1.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1996-97,,1.0
Cuonzo Martin,MIL,3.0,4.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,1996-97,0.0,-0.67
Anthony Miller,ATL,1.0,14.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1996-97,0.0,2.0
Elmore Spencer,SEA,1.0,5.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1996-97,0.0,-1.0
League Average,,,,,,0.455,,0.36,,0.48,0.493,,,0.738,,,,,,,,,1996-97,,
